pict_type,pkt_size,pkt_pos,key_frame
I,92905,44,1
B,81,93239,0
B,81,93355,0
B,85,93138,0
B,85,93460,0
P,168,92949,0
B,107,93905,0
B,107,94036,0
B,135,93729,0
B,133,94167,0
P,148,93569,0
B,107,94654,0
B,107,94785,0
B,135,94485,0
B,133,94916,0
P,149,94324,0
B,106,95401,0
B,106,95531,0
B,135,95233,0
B,132,95674,0
P,148,95073,0
B,105,96162,0
B,105,96291,0
B,134,96004,0
B,132,96420,0
P,146,95838,0
B,105,96902,0
B,105,97031,0
B,134,96744,0
B,132,97160,0
P,146,96586,0
B,105,97632,0
B,105,97761,0
B,134,97474,0
B,132,97906,0
P,146,97316,0
B,105,98378,0
B,105,98528,0
B,134,98220,0
B,132,98657,0
P,146,98062,0
B,105,99136,0
B,105,99273,0
B,134,98978,0
B,132,99400,0
P,146,98813,0
B,105,99890,0
B,105,100019,0
B,134,99732,0
B,132,100148,0
P,146,99563,0
B,105,100620,0
B,105,100758,0
B,134,100462,0
B,132,100887,0
P,146,100304,0
B,105,101359,0
B,105,101488,0
B,134,101201,0
B,132,101625,0
P,146,101031,0
B,105,102097,0
B,105,102226,0
B,134,101939,0
B,132,102364,0
P,146,101769,0
B,105,102856,0
B,105,102985,0
B,134,102687,0
B,132,103114,0
P,146,102508,0
B,105,103601,0
B,105,103730,0
B,134,103428,0
B,132,103859,0
P,146,103258,0
B,105,104331,0
B,105,104460,0
B,134,104173,0
B,132,104613,0
P,146,104003,0
B,105,105085,0
B,105,105214,0
B,134,104927,0
B,132,105343,0
P,146,104757,0
B,105,105815,0
B,105,105944,0
B,134,105657,0
B,132,106073,0
P,146,105487,0
B,105,106545,0
B,105,106683,0
B,134,106387,0
B,132,106819,0
P,146,106217,0
B,105,107323,0
B,105,107465,0
B,134,107156,0
B,132,107594,0
P,146,106963,0
B,105,108091,0
B,105,108220,0
B,134,107933,0
B,132,108358,0
P,146,107738,0
B,105,108830,0
B,105,108959,0
B,134,108672,0
B,132,109076,0
P,146,108502,0
B,105,109567,0
B,105,109696,0
B,135,109408,0
B,134,109813,0
P,152,109232,0
B,106,110321,0
B,140,110143,0
B,132,110462,0
P,148,109971,0
I,466,110613,1
B,90,111388,0
B,90,111788,0
B,92,111227,0
B,90,112068,0
P,100,111103,0
B,91,113183,0
B,91,113583,0
B,93,112825,0
B,91,113794,0
P,102,112445,0
B,91,114885,0
B,94,114530,0
B,91,115271,0
P,102,114130,0
I,222055,115488,0
B,6665,490008,0
B,9816,497624,0
B,12548,477157,0
B,6623,507834,0
P,139086,337782,0
B,7047,653940,0
B,5606,661727,0
B,16318,636883,0
B,2653,667666,0
P,120886,515205,0
B,5343,803883,0
B,8292,809956,0
B,10600,792519,0
B,4469,818624,0
P,120746,670984,0
B,3963,981500,0
B,4092,986185,0
B,10694,970085,0
B,1629,990661,0
P,145513,823832,0
B,2910,1143578,0
B,4705,1147289,0
B,5388,1137417,0
B,2213,1152335,0
P,143661,993020,0
B,2414,1320939,0
B,2574,1323707,0
B,6847,1313345,0
B,967,1327069,0
P,157286,1155308,0
B,2102,1463145,0
B,2767,1465604,0
B,3581,1458860,0
B,1567,1469074,0
P,129355,1328780,0
B,1375,1598285,0
B,2210,1600096,0
B,2790,1594779,0
B,1273,1603063,0
P,122672,1471354,0
B,1238,1729695,0
B,1632,1731292,0
B,1935,1726996,0
B,852,1733700,0
P,121157,1605109,0
B,1059,1855349,0
B,1104,1856751,0
B,1357,1853290,0
B,726,1858597,0
P,117242,1735320,0
B,818,1897676,0
B,1122,1898854,0
B,1674,1895333,0
B,1454,1900764,0
P,34462,1860113,0
B,1009,1910887,0
P,6682,1903240,0
I,341394,1912642,1
B,1268,2322088,0
B,1816,2324161,0
B,2572,2318638,0
B,1696,2326676,0
