pict_type,pkt_size,pkt_pos,key_frame
I,448,44,1
B,90,1627,0
B,90,2419,0
B,92,613,0
B,90,3487,0
P,100,492,0
B,234,28375,0
B,5466,22205,0
P,17469,4371,0
I,35865,29477,0
B,25704,209376,0
B,18146,235852,0
B,31157,177850,0
B,11300,254722,0
P,111084,66025,0
B,14640,465554,0
B,19319,480877,0
B,22927,442262,0
B,9022,500961,0
P,174712,266767,0
B,10451,653792,0
B,9140,664988,0
B,21716,631679,0
B,6138,674900,0
P,120159,510775,0
B,10547,833653,0
B,14679,844927,0
B,19843,813446,0
B,9746,860376,0
P,130987,681739,0
B,11553,1023515,0
B,10245,1035851,0
B,22249,1000897,0
B,6653,1046853,0
P,129183,870954,0
B,10185,1199010,0
B,12958,1209957,0
B,18751,1179915,0
B,10005,1223672,0
P,124926,1054255,0
B,11085,1380245,0
B,9780,1392019,0
B,21557,1358312,0
B,6979,1402492,0
P,123022,1234463,0
B,9888,1555767,0
B,14545,1566377,0
B,19191,1536157,0
B,10356,1581641,0
P,125166,1410246,0
B,11102,1732406,0
B,9394,1744278,0
B,21350,1710675,0
B,6297,1754420,0
P,117165,1592707,0
B,10068,1873144,0
B,14350,1883959,0
B,19852,1852543,0
B,9240,1899067,0
P,90683,1761484,0
B,17648,2012666,0
B,39711,1972203,0
P,62839,1909029,0
I,204598,2031130,1
B,12242,2341929,0
B,18044,2354928,0
B,30128,2311430,0
B,20433,2373711,0
P,74200,2236501,0
B,28470,2509837,0
B,31313,2539052,0
B,53042,2456430,0
B,30423,2571132,0
P,60749,2394881,0
B,30388,2708340,0
B,33329,2739474,0
B,50444,2657521,0
B,34349,2773513,0
P,54459,2602306,0
B,32622,2927909,0
B,25335,2961308,0
B,46360,2881186,0
B,19847,2987408,0
P,71740,2808651,0
B,23110,3107744,0
B,27689,3131651,0
B,38464,3068923,0
B,22084,3160115,0
P,60136,3007988,0
B,24662,3282622,0
B,22417,3308057,0
B,43326,3238922,0
B,21417,3331239,0
P,55334,3182877,0
B,28278,3436719,0
B,31422,3465782,0
B,43189,3393161,0
B,29507,3497963,0
P,38918,3353468,0
I,122271,3528252,1
B,27786,3758561,0
B,31772,3787125,0
B,42430,3715379,0
B,23424,3819613,0
P,63725,3651319,0
B,28088,3944949,0
B,25958,3973714,0
B,42576,3901603,0
B,23586,4000427,0
P,57510,3843756,0
B,26803,4112100,0
B,28307,4139680,0
B,39750,4071610,0
B,20290,4168741,0
P,46435,4024324,0
B,31413,4277542,0
B,25337,4309659,0
B,41347,4235501,0
B,18555,4335780,0
P,45412,4189409,0
I,51210,4354743,0
B,23060,4449431,0
B,24866,4473344,0
B,19608,4429061,0
B,13887,4498602,0
P,21610,4406753,0
B,14232,4559232,0
B,15311,4574261,0
B,20236,4538282,0
B,19308,4589931,0
P,24307,4513241,0
B,29576,4692382,0
B,25480,4722657,0
B,38831,4652787,0
B,20177,4748490,0
P,41982,4609942,0
B,21366,4837094,0
B,24996,4859151,0
B,30776,4805563,0
B,20457,4884461,0
P,35321,4769502,0
B,23827,5005471,0
B,26430,5029973,0
B,48122,4956641,0
B,26728,5056756,0
P,50141,4905714,0
B,26652,5162672,0
B,27975,5190133,0
B,35995,5125872,0
B,22509,5218493,0
P,40865,5084259,0
B,23245,5313794,0
B,25079,5337788,0
B,38147,5274906,0
B,25533,5363242,0
P,32428,5241698,0
I,36619,5389503,1
B,33324,5526828,0
B,28472,5560539,0
B,38951,5487080,0
B,20450,5589697,0
P,59532,5426827,0
B,16199,5740289,0
B,22427,5757252,0
B,47382,5692505,0
B,34332,5780404,0
P,80670,5610987,0
B,16651,5900515,0
B,20789,5917862,0
B,38636,5861511,0
B,21897,5939393,0
P,45281,5815463,0
B,20283,6049480,0
B,20767,6070496,0
B,41142,6007945,0
B,15929,6092044,0
P,45138,5962093,0
B,21516,6184080,0
B,18945,6206416,0
B,32884,6150819,0
B,16018,6226155,0
P,41226,6108735,0
P,27664,6242950,0
I,164804,6271364,1
B,18561,6543448,0
B,21365,6562722,0
B,28651,6514010,0
B,19009,6584825,0
P,76741,6436520,0
B,19762,6710866,0
B,16200,6731407,0
B,30715,6679397,0
B,15152,6748361,0
P,74496,6604179,0
B,18644,6849444,0
B,21907,6868832,0
B,30005,6818662,0
B,19886,6891506,0
P,53962,6763898,0
I,63224,6911773,0
B,20445,7038823,0
B,19730,7059961,0
B,33216,7004863,0
B,16475,7080027,0
P,28338,6975763,0
B,20645,7163212,0
B,19749,7184629,0
B,34989,7127491,0
B,18953,7204774,0
P,29462,7097272,0
B,24114,7288099,0
B,26674,7312949,0
B,29194,7258178,0
B,18679,7339987,0
P,32958,7224438,0
P,25901,7359378,0
I,100687,7385965,1
B,22073,7587584,0
B,25360,7610438,0
B,38635,7548155,0
B,27903,7636558,0
P,60425,7487400,0
B,31549,7764653,0
B,30417,7797110,0
B,41771,7722023,0
B,31685,7828252,0
P,56521,7665159,0
B,31590,7956326,0
B,33314,7988650,0
B,43993,7911540,0
B,28287,8022707,0
P,50443,7860733,0
B,25193,8086547,0
P,34429,8051743,0
I,190243,8112461,0
B,10279,8407430,0
B,12290,8418134,0
B,20025,8386549,0
B,14047,8431232,0
P,82420,8303444,0
B,14055,8520800,0
B,17831,8535230,0
B,25643,8494447,0
B,16669,8553856,0
P,47642,8445998,0
I,149568,8571298,1
B,17720,8843451,0
B,19609,8861903,0
B,28675,8814406,0
B,18624,8882268,0
P,92006,8721637,0
B,21899,9047551,0
B,19426,9070121,0
B,37552,9009630,0
B,18765,9090231,0
P,107175,8901669,0
B,18563,9205981,0
B,42180,9163438,0
P,52913,9109800,0
I,146246,9225364,0
B,31614,9503377,0
B,34470,9535325,0
B,51325,9451296,0
B,29692,9570554,0
P,78210,9372264,0
B,31149,9724197,0
B,29275,9755736,0
B,51647,9671805,0
B,23030,9785804,0
P,70119,9600985,0
B,28647,9915511,0
B,29731,9944939,0
B,46557,9868602,0
B,22599,9975416,0
P,58294,9809594,0
B,19838,10081137,0
B,31235,10049506,0
P,49914,9998847,0
I,74348,10101712,1
B,15334,10249103,0
B,14095,10264755,0
B,23515,10224869,0
B,12728,10279930,0
P,47331,10176809,0
B,12119,10361466,0
B,10745,10373948,0
B,21767,10338952,0
B,8428,10385457,0
P,44514,10293686,0
B,10070,10460976,0
B,13403,10471388,0
B,20031,10440138,0
B,9760,10485553,0
P,44791,10394624,0
B,9410,10558669,0
B,23552,10534319,0
B,9368,10568447,0
P,37609,10496039,0
I,181568,10578530,0
B,9192,10838328,0
B,11707,10847864,0
B,15538,10822104,0
B,12481,10860383,0
P,60424,10760857,0
B,13458,10947487,0
B,11793,10961275,0
B,22244,10924465,0
B,11287,10973869,0
P,50247,10873545,0
B,9207,11048673,0
B,26031,11021895,0
B,9980,11058300,0
P,35307,10985910,0
I,252845,11069116,1
B,23549,11506817,0
B,29765,11530710,0
B,43201,11462884,0
B,28701,11561253,0
P,139387,11322654,0
B,20546,11742654,0
B,19621,11764041,0
B,37407,11704926,0
B,16641,11784514,0
P,113416,11590770,0
B,24084,11950262,0
B,29478,11975105,0
B,39576,11910350,0
B,23643,12005374,0
P,107553,11801985,0
B,22160,12130229,0
B,35607,12094276,0
P,63790,12029771,0
I,105832,12153136,0
B,24756,12368224,0
B,29021,12393330,0
B,40622,12326802,0
B,25796,12423130,0
P,66390,12259684,0
B,31313,12552759,0
B,32368,12584475,0
B,54551,12497425,0
B,31784,12617591,0
P,47018,12449660,0
P,42968,12650121,0
B,42353,12805459,0
B,44064,12848533,0
B,59450,12745633,0
B,42602,12893351,0
P,51033,12693840,0
B,44455,13033844,0
B,39745,13079026,0
B,52016,12981444,0
B,32501,13119493,0
P,43992,12936703,0
B,32725,13190452,0
P,37012,13152731,0
I,38690,13223552,1
B,31414,13360407,0
B,33890,13392550,0
B,47672,13312010,0
B,41763,13426812,0
P,48263,13263016,0
B,48152,13567843,0
B,45753,13616728,0
B,52963,13514128,0
B,40985,13662867,0
P,44092,13469278,0
B,34901,13778953,0
B,37278,13814631,0
B,40226,13737956,0
B,35291,13852298,0
P,32566,13704624,0
B,33626,13969066,0
B,31430,14003064,0
B,39278,13929058,0
B,31945,14035199,0
P,39923,13888352,0
B,35492,14164423,0
B,33013,14200273,0
B,42343,14121315,0
B,23279,14234078,0
P,52673,14067875,0
B,24142,14350357,0
B,19289,14374859,0
B,33480,14316134,0
B,15084,14394841,0
P,57321,14258071,0
B,19928,14496063,0
B,22821,14516387,0
B,30366,14464963,0
B,19223,14539960,0
P,53417,14410707,0
B,24879,14649516,0
B,19275,14674712,0
B,32801,14615947,0
B,12674,14694770,0
P,55160,14559979,0
B,16513,14781035,0
B,18292,14797930,0
B,23624,14756645,0
B,13508,14816974,0
P,47700,14708216,0
B,19559,14909236,0
B,18876,14929186,0
B,33117,14875372,0
B,17402,14948841,0
P,43409,14831201,0
I,170402,14966968,1
B,25344,15265029,0
B,28270,15291125,0
B,38175,15226487,0
B,23878,15320085,0
P,87505,15138202,0
B,25557,15478372,0
B,24400,15504665,0
B,42119,15435856,0
B,20602,15529842,0
P,90445,15344679,0
B,25320,15684516,0
B,29348,15710598,0
B,39405,15644735,0
B,24778,15740716,0
P,92778,15551199,0
B,28198,15907768,0
B,25973,15936724,0
B,42911,15864484,0
B,20778,15963439,0
P,97414,15766290,0
B,25759,16119809,0
B,29641,16146308,0
B,38559,16080462,0
B,24249,16176716,0
P,95172,15984936,0
B,27253,16338400,0
B,25000,16366403,0
B,40848,16296753,0
B,21058,16392153,0
P,94645,16201708,0
B,24766,16546507,0
B,27679,16572010,0
B,37578,16508173,0
B,23322,16600441,0
P,93858,16413933,0
B,23822,16751358,0
B,21996,16775888,0
B,34962,16715643,0
B,17761,16798605,0
P,90777,16624498,0
B,21177,16934580,0
B,24564,16956532,0
B,31524,16902293,0
B,20320,16981817,0
P,84817,16817084,0
B,22623,17110256,0
B,20707,17133631,0
B,33313,17076161,0
B,17167,17155118,0
P,72927,17002885,0
B,17376,17254969,0
B,36099,17218117,0
P,44718,17173024,0
I,116717,17273024,1
B,13143,17463042,0
B,15345,17477066,0
B,19862,17442766,0
B,12554,17493187,0
P,51622,17390498,0
B,13353,17580810,0
B,12404,17594980,0
B,21929,17558475,0
B,10626,17608162,0
P,51306,17506449,0
B,11759,17684572,0
B,13810,17697133,0
B,17718,17666472,0
B,12057,17711715,0
P,46151,17619594,0
B,13028,17791501,0
B,15374,17805280,0
B,20511,17770616,0
B,12853,17821396,0
P,45345,17724494,0
B,13846,17909133,0
B,13219,17923684,0
B,21849,17886577,0
B,11806,17937689,0
P,51192,17834999,0
B,13692,18024727,0
