pict_type,pkt_size,pkt_pos,key_frame
I,63886,44,1
B,7155,117416,0
B,7258,125414,0
B,12090,104809,0
B,4696,133525,0
P,40858,63930,0
B,7612,199274,0
B,5878,207727,0
B,13042,185416,0
B,3919,214377,0
P,45943,139065,0
B,7030,277078,0
B,10389,284923,0
B,11649,264512,0
B,4785,296103,0
P,45007,219098,0
B,8305,380984,0
B,6868,390078,0
B,17077,363113,0
B,3908,397728,0
P,60994,301724,0
B,8530,477158,0
B,15830,486461,0
B,15672,460669,0
B,9298,503068,0
P,57913,402406,0
B,9657,630388,0
B,10462,640744,0
B,23935,605759,0
B,4080,651930,0
P,92267,513109,0
B,7039,760703,0
B,9027,768500,0
B,14481,745531,0
B,5873,778278,0
P,88397,656712,0
B,7014,898620,0
B,7316,906389,0
B,16355,881548,0
B,3843,914486,0
P,96258,784895,0
B,6884,1031024,0
B,8402,1038619,0
B,12857,1017438,0
B,5227,1047759,0
P,98017,919034,0
B,5438,1146593,0
B,5016,1152800,0
B,11763,1134088,0
B,3551,1158569,0
P,79981,1053754,0
B,7731,1267283,0
B,10348,1275736,0
B,15402,1251126,0
B,4956,1286809,0
P,87890,1162881,0
B,6922,1421381,0
B,5346,1429035,0
B,20673,1400023,0
B,13455,1435130,0
P,107084,1292108,0
B,9851,1567521,0
B,10431,1578165,0
B,19065,1547696,0
B,5421,1589306,0
P,97951,1448962,0
B,9081,1676547,0
B,9388,1686432,0
B,15814,1660007,0
B,3383,1696528,0
P,64212,1595096,0
B,7262,1756998,0
B,12178,1764990,0
B,15872,1740343,0
B,4602,1777867,0
P,39323,1700293,0
B,8741,1835031,0
B,6815,1844540,0
B,14986,1819251,0
B,1910,1852101,0
P,35648,1782846,0
B,4540,1885042,0
B,7558,1890321,0
B,9293,1874981,0
B,2814,1898635,0
P,19820,1854387,0
B,3560,1927390,0
B,3849,1931725,0
B,7891,1918784,0
B,1431,1936341,0
P,16201,1901831,0
B,2513,1953428,0
B,4131,1956665,0
B,5096,1947586,0
B,1688,1961559,0
P,8689,1938150,0
B,2292,1974825,0
B,2695,1977851,0
B,3865,1970225,0
B,1348,1981326,0
P,5915,1963613,0
B,1972,1993758,0
B,2774,1996524,0
B,3779,1989246,0
B,1932,2000107,0
P,5471,1983037,0
B,3502,2004735,0
B,138,2009020,0
B,122,2003866,0
B,119,2009540,0
P,699,2002397,0
B,231,2012406,0
B,231,2013416,0
B,232,2011374,0
B,230,2013965,0
P,242,2010417,0
B,232,2017035,0
B,232,2018082,0
B,233,2016041,0
B,231,2018668,0
P,242,2014944,0
B,232,2021731,0
B,232,2022675,0
B,233,2020711,0
B,231,2023365,0
P,242,2019673,0
B,232,2026380,0
B,232,2027421,0
B,233,2025370,0
B,231,2028032,0
P,242,2024323,0
B,232,2030981,0
B,232,2031967,0
B,233,2029983,0
B,231,2032571,0
P,242,2028975,0
B,232,2035610,0
B,232,2036626,0
B,233,2034573,0
B,231,2037255,0
P,242,2033536,0
B,232,2040134,0
B,232,2041102,0
B,233,2039211,0
B,231,2041732,0
P,242,2038204,0
B,231,2044805,0
B,233,2043915,0
P,242,2042737,0
I,286560,2045759,1
B,15916,2492070,0
B,18063,2508755,0
B,25480,2465825,0
B,15033,2527627,0
P,132351,2332733,0
B,13308,2684747,0
B,13421,2698865,0
B,23356,2660563,0
B,10786,2713143,0
P,116766,2543007,0
B,14267,2885638,0
B,15269,2900649,0
B,22434,2862424,0
B,10345,2916288,0
P,137316,2724304,0
B,11507,3075556,0
B,11548,3087875,0
B,20994,3053819,0
B,10512,3099855,0
P,125686,2927369,0
B,15660,3267173,0
B,18323,3283618,0
B,27315,3239132,0
B,14703,3302318,0
P,127288,3111131,0
B,15818,3455058,0
B,16663,3471643,0
B,27185,3427052,0
B,16143,3488703,0
P,108573,3317782,0
B,26072,3665127,0
B,27748,3691963,0
B,39768,3624607,0
B,23477,3720077,0
P,118233,3505573,0
B,25311,3892141,0
B,25263,3918114,0
B,40060,3851365,0
B,21114,3943751,0
P,106235,3744334,0
B,23626,4096263,0
B,26158,4120635,0
B,39971,4055553,0
B,17613,4147171,0
P,89249,3965570,0
B,22283,4262382,0
B,19914,4285341,0
B,36741,4224837,0
B,7108,4305706,0
P,58534,4165555,0
B,11646,4364537,0
B,16681,4376895,0
B,22671,4341118,0
B,5454,4393944,0
P,26846,4313508,0
B,6212,4432389,0
B,8847,4439331,0
B,15644,4416008,0
B,2469,4448696,0
P,15112,4400142,0
B,4366,4473066,0
B,6952,4478275,0
B,9978,4462292,0
B,3237,4485550,0
P,9749,4451810,0
B,5140,4492948,0
B,1944,4498537,0
B,131,4491890,0
B,127,4501238,0
P,829,4489421,0
B,255,4504108,0
B,255,4504795,0
B,256,4503055,0
B,254,4505910,0
P,269,4502026,0
B,259,4509147,0
B,259,4509812,0
B,262,4508053,0
B,258,4510827,0
P,269,4506983,0
I,128121,4511835,1
B,1562,4679086,0
B,4180,4681380,0
B,4359,4674369,0
B,1608,4686340,0
P,32905,4640714,0
B,2877,4723353,0
B,1608,4726953,0
B,3832,4719142,0
B,1871,4729294,0
P,29665,4688707,0
B,3318,4767877,0
B,1576,4771938,0
B,4005,4763492,0
B,1023,4774260,0
