pict_type,pkt_size,pkt_pos,key_frame
I,1050949,44,1
B,292011,2108496,0
B,288434,2401025,0
B,408878,1698870,0
B,269411,2690033,0
P,647431,1050993,0
B,259558,3756779,0
B,271413,4016993,0
B,340967,3415163,0
B,265897,4289057,0
P,454499,2960043,0
B,246427,5379611,0
B,244976,5626703,0
B,345805,5033141,0
B,189362,5872362,0
P,476884,4555588,0
B,206765,6671258,0
B,212837,6878685,0
B,265277,6405299,0
B,190551,7092212,0
P,342195,6062411,0
B,168355,7897409,0
B,160662,8066431,0
B,241820,7654893,0
B,124143,8227777,0
P,370707,7283454,0
B,142425,8826393,0
B,147674,8969514,0
B,192985,8632743,0
B,150126,9117875,0
P,279814,8352259,0
B,147635,9880020,0
B,147728,10028352,0
B,256207,9623127,0
B,133128,10176769,0
P,353739,9268688,0
B,173633,11043927,0
B,192584,11218239,0
B,289581,10753658,0
B,186366,11411493,0
P,442411,10310567,0
B,208657,12343286,0
B,245136,12552648,0
B,292020,12050603,0
B,214018,12798459,0
P,451371,11598563,0
B,270276,13848351,0
B,286745,14119278,0
B,348059,13499966,0
B,266165,14406684,0
P,486172,13013141,0
B,269826,15592796,0
B,300737,15863286,0
B,365570,15226605,0
B,312842,16164700,0
P,552469,14673497,0
I,967529,16478228,1
B,65103,17983635,0
B,66051,18049493,0
B,137912,17844998,0
B,62206,18116245,0
P,397864,17446435,0
B,68305,18642274,0
B,67661,18711268,0
B,130953,18510633,0
B,60915,18779608,0
P,330810,18179154,0
B,68914,19283961,0
B,67765,19353544,0
B,128880,19154737,0
B,60269,19421983,0
P,312843,18841205,0
B,66824,19804617,0
B,84594,19872112,0
B,104868,19699091,0
B,69706,19957387,0
P,215471,19482935,0
B,62053,20410453,0
B,164221,20245569,0
B,58232,20473199,0
P,217080,20027786,0
I,1616065,20532139,1
B,188004,23543723,0
B,192195,23732423,0
B,328981,23214065,0
B,136894,23925330,0
P,1064541,22148881,0
B,187609,25725949,0
B,200797,25914238,0
B,366705,25358552,0
B,160514,26115720,0
P,1294940,24062917,0
B,160848,27569395,0
B,200193,27730939,0
B,287009,27281701,0
B,190374,27931809,0
P,1004433,26276580,0
B,192570,29234396,0
B,180453,29427652,0
B,284982,28948712,0
B,183491,29608786,0
P,825159,28122853,0
B,180262,30293232,0
P,499609,29792941,0
I,883482,30474162,1
B,31927,31790882,0
B,33559,31823478,0
B,81926,31708287,0
B,32977,31857726,0
P,349310,31358312,0
B,37787,32235174,0
B,36187,32273656,0
B,73044,32161454,0
B,32148,32310193,0
P,269372,31891389,0
B,36092,32661099,0
B,35163,32697866,0
B,70745,32589687,0
B,30307,32733680,0
P,245954,32343043,0
B,35176,33009385,0
B,34301,33045251,0
B,70633,32938084,0
B,31604,33080237,0
P,172719,32764667,0
I,1810753,33112514,0
B,256961,36153058,0
B,292060,36410694,0
B,423107,35729255,0
B,266977,36703425,0
P,804625,34923950,0
B,269800,38254823,0
B,272925,38525340,0
B,493309,37760820,0
B,239069,38798951,0
P,789011,36971114,0
B,286368,40445573,0
B,267503,40732603,0
B,499177,39945705,0
B,227992,41000791,0
P,906665,39038362,0
B,267277,42395298,0
B,313168,42663298,0
B,414750,41979834,0
B,268238,42977153,0
P,749696,41229469,0
B,263656,44365338,0
B,423847,43940804,0
P,694125,43246019,0
I,1559462,44629672,1
B,275075,47338922,0
B,294459,47614679,0
B,388457,46949788,0
B,292468,47909828,0
P,759311,46189811,0
B,293817,49278876,0
B,290428,49573026,0
B,378777,48899390,0
B,292198,49864120,0
P,695738,48202963,0
B,306768,51208645,0
B,298867,51516110,0
B,375273,50832679,0
B,275863,51815746,0
P,675007,50157024,0
B,287323,53052633,0
B,289657,53340619,0
B,377421,52674593,0
B,275446,53631015,0
P,581531,52092361,0
I,1808424,53907123,0
B,100779,56964363,0
B,105425,57065802,0
B,196928,56766752,0
B,94642,57171907,0
P,1049831,55716265,0
B,101110,58333000,0
B,104570,58434813,0
B,179917,58152420,0
B,92126,58540067,0
P,884536,57267201,0
B,98121,59592456,0
B,101019,59691221,0
B,172071,59419703,0
B,91087,59792984,0
P,786469,58632541,0
B,97734,60580519,0
B,101797,60678909,0
B,171397,60408445,0
B,92570,60781361,0
P,523040,59884772,0
B,91144,61167139,0
P,291843,60874600,0
I,945994,61259003,1
B,114421,62558466,0
B,96680,62673567,0
B,144040,62413729,0
B,87037,62770904,0
P,207351,62205694,0
B,99703,63226469,0
B,82821,63326861,0
B,137790,63088008,0
B,79600,63410410,0
P,228724,62858628,0
B,95713,63845423,0
B,77807,63941843,0
B,130269,63714471,0
B,79052,64020310,0
P,223434,63490369,0
B,98440,64572105,0
B,76035,64671238,0
B,174727,64396689,0
B,72026,64747946,0
P,295964,64100054,0
B,76245,65307170,0
B,212637,65093871,0
B,74508,65384115,0
P,272523,64820666,0
I,1431529,65459288,1
B,76104,67870070,0
B,81075,67946857,0
B,195919,67673492,0
B,74699,68028590,0
P,781302,66891507,0
B,85027,68910892,0
B,87040,68996622,0
B,179592,68730562,0
B,73750,69084308,0
P,626267,68103954,0
B,95303,69948113,0
B,95663,70044084,0
B,190418,69756992,0
B,80295,70140457,0
P,597536,69158743,0
B,88684,70740242,0
B,116000,70829650,0
B,151775,70587772,0
B,109314,70946331,0
P,365714,70221420,0
B,120074,71681048,0
B,101523,71801812,0
B,218583,71461784,0
B,87728,71904007,0
P,404815,71056323,0
B,80692,72285526,0
P,292410,71992415,0
I,2044136,72366903,1
B,358325,75848107,0
B,381532,76207085,0
B,479434,75367973,0
B,366248,76589287,0
P,955902,74411387,0
B,384577,78547256,0
B,375326,78932516,0
B,574293,77972263,0
B,371581,79308522,0
P,1015336,76956237,0
B,433520,81219367,0
B,510473,81653561,0
B,609254,80609436,0
B,492597,82164742,0
P,927964,79680810,0
B,534758,84249769,0
B,512053,84785200,0
B,681655,83567411,0
B,573585,85297941,0
P,908754,82658022,0
P,893843,85872217,0
I,1706141,86766746,0
B,269086,89487862,0
B,282669,89757624,0
B,356600,89130551,0
B,255441,90040990,0
P,656679,88473556,0
B,264736,91301417,0
B,279554,91566821,0
B,358886,90941860,0
B,258310,91847067,0
P,644070,90297109,0
B,252365,93164622,0
B,237852,93417677,0
B,418682,92745254,0
B,241832,93656215,0
P,638521,92106050,0
B,279924,95055568,0
B,259767,95336186,0
B,434069,94620805,0
B,225663,95596628,0
P,721424,93898712,0
B,249445,96874869,0
B,298570,97124668,0
B,382875,96491304,0
B,298823,97423914,0
P,667656,95822966,0
I,1105664,97723420,1
B,207773,99488458,0
B,229314,99696903,0
B,355604,99132168,0
B,153962,99926924,0
P,301715,98829761,0
B,146217,100627026,0
B,208394,100773931,0
B,248094,100378242,0
B,184334,100983015,0
P,296003,100081559,0
B,215900,102273398,0
B,182034,102489934,0
B,335356,101937309,0
B,224083,102672655,0
P,768612,101168038,0
B,171197,103934921,0
B,157772,104106764,0
B,320429,103613785,0
B,125002,104264884,0
P,715701,102897402,0
P,395591,104390588,0
I,1154979,104786867,0
B,128426,106739688,0
B,144040,106868803,0
B,234527,106504470,0
B,146015,107013504,0
P,561248,105942543,0
B,183177,107921335,0
B,169807,108105184,0
B,318444,107602203,0
B,160214,108275654,0
P,441289,107160216,0
B,171884,109235537,0
B,144082,109408093,0
B,245923,108988965,0
B,126776,109552879,0
P,551700,108436557,0
B,130128,110408742,0
B,145267,110539554,0
B,244931,110163119,0
B,111879,110685155,0
P,482097,109680345,0
B,161729,111466962,0
B,204734,111629367,0
B,248766,111217485,0
B,212650,111834785,0
P,419085,110797706,0
P,362118,112048125,0
I,2653415,112410935,1
B,133969,117173608,0
B,214611,117308268,0
B,391824,116781079,0
B,195686,117523563,0
P,1715387,115065014,0
B,210462,119508759,0
B,216426,119719898,0
B,356297,119151767,0
B,185961,119937007,0
P,1431167,117719943,0
B,196397,121844882,0
B,206819,122041940,0
B,338868,121505322,0
B,185004,122249433,0
P,1380989,120123650,0
B,210010,124111279,0
B,216880,124321985,0
B,344056,123766539,0
B,190457,124539524,0
P,1331079,122434790,0
B,172835,125881563,0
B,212385,126055071,0
B,263792,125617090,0
B,163972,126268147,0
P,885716,124730678,0
B,171757,127500974,0
B,157816,127673372,0
B,342415,127157855,0
B,111275,127831832,0
P,724322,126432818,0
P,509696,127943774,0
I,1124306,128454166,1
B,98509,130049199,0
B,110401,130148385,0
B,146153,129902343,0
B,96866,130259497,0
P,322512,129579147,0
B,108107,130898946,0
B,91824,131007712,0
B,184378,130713912,0
B,77194,131100187,0
P,356492,130356726,0
B,88040,131715760,0
B,85697,131804450,0
B,189409,131525640,0
B,84768,131890846,0
P,346885,131178070,0
I,1878294,131976301,0
B,216562,135192740,0
B,279346,135410007,0
B,415046,134777011,0
B,198745,135690023,0
P,921024,133855288,0
B,216333,136882821,0
B,252209,137099860,0
B,339359,136542781,0
B,204695,137352745,0
P,652665,135889450,0
B,228116,138535401,0
B,248099,138764205,0
B,344203,138190853,0
B,215104,139012978,0
P,632040,137558141,0
B,216670,139948411,0
P,718963,139228760,0
I,1405440,140165755,1
B,263394,142619177,0
B,286174,142883282,0
B,544946,142073565,0
B,217611,143170139,0
P,501008,141571870,0
B,292280,144446413,0
B,267945,144739365,0
B,521924,143923846,0
B,210607,145008003,0
P,534683,143388430,0
B,292345,146174096,0
B,251239,146467116,0
B,459852,145713539,0
B,244549,146719057,0
P,493582,145219297,0
B,222754,147587479,0
P,622865,146963924,0
I,2126932,147810927,0
B,169804,151017444,0
B,187941,151187935,0
B,263784,150752981,0
B,190700,151376562,0
P,813759,149938525,0
B,160389,152328095,0
B,202378,152489180,0
B,254218,152073223,0
B,202169,152692258,0
P,504588,151567943,0
I,1093499,152895113,1
B,157776,154688850,0
B,177633,154847327,0
B,318606,154369565,0
B,153547,155025638,0
P,379595,153989289,0
B,306034,156670083,0
B,451577,156976782,0
B,634788,156034608,0
B,476270,157428699,0
P,854038,155179871,0
B,512286,159214834,0
B,557481,159727802,0
B,610465,158603698,0
B,576928,160285980,0
P,697354,157905655,0
B,524234,162233779,0
B,690445,161542659,0
P,678394,160863578,0
I,810654,162758692,0
B,254931,164203208,0
B,173621,164458831,0
B,277123,163925394,0
B,145757,164633126,0
P,354685,163570023,0
B,156945,165359871,0
B,139811,165517504,0
B,222908,165136299,0
B,138896,165658009,0
P,356035,164779573,0
B,139688,166386580,0
B,146813,166526961,0
B,221537,166164701,0
B,129462,166674479,0
P,366433,165797584,0
B,142388,167409558,0
B,145088,167552646,0
B,241101,167167782,0
B,137706,167698419,0
P,362502,166804612,0
B,156150,168292853,0
B,170827,168449701,0
B,199661,168092487,0
B,172421,168621199,0
P,255030,167836798,0
B,152006,169362841,0
B,203902,169158244,0
P,363250,168794277,0
I,727164,169515514,1
B,293112,171287070,0
B,247037,171580845,0
B,407829,170878553,0
B,230690,171828559,0
P,634513,170243370,0
B,249836,172919162,0
B,278957,173169680,0
B,350185,172568294,0
B,258140,173449318,0
P,508004,172059943,0
B,231414,174462929,0
B,243391,174695037,0
B,311804,174150480,0
B,224705,174939109,0
P,441638,173708133,0
B,217738,176016124,0
B,198172,176234559,0
B,370873,175644555,0
B,191989,176433402,0
P,479379,175164502,0
I,784132,176626061,0
B,181854,178274117,0
B,197226,178456646,0
B,340997,177932415,0
B,157461,178654542,0
P,520860,177410869,0
B,169564,179554081,0
B,205812,179724325,0
B,258416,179295327,0
B,172004,179930807,0
P,481942,178812700,0
B,175957,180783709,0
B,209491,180960326,0
B,260767,180522241,0
B,191024,181170490,0
P,418050,180103519,0
B,204684,182195168,0
B,173480,182400585,0
B,312577,181881904,0
B,170953,182574719,0
P,518976,181362217,0
B,177883,183420956,0
B,206059,183599504,0
B,256839,183163437,0
B,206790,183806264,0
P,416428,182746321,0
B,204687,184812073,0
B,180712,185017455,0
B,323053,184488334,0
B,170398,185198513,0
P,473946,184013738,0
B,176461,186038829,0
B,209711,186215981,0
