pict_type,pkt_size,pkt_pos,key_frame
I,847948,44,1
B,69412,1230791,0
B,76728,1300203,0
B,123606,1107185,0
B,128305,1376931,0
P,259193,847992,0
B,62513,1919189,0
B,64132,1981702,0
B,246849,1672340,0
B,37232,2045834,0
P,167104,1505236,0
B,21840,2353841,0
B,125229,2228612,0
B,21399,2375681,0
P,145546,2083066,0
B,32169,2854587,0
B,320468,2534119,0
B,32325,2886756,0
P,137039,2397080,0
B,23727,3192246,0
B,126014,3066232,0
B,24035,3215973,0
P,147151,2919081,0
B,30384,3725481,0
B,342317,3383164,0
B,34827,3755865,0
P,143156,3240008,0
B,25304,4045484,0
B,121178,3924306,0
B,24651,4070788,0
P,133614,3790692,0
B,33196,5018395,0
B,712813,4305582,0
B,34472,5051591,0
P,210143,4095439,0
B,24507,5339748,0
B,119540,5220208,0
B,21738,5364255,0
P,134145,5086063,0
B,31255,5817168,0
B,304837,5512331,0
B,29849,5848423,0
P,126338,5385993,0
B,21490,6099086,0
B,103329,5995757,0
B,21149,6120576,0
P,117485,5878272,0
B,29842,6605791,0
B,342084,6263707,0
B,30470,6635633,0
P,121982,6141725,0
B,22130,6895879,0
B,103884,6791995,0
B,21255,6918009,0
P,125892,6666103,0
B,27543,7429014,0
B,361110,7067904,0
B,28780,7456557,0
P,128640,6939264,0
B,19241,7701500,0
B,99104,7602396,0
B,17377,7720741,0
P,117059,7485337,0
B,25758,8602507,0
B,690843,7911664,0
B,30660,8628265,0
P,173546,7738118,0
B,20368,8900870,0
B,115446,8785424,0
B,15849,8921238,0
P,126499,8658925,0
B,22348,9380026,0
B,315314,9064712,0
B,24388,9402374,0
P,127625,8937087,0
B,18879,9648452,0
B,96545,9551907,0
B,18213,9667331,0
P,125145,9426762,0
B,23808,10164337,0
B,366068,9798269,0
B,28392,10188145,0
P,112725,9685544,0
B,22364,10415731,0
B,96534,10319197,0
B,22902,10438095,0
P,102660,10216537,0
B,30193,10952499,0
B,375416,10577083,0
P,116086,10460997,0
B,42312,11143081,0
B,60580,11082501,0
B,60869,11185393,0
P,99809,10982692,0
B,49658,12097433,0
B,47701,12147091,0
B,689973,11407460,0
B,35988,12194792,0
P,161198,11246262,0
B,26095,12469272,0
B,126566,12342706,0
B,22314,12495367,0
P,111926,12230780,0
B,26570,12955131,0
B,320903,12634228,0
B,29428,12981701,0
P,116547,12517681,0
B,23666,13217898,0
B,91632,13126266,0
B,20771,13241564,0
P,115137,13011129,0
B,25938,13741286,0
B,368445,13372841,0
B,30462,13767224,0
P,110506,13262335,0
B,23542,14006059,0
B,92408,13913651,0
B,22853,14029601,0
P,115965,13797686,0
B,26736,14556788,0
B,396276,14160512,0
B,29795,14583524,0
P,108058,14052454,0
B,24382,14811525,0
B,91880,14719645,0
B,22966,14835907,0
P,106326,14613319,0
B,28815,15733192,0
B,705274,15027918,0
B,32195,15762007,0
P,169045,14858873,0
B,23280,16072567,0
B,160978,15911589,0
B,20543,16095847,0
P,117387,15794202,0
B,24546,16550426,0
B,328911,16221515,0
B,27481,16574972,0
P,105125,16116390,0
B,21910,16802951,0
B,90066,16712885,0
B,21675,16824861,0
P,110432,16602453,0
B,29801,17334438,0
B,382970,16951468,0
B,28647,17364239,0
P,104932,16846536,0
B,22263,17581700,0
B,88698,17493002,0
B,21653,17603963,0
P,100116,17392886,0
B,26399,18131213,0
B,408044,17723169,0
B,27474,18157612,0
P,97553,17625616,0
B,17731,18359758,0
B,88381,18271377,0
B,16563,18377489,0
P,86291,18185086,0
B,25974,19232900,0
B,686069,18546831,0
B,32410,19258874,0
P,152779,18394052,0
B,21163,19517973,0
B,127061,19390912,0
B,18813,19539136,0
P,99628,19291284,0
B,24260,19996184,0
B,338374,19657810,0
B,31575,20020444,0
P,99861,19557949,0
B,23822,20246132,0
B,87157,20158975,0
B,22728,20269954,0
P,106956,20052019,0
B,29353,20770626,0
B,382116,20388510,0
B,28140,20799979,0
P,95828,20292682,0
B,19004,21016706,0
B,87689,20929017,0
B,19909,21035710,0
P,100898,20828119,0
B,28425,21577776,0
B,423488,21154288,0
B,30724,21606201,0
P,98669,21055619,0
B,21252,21833572,0
B,89248,21744324,0
B,20070,21854824,0
P,107399,21636925,0
B,27446,22716769,0
B,703062,22013707,0
B,31346,22744215,0
P,138813,21874894,0
B,19315,22980529,0
B,106280,22874249,0
B,16748,22999844,0
P,98688,22775561,0
B,24916,23460876,0
B,344089,23116787,0
B,26199,23485792,0
P,100195,23016592,0
B,21034,23703959,0
B,87260,23616699,0
B,21362,23724993,0
P,104708,23511991,0
B,28461,24255875,0
B,402913,23852962,0
B,32773,24284336,0
P,106607,23746355,0
B,25122,24519602,0
B,90156,24429446,0
B,23643,24544724,0
P,112337,24317109,0
B,30647,25092216,0
B,418339,24673877,0
B,34766,25122863,0
P,105510,24568367,0
B,25847,25338723,0
B,71305,25267418,0
P,109789,25157629,0
B,51217,26219605,0
B,52651,26270822,0
B,685738,25533867,0
