pict_type,pkt_size,pkt_pos,key_frame
I,448860,44,1
B,1213,695306,0
B,8454,686852,0
B,2691,696519,0
P,237948,448904,0
B,13966,991584,0
B,19596,1005550,0
B,42923,948661,0
B,31518,1025146,0
P,249451,699210,0
B,23571,1340632,0
B,40867,1299765,0
B,26754,1364203,0
P,243101,1056664,0
B,36387,1684757,0
B,63990,1620767,0
B,33990,1721144,0
P,229810,1390957,0
B,26170,2062078,0
B,47589,2014489,0
B,32797,2088248,0
P,259355,1755134,0
B,30547,2421867,0
B,56260,2365607,0
B,32956,2452414,0
P,244562,2121045,0
B,20288,2813457,0
B,41610,2771847,0
B,31731,2833745,0
P,286477,2485370,0
B,20590,3225919,0
B,46191,3179728,0
B,39491,3246509,0
P,314252,2865476,0
B,21475,3596761,0
B,42942,3553819,0
B,31917,3618236,0
P,267819,3286000,0
B,25653,3957554,0
B,53494,3904060,0
B,33771,3983207,0
P,253907,3650153,0
B,22695,4326090,0
B,46898,4279192,0
B,33273,4348785,0
P,262214,4016978,0
B,25690,4695201,0
B,52075,4643126,0
B,35280,4720891,0
P,261068,4382058,0
B,24275,5072059,0
B,46814,5025245,0
B,34098,5096334,0
P,269074,4756171,0
B,26785,5451894,0
B,53258,5398636,0
B,38288,5478679,0
P,268204,5130432,0
B,23873,5854440,0
B,43940,5810500,0
B,32505,5878313,0
P,293533,5516967,0
B,23364,6278147,0
B,48837,6229310,0
B,41356,6301511,0
P,318492,5910818,0
B,25243,6669234,0
B,46561,6622673,0
B,35017,6694477,0
P,279806,6342867,0
B,27556,7052572,0
B,52748,6999824,0
B,36935,7080128,0
P,270330,6729494,0
B,26420,7434579,0
B,47029,7387550,0
B,33218,7460999,0
P,270487,7117063,0
B,28233,7813638,0
B,54592,7759046,0
B,38393,7841871,0
P,264829,7494217,0
B,28124,8198257,0
B,48191,8150066,0
B,34464,8226381,0
P,269802,7880264,0
B,29991,8577559,0
B,52650,8524909,0
B,38369,8607550,0
P,264064,8260845,0
B,28040,8977214,0
B,46592,8930622,0
B,33950,9005254,0
P,284703,8645919,0
B,28766,9409390,0
B,52054,9357336,0
B,44638,9438156,0
P,318132,9039204,0
B,28535,9806813,0
B,50054,9756759,0
B,35284,9835348,0
