pict_type,pkt_size,pkt_pos,key_frame
I,630259,44,1
B,1129,1003294,0
B,8273,995021,0
B,2105,1004423,0
P,364718,630303,0
B,4002,1223446,0
B,4473,1227448,0
B,13424,1210022,0
B,20182,1231921,0
P,203494,1006528,0
B,9566,1361590,0
B,17611,1343979,0
P,91876,1252103,0
B,26541,1639212,0
B,40748,1665753,0
B,42489,1596723,0
B,82411,1706501,0
P,225567,1371156,0
B,11782,1966886,0
B,18661,1948225,0
B,22771,1978668,0
P,159313,1788912,0
B,15253,2455445,0
B,13004,2470698,0
B,265733,2189712,0
B,5202,2483702,0
P,188273,2001439,0
B,4681,2670539,0
B,69053,2601486,0
B,4168,2675220,0
P,112582,2488904,0
B,5334,3369251,0
B,278024,3091227,0
P,411839,2679388,0
B,8196,3511161,0
B,12081,3499080,0
B,13808,3519357,0
P,124495,3374585,0
B,11450,3973189,0
B,11250,3984639,0
B,254778,3718411,0
B,7811,3995889,0
P,185246,3533165,0
B,3998,4210387,0
B,57377,4153010,0
B,4074,4214385,0
P,149310,4003700,0
B,7101,4645738,0
B,273166,4372572,0
B,7335,4652839,0
P,154113,4218459,0
B,4293,4846909,0
B,55483,4791426,0
B,3917,4851202,0
P,131252,4660174,0
B,6638,5300063,0
B,255751,5044312,0
P,189193,4855119,0
B,8504,5429424,0
B,10043,5419381,0
B,18657,5437928,0
P,112680,5306701,0
B,9521,5865966,0
B,18083,5847883,0
B,232105,5875487,0
P,391298,5456585,0
B,9399,6232348,0
B,10894,6221454,0
B,12812,6241747,0
P,113862,6107592,0
B,12389,6673622,0
B,10856,6686011,0
B,241939,6431683,0
B,7747,6696867,0
P,177124,6254559,0
B,3987,6895708,0
B,50367,6845341,0
B,3957,6899695,0
P,140727,6704614,0
B,7551,7348458,0
B,251273,7097185,0
P,193533,6903652,0
B,11350,7469648,0
B,10647,7459001,0
B,15527,7480998,0
P,102992,7356009,0
B,9295,7690315,0
B,18004,7672311,0
B,198329,7699610,0
P,175786,7496525,0
B,12102,8012930,0
B,11157,8001773,0
B,16056,8025032,0
P,103834,7897939,0
B,10262,8433371,0
B,18462,8414909,0
B,233475,8443633,0
P,373821,8041088,0
B,8903,8802728,0
B,10423,8792305,0
B,13456,8811631,0
P,115197,8677108,0
B,7742,9035370,0
B,20024,9015346,0
B,187751,9043112,0
P,190259,8825087,0
B,11820,9347888,0
B,10302,9337586,0
B,14186,9359708,0
P,106723,9230863,0
B,11468,9572711,0
B,18517,9554194,0
B,196417,9584179,0
P,180300,9373894,0
B,11530,9895982,0
B,9707,9886275,0
B,15543,9907512,0
P,105679,9780596,0
B,10703,10115936,0
B,15715,10100221,0
B,194923,10126639,0
P,177166,9923055,0
B,10802,10436452,0
B,9572,10426880,0
B,15922,10447254,0
P,105318,10321562,0
B,11541,10856498,0
B,18265,10838233,0
B,233911,10868039,0
P,375057,10463176,0
B,8363,11224551,0
B,9331,11215220,0
B,13337,11232914,0
P,113270,11101950,0
B,8060,11457181,0
B,18651,11438530,0
B,181150,11465241,0
P,192279,11246251,0
B,11539,11768952,0
B,9388,11759564,0
B,16023,11780491,0
P,113173,11646391,0
B,10322,11978034,0
B,14036,11963998,0
B,193648,11988356,0
P,167484,11796514,0
B,10941,12302543,0
B,9204,12293339,0
B,16150,12313484,0
P,111335,12182004,0
B,10237,12507017,0
B,16379,12490638,0
B,192132,12517254,0
P,161004,12329634,0
B,11277,12829784,0
B,8822,12820962,0
B,17355,12841061,0
P,111576,12709386,0
B,11393,13238835,0
B,15508,13223327,0
B,235831,13250228,0
P,364911,12858416,0
B,10232,13607191,0
B,10443,13596748,0
B,14315,13617423,0
P,110689,13486059,0
B,8746,13836408,0
B,17753,13818655,0
B,178212,13845154,0
P,186917,13631738,0
B,11276,14139918,0
B,8926,14130992,0
B,16530,14151194,0
P,107626,14023366,0
B,10079,14358503,0
B,14185,14344318,0
B,188673,14368582,0
P,176594,14167724,0
B,11229,14676737,0
B,9132,14667605,0
B,16963,14687966,0
P,110350,14557255,0
B,10924,14890301,0
B,15349,14874952,0
B,191080,14901225,0
P,170023,14704929,0
B,11393,15215680,0
B,9991,15205689,0
B,19072,15227073,0
P,113384,15092305,0
B,11942,15638337,0
B,18925,15619412,0
B,235140,15650279,0
P,373267,15246145,0
B,9903,16009017,0
B,10378,15998639,0
B,14723,16018920,0
P,113220,15885419,0
B,9181,16232915,0
B,17136,16215779,0
B,176863,16242096,0
P,182136,16033643,0
B,12604,16532537,0
B,9826,16522711,0
B,16918,16545141,0
P,103752,16418959,0
B,12310,16760512,0
B,15322,16745190,0
B,187184,16772822,0
P,183131,16562059,0
B,12482,17081230,0
B,9913,17071317,0
B,17169,17093712,0
P,111311,16960006,0
B,10979,17304524,0
B,16615,17287909,0
B,189535,17315503,0
P,177028,17110881,0
B,12103,17617086,0
B,10265,17606821,0
B,18595,17629189,0
P,101783,17505038,0
B,12896,18034858,0
B,15023,18019835,0
B,234092,18047754,0
P,372051,17647784,0
B,9685,18404313,0
B,8882,18395431,0
B,14123,18413998,0
P,113585,18281846,0
B,8766,18625065,0
B,19817,18605248,0
B,174873,18633831,0
P,177127,18428121,0
B,12456,18912216,0
B,10064,18902152,0
B,18471,18924672,0
P,93448,18808704,0
B,12615,19114874,0
B,16711,19098163,0
B,187562,19127489,0
P,155020,18943143,0
B,12223,19400203,0
B,10224,19389979,0
B,19541,19412426,0
P,74928,19315051,0
B,15626,20180669,0
B,8823,20196295,0
B,236085,19944584,0
B,6980,20205118,0
I,512617,19431967,1
B,4261,20309662,0
B,25268,20313923,0
B,7715,20301947,0
B,11996,20339191,0
P,89849,20212098,0
B,236488,20677660,0
B,15172,20662488,0
B,10860,20914148,0
P,311301,20351187,0
B,14846,21057948,0
B,9313,21048635,0
B,10186,21072794,0
P,123627,20925008,0
B,169169,21273888,0
B,16033,21257855,0
B,13092,21443057,0
P,174875,21082980,0
B,18937,21566295,0
B,10434,21555861,0
B,12989,21585232,0
P,99712,21456149,0
B,185158,21772049,0
B,14218,21757831,0
B,11862,21957207,0
P,159610,21598221,0
B,19048,22077684,0
B,11114,22066570,0
B,13226,22096732,0
P,97501,21969069,0
B,185149,22276099,0
B,14449,22261650,0
B,12038,22461248,0
