pict_type,pkt_size,pkt_pos,key_frame
I,522987,44,1
B,8571,817075,0
P,294044,523031,0
B,8890,984730,0
B,24993,959737,0
P,134091,825646,0
B,16026,1101504,0
P,107884,993620,0
B,35527,1269556,0
B,20248,1249308,0
P,131778,1117530,0
B,9559,1439277,0
P,134194,1305083,0
B,14001,1652970,0
B,52641,1600329,0
P,151493,1448836,0
B,61875,1855709,0
B,27598,1828111,0
P,161140,1666971,0
B,10131,2115898,0
B,42785,2073113,0
P,155529,1917584,0
B,23363,2257337,0
P,131308,2126029,0
B,131813,2460138,0
B,28397,2431741,0
P,151041,2280700,0
P,83853,2591951,0
B,29654,2783442,0
P,107638,2675804,0
B,18646,2960239,0
P,147143,2813096,0
B,196783,3245213,0
B,27349,3217864,0
P,238979,2978885,0
B,11724,3594976,0
P,152980,3441996,0
B,13907,3802191,0
B,32473,3769718,0
P,163018,3606700,0
B,127551,3975807,0
P,159709,3816098,0
B,21267,4232141,0
P,128783,4103358,0
B,31394,4383382,0
P,129974,4253408,0
B,24578,4688337,0
B,83998,4604339,0
B,160002,4712915,0
P,189563,4414776,0
P,76883,4872917,0
B,13943,5132410,0
B,46177,5086233,0
P,136433,4949800,0
B,24267,5265700,0
P,119347,5146353,0
B,159206,5442321,0
P,152354,5289967,0
B,26277,5782932,0
B,25001,5757931,0
P,156404,5601527,0
B,12550,6011691,0
B,37335,5974356,0
P,165147,5809209,0
B,205194,6314399,0
B,53197,6261202,0
B,24187,6519593,0
P,236961,6024241,0
B,27859,6653340,0
P,109560,6543780,0
B,24299,6816134,0
P,134935,6681199,0
B,149672,6987226,0
P,146793,6840433,0
B,25870,7323223,0
B,24961,7298262,0
P,161364,7136898,0
B,11001,7553098,0
B,34185,7518913,0
P,169820,7349093,0
B,157554,7708237,0
P,144138,7564099,0
B,23287,7985250,0
P,119459,7865791,0
B,34341,8165908,0
B,24390,8141518,0
P,132981,8008537,0
B,15374,8557462,0
B,198450,8359012,0
P,158763,8200249,0
B,25030,8684080,0
P,111244,8572836,0
B,41329,8914643,0
B,50057,8864586,0
B,26987,8955972,0
P,155476,8709110,0
B,224977,9174987,0
P,192028,8982959,0
B,32506,9656885,0
B,25704,9689391,0
B,80923,9575962,0
B,14984,9715095,0
P,175998,9399964,0
B,15323,10061606,0
B,171375,9890231,0
P,160152,9730079,0
B,27724,10189511,0
P,112582,10076929,0
B,35248,10337272,0
P,120037,10217235,0
B,28771,10515922,0
P,143402,10372520,0
B,146576,10692629,0
P,147936,10544693,0
B,28751,10959605,0
P,120400,10839205,0
B,35724,11108919,0
P,120563,10988356,0
B,28885,11282837,0
P,138194,11144643,0
B,153873,11451104,0
P,139382,11311722,0
B,29428,11716282,0
P,111305,11604977,0
B,41189,11968208,0
B,55965,11912243,0
B,30069,12009397,0
P,166533,11745710,0
B,232398,12295217,0
B,68522,12226695,0
B,29038,12527615,0
P,187229,12039466,0
B,38591,12667925,0
P,111272,12556653,0
B,30239,12955647,0
B,68299,12887348,0
B,143846,12985886,0
P,180832,12706516,0
B,27833,13242650,0
P,112918,13129732,0
B,39759,13385164,0
P,114681,13270483,0
B,30657,13664443,0
B,66784,13597659,0
B,143794,13695100,0
P,172736,13424923,0
B,29455,13955790,0
P,116896,13838894,0
B,38577,14101321,0
P,116076,13985245,0
B,36958,14506112,0
B,30684,14543070,0
B,204483,14301629,0
B,21577,14573754,0
P,161731,14139898,0
B,18158,14799737,0
B,61028,14738709,0
P,143378,14595331,0
B,33313,15126459,0
B,83177,15043282,0
B,228592,15159772,0
P,225387,14817895,0
B,28771,15501668,0
P,113304,15388364,0
B,38085,15636612,0
P,106173,15530439,0
B,34047,15903412,0
B,67529,15835883,0
B,129364,15937459,0
P,161186,15674697,0
B,32131,16182866,0
P,116043,16066823,0
B,43023,16422758,0
B,54807,16367951,0
B,30873,16465781,0
P,152954,16214997,0
B,136968,16628915,0
P,132261,16496654,0
B,31421,16966180,0
B,52509,16913671,0
B,41305,16997601,0
P,147788,16765883,0
B,30849,17259645,0
B,64088,17195557,0
B,145418,17290494,0
P,156651,17038906,0
B,37614,17662654,0
B,28224,17700268,0
B,82484,17580170,0
B,18628,17728492,0
P,144258,17435912,0
B,23116,18210736,0
B,286111,17924625,0
P,177505,17747120,0
B,32838,18436985,0
B,56524,18380461,0
B,41711,18469823,0
P,146609,18233852,0
B,38708,18849674,0
B,34550,18888382,0
B,190114,18659560,0
B,23084,18922932,0
P,148026,18511534,0
B,20449,19184612,0
B,100157,19084455,0
B,20058,19205061,0
P,138439,18946016,0
B,22418,19543207,0
B,170540,19372667,0
P,147548,19225119,0
P,92862,19565625,0
B,18135,19909416,0
B,103880,19805536,0
B,18005,19927551,0
P,147049,19658487,0
