pict_type,pkt_size,pkt_pos,key_frame
I,747005,44,1
B,4819,1090963,0
B,22927,1068036,0
B,9969,1095782,0
P,320987,747049,0
B,13332,1388046,0
B,36336,1351710,0
B,20651,1401378,0
P,245959,1105751,0
B,14860,1759527,0
B,49214,1710313,0
B,15062,1774387,0
P,288284,1422029,0
B,20513,2115149,0
B,66085,2049064,0
B,27597,2135662,0
P,259615,1789449,0
B,20392,2570669,0
B,59389,2511280,0
B,19607,2591061,0
P,348021,2163259,0
B,24387,2918065,0
P,307397,2610668,0
B,28755,3412397,0
B,122485,3289912,0
B,23571,3441152,0
P,347460,2942452,0
B,21374,3882506,0
B,86492,3796014,0
B,22801,3903880,0
P,331291,3464723,0
B,20942,4556855,0
B,181520,4375335,0
B,23162,4577797,0
P,448654,3926681,0
B,19347,4980317,0
B,79066,4901251,0
B,19763,4999664,0
P,300292,4600959,0
B,23173,5438335,0
B,105290,5333045,0
B,21111,5461508,0
P,313618,5019427,0
B,19125,5873906,0
B,87625,5786281,0
B,20957,5893031,0
P,303662,5482619,0
B,22527,6308876,0
B,116110,6192766,0
B,17541,6331403,0
P,278778,5913988,0
B,17674,6773572,0
B,81454,6692118,0
B,20803,6791246,0
P,343174,6348944,0
B,22316,7206607,0
B,101682,7104925,0
B,18490,7228923,0
P,292876,6812049,0
B,16437,7628503,0
B,73705,7554798,0
B,16275,7644940,0
P,307385,7247413,0
B,16448,8221630,0
B,167433,8054197,0
B,21050,8238078,0
P,392982,7661215,0
B,20065,8616054,0
B,70337,8545717,0
B,22353,8636119,0
P,286589,8259128,0
B,23892,9020810,0
B,104302,8916508,0
B,23644,9044702,0
P,258036,8658472,0
B,23054,9410084,0
B,75826,9334258,0
B,25660,9433138,0
P,265912,9068346,0
B,25216,9798780,0
B,111369,9687411,0
B,24523,9823996,0
P,228613,9458798,0
B,24345,10203236,0
B,80751,10122485,0
B,25387,10227581,0
P,273966,9848519,0
B,25293,10656325,0
B,129161,10527164,0
