pict_type,pkt_size,pkt_pos,key_frame
I,60283,44,1
B,97,70454,0
B,97,70563,0
B,115,70327,0
B,93,70672,0
P,9979,60327,0
B,187,71411,0
B,187,71610,0
B,182,71217,0
B,184,71809,0
P,434,70777,0
B,187,72446,0
B,187,72645,0
B,186,72248,0
B,183,72844,0
P,237,72005,0
B,183,73474,0
B,183,73669,0
B,197,73265,0
B,187,73864,0
P,220,73039,0
B,182,74490,0
B,182,74684,0
B,188,74290,0
B,180,74878,0
P,221,74063,0
B,173,75496,0
B,173,75681,0
B,181,75303,0
B,171,75866,0
P,227,75070,0
B,173,76460,0
B,173,76645,0
B,186,76262,0
B,176,76830,0
P,207,76049,0
B,175,77437,0
B,175,77624,0
B,182,77243,0
B,176,77811,0
P,219,77018,0
B,171,78397,0
B,171,78580,0
B,176,78209,0
B,172,78763,0
P,204,77999,0
B,165,79339,0
B,165,79516,0
B,176,79151,0
B,167,79693,0
P,198,78947,0
B,167,80268,0
B,167,80447,0
B,174,80082,0
B,169,80626,0
P,204,79872,0
B,167,81199,0
B,167,81378,0
B,176,81011,0
B,169,81557,0
P,198,80801,0
B,169,82130,0
B,169,82311,0
B,176,81942,0
B,171,82492,0
P,198,81732,0
B,165,83066,0
B,165,83243,0
B,177,82877,0
B,170,83420,0
P,196,82669,0
B,165,83990,0
B,165,84167,0
B,174,83804,0
B,167,84344,0
P,196,83596,0
B,165,84911,0
B,165,85088,0
B,176,84723,0
B,167,85265,0
P,194,84517,0
B,165,85830,0
B,165,86007,0
B,174,85644,0
B,167,86184,0
P,194,85438,0
B,165,86746,0
B,165,86923,0
B,174,86560,0
B,167,87100,0
P,191,86357,0
B,165,87662,0
B,165,87839,0
B,174,87476,0
B,167,88016,0
P,191,87273,0
B,165,88578,0
B,165,88755,0
B,174,88392,0
B,167,88932,0
P,191,88189,0
B,168,89510,0
B,168,89690,0
B,176,89322,0
B,167,89870,0
P,205,89105,0
B,164,90426,0
B,164,90602,0
B,171,90243,0
B,164,90772,0
P,188,90043,0
B,164,91336,0
B,176,91148,0
P,188,90948,0
I,452,91512,1
B,90,92186,0
B,90,92288,0
B,92,92082,0
B,90,92390,0
P,100,91970,0
B,91,92705,0
B,91,92808,0
B,93,92600,0
B,91,92911,0
P,102,92486,0
B,91,93228,0
B,91,93331,0
B,94,93122,0
B,91,93434,0
P,102,93008,0
B,91,93751,0
B,91,93854,0
B,94,93645,0
B,91,93957,0
P,102,93531,0
B,91,94274,0
B,91,94377,0
B,94,94168,0
B,91,94480,0
P,102,94054,0
B,91,94797,0
B,91,94900,0
B,94,94691,0
B,91,95018,0
P,102,94577,0
B,91,95335,0
B,91,95438,0
B,94,95229,0
B,91,95541,0
P,102,95115,0
B,103,97675,0
B,103,98551,0
B,303,97360,0
B,656,99417,0
P,1710,95638,0
B,1580,111885,0
B,2033,114256,0
B,3333,107731,0
B,2377,117085,0
P,6511,100447,0
B,3257,141788,0
B,3792,145835,0
B,7281,133740,0
B,3193,149993,0
P,13091,119850,0
B,4813,178678,0
B,5290,184280,0
B,7703,170178,0
B,4121,189989,0
P,15447,153952,0
B,5104,228763,0
B,5639,234788,0
B,10748,217101,0
B,5138,240843,0
P,21279,194919,0
B,7235,279663,0
B,7122,287679,0
B,9524,269362,0
B,4767,295208,0
P,21763,246789,0
B,4624,334244,0
B,4954,339630,0
B,9399,324109,0
B,4098,344969,0
P,22580,300749,0
B,6692,386534,0
B,7750,393974,0
B,11213,374569,0
B,6402,402074,0
P,24011,349789,0
B,7301,453163,0
B,7479,461231,0
B,12962,439383,0
B,9242,469097,0
P,29370,409236,0
B,7943,525424,0
B,8766,534104,0
B,12276,512398,0
B,7555,543250,0
P,32571,479092,0
B,7008,603921,0
B,7032,611643,0
B,12593,590565,0
B,20723,619063,0
P,38285,551539,0
B,7593,691688,0
B,9282,700037,0
B,14057,676882,0
B,8848,709687,0
P,35628,640507,0
B,9011,774684,0
B,8902,784420,0
B,15615,758344,0
B,28682,793713,0
P,38247,719316,0
B,9695,879853,0
B,11495,889922,0
B,15341,863782,0
B,9290,902143,0
P,39838,823211,0
B,10543,979449,0
B,9419,990377,0
B,19084,959555,0
B,23314,1000508,0
P,46633,912174,0
B,9137,1081114,0
B,10531,1090601,0
B,15007,1065432,0
B,8409,1101897,0
P,40100,1024587,0
B,9162,1180797,0
B,8714,1190358,0
B,18257,1161752,0
B,8635,1199889,0
P,49974,1111032,0
B,9653,1268802,0
B,12011,1278845,0
B,16061,1251983,0
B,8503,1291591,0
P,42083,1209197,0
B,12980,1378074,0
B,9152,1391486,0
B,19913,1357501,0
B,6590,1401337,0
P,55847,1300714,0
B,9714,1476046,0
B,11762,1486241,0
B,17864,1457431,0
B,11502,1498990,0
P,47528,1408792,0
B,13259,1596498,0
B,12384,1610157,0
B,27137,1568679,0
B,9430,1623245,0
P,56780,1511108,0
B,12354,1713120,0
B,16162,1725817,0
B,21809,1690546,0
B,13875,1742684,0
P,55790,1633642,0
B,14883,1849168,0
B,11716,1864435,0
B,27734,1820715,0
B,9002,1876872,0
P,62627,1757327,0
B,13285,1960911,0
B,17039,1974615,0
B,22661,1937547,0
B,15141,1992396,0
P,50166,1886573,0
B,19015,2109110,0
B,18959,2128958,0
B,44068,2064664,0
B,13922,2148615,0
P,55593,2008274,0
B,15421,2237858,0
B,19690,2254399,0
B,23210,2214238,0
B,13555,2274862,0
P,50178,2163326,0
B,16117,2381764,0
B,15326,2398560,0
B,33503,2347948,0
B,10447,2414638,0
P,57899,2289228,0
B,11918,2494383,0
B,16307,2507038,0
B,20786,2473165,0
B,12989,2524175,0
P,46711,2425757,0
B,17754,2625556,0
B,14480,2644059,0
B,31496,2593573,0
B,14306,2659321,0
P,54884,2537935,0
B,13187,2738222,0
B,20052,2752195,0
B,21665,2716166,0
B,14423,2773043,0
P,41021,2674397,0
B,24408,2866117,0
B,29796,2891319,0
B,33371,2832378,0
B,18952,2921809,0
P,43380,2788241,0
B,19100,3001210,0
B,20243,3021073,0
B,25844,2974999,0
B,15249,3042099,0
P,32644,2941569,0
B,16155,3105439,0
B,16422,3122392,0
B,22990,3082048,0
B,10636,3139542,0
P,23167,3058093,0
B,13030,3173783,0
B,11844,3187552,0
B,12576,3160828,0
B,5472,3200210,0
P,9175,3150910,0
B,4022,3209891,0
B,3090,3214627,0
B,1844,3207188,0
B,164,3218504,0
P,385,3206390,0
B,379,3228073,0
B,379,3229227,0
B,841,3226497,0
B,2821,3230409,0
P,6667,3219450,0
B,6146,3265713,0
B,8225,3272595,0
B,13123,3251875,0
B,6528,3281573,0
P,17518,3234030,0
B,9231,3331645,0
B,10469,3341566,0
B,16156,3314708,0
B,9617,3352793,0
P,25470,3288871,0
B,13371,3419437,0
B,13288,3433505,0
B,20352,3398343,0
B,9620,3447537,0
P,34813,3363157,0
B,13101,3525483,0
B,14889,3539330,0
B,22921,3501825,0
B,13079,3554968,0
P,43531,3457923,0
B,15937,3648007,0
B,14887,3664693,0
B,27395,3619854,0
B,13206,3680319,0
P,50679,3568802,0
B,17914,3775253,0
B,20817,3793900,0
B,25813,3748713,0
B,16347,3815468,0
P,54051,3694298,0
B,28567,3985396,0
B,20479,4014751,0
B,38470,3946095,0
B,14086,4035912,0
I,113346,3832435,1
B,19354,4153493,0
B,26711,4173530,0
B,32262,4120531,0
B,17965,4201191,0
P,69078,4050900,0
B,22584,4343193,0
B,19153,4366358,0
B,35583,4306647,0
B,13683,4386146,0
P,85981,4220168,0
B,19677,4513629,0
B,25812,4534023,0
B,33940,4478904,0
B,21323,4560635,0
P,77909,4400213,0
B,24136,4712133,0
B,21866,4737088,0
B,45606,4665683,0
B,19767,4759939,0
P,82619,4582287,0
B,27038,4895286,0
B,35851,4923235,0
B,42932,4851652,0
B,28636,4959920,0
P,70838,4780067,0
B,32929,5120754,0
B,28685,5154302,0
B,51400,5068438,0
B,25767,5183797,0
P,78821,4988882,0
B,30699,5328052,0
B,35502,5359481,0
B,44872,5282221,0
B,29211,5395696,0
P,71405,5209975,0
B,32549,5548567,0
B,28550,5581877,0
B,48223,5499662,0
B,24399,5611272,0
P,73645,5425301,0
B,31662,5752255,0
B,36145,5784751,0
B,44084,5707433,0
B,27765,5821735,0
P,70600,5636038,0
B,31598,5965872,0
B,29388,5998202,0
B,48565,5916533,0
B,28253,6028274,0
P,65849,5849879,0
B,30058,6158556,0
B,30078,6189385,0
B,37931,6119839,0
B,23430,6220270,0
P,62181,6056840,0
B,31264,6359383,0
B,27856,6391440,0
B,42644,6315947,0
B,22392,6419978,0
P,71198,6244079,0
B,25495,6551478,0
B,27557,6577787,0
B,37025,6513660,0
B,23169,6605799,0
P,70198,6442713,0
B,26063,6743529,0
B,23378,6770345,0
B,35736,6707053,0
B,17858,6794118,0
P,76470,6629810,0
B,21949,6924286,0
B,24391,6947084,0
B,33687,6889445,0
B,20813,6971886,0
P,76036,6812692,0
B,19657,7109173,0
B,17545,7129615,0
B,32438,7076005,0
B,13891,7147586,0
P,81760,6993362,0
B,17803,7276896,0
B,22613,7295450,0
B,29694,7246492,0
B,17601,7318399,0
P,82968,7162541,0
B,18918,7455851,0
B,15617,7475549,0
B,30247,7424806,0
B,12876,7491727,0
P,87330,7336742,0
B,18937,7620522,0
B,22340,7640077,0
B,29627,7589888,0
B,17637,7662881,0
P,83854,7505297,0
B,18864,7799180,0
B,17206,7818767,0
B,31129,7767307,0
B,14146,7836363,0
P,85376,7681192,0
B,21377,7967951,0
B,23832,7990048,0
B,31858,7935411,0
B,19097,8014312,0
P,83336,7851340,0
B,22492,8152180,0
B,19750,8175533,0
B,33793,8117418,0
B,15733,8195659,0
P,82595,8034090,0
