pict_type,pkt_size,pkt_pos,key_frame
I,677103,44,1
B,75357,1174585,0
B,86994,1249942,0
B,114162,1060423,0
B,87269,1336936,0
P,383276,677147,0
B,84492,1802790,0
B,123869,1678921,0
B,116585,1887282,0
P,254716,1424205,0
B,97733,2350130,0
B,126060,2224070,0
B,101554,2447863,0
P,220203,2003867,0
B,101118,2914414,0
B,130534,2783880,0
B,112514,3015532,0
P,234463,2549417,0
B,99599,3483490,0
B,129578,3353912,0
B,105425,3583089,0
P,225866,3128046,0
B,100792,4163604,0
B,136446,4027158,0
B,126817,4264396,0
P,338644,3688514,0
B,102036,4800112,0
B,131855,4668257,0
B,107246,4902148,0
P,277044,4391213,0
B,101756,5581177,0
B,135573,5445604,0
B,145933,5682933,0
P,436210,5009394,0
B,102978,6201811,0
B,133409,6068402,0
B,105260,6304789,0
P,239536,5828866,0
B,106410,6831367,0
B,104308,6937777,0
B,158408,6672959,0
B,94450,7042085,0
P,262910,6410049,0
B,100850,7530787,0
B,110454,7631637,0
B,123842,7406945,0
B,102581,7742091,0
P,270410,7136535,0
B,137994,8244661,0
B,103052,8382655,0
B,129047,8115614,0
B,95127,8485707,0
P,270942,7844672,0
B,105787,9044312,0
B,106576,9150099,0
B,129152,8915160,0
B,140423,9256675,0
P,334326,8580834,0
B,105319,9801302,0
B,135330,9665972,0
B,108095,9906621,0
P,268874,9397098,0
B,104644,10568654,0
B,139036,10429618,0
B,146416,10673298,0
P,414902,10014716,0
B,103570,11201051,0
B,132886,11068165,0
B,104682,11304621,0
P,248451,10819714,0
B,102383,11818152,0
B,137258,11680894,0
B,130870,11920535,0
P,271591,11409303,0
B,103433,12425424,0
B,131717,12293707,0
B,105674,12528857,0
P,242302,12051405,0
B,102235,13056320,0
B,134329,12921991,0
B,131416,13158555,0
P,287460,12634531,0
B,104122,13660141,0
B,132354,13527787,0
B,105465,13764263,0
P,237816,13289971,0
B,102415,14353963,0
B,139710,14214253,0
B,131727,14456378,0
P,344525,13869728,0
B,102316,14939039,0
B,129733,14809306,0
B,104542,15041355,0
P,221201,14588105,0
B,100355,15680067,0
B,132518,15547549,0
B,139962,15780422,0
P,401652,15145897,0
B,98450,16285059,0
B,128157,16156902,0
B,100103,16383509,0
P,236518,15920384,0
B,97169,16880116,0
B,130834,16749282,0
B,122895,16977285,0
P,265670,16483612,0
B,97544,17478074,0
B,125181,17352893,0
B,99701,17575618,0
P,252713,17100180,0
B,95325,18091034,0
B,129014,17962020,0
B,124756,18186359,0
P,286701,17675319,0
B,95190,18658162,0
B,122024,18536138,0
B,97500,18753352,0
P,225023,18311115,0
B,92309,19315436,0
B,125248,19190188,0
B,125692,19407745,0
P,339336,18850852,0
B,91318,19930449,0
B,119040,19811409,0
B,94334,20021767,0
P,277972,19533437,0
B,87994,20695355,0
B,125833,20569522,0
B,176135,20783349,0
P,453421,20116101,0
B,79961,21293669,0
B,106339,21187330,0
B,82587,21373630,0
P,227846,20959484,0
B,76873,21853123,0
B,107914,21745209,0
B,105544,21929996,0
P,288992,21456217,0
B,74894,22360916,0
B,97669,22263247,0
B,76885,22435810,0
P,227707,22035540,0
B,71941,22905816,0
B,102004,22803812,0
B,110385,22977757,0
P,291117,22512695,0
B,69874,23410605,0
B,90926,23319679,0
B,71114,23480479,0
P,231537,23088142,0
B,65227,23990478,0
B,94590,23895888,0
B,111788,24055705,0
P,344295,23551593,0
B,63033,24486707,0
B,83163,24403544,0
B,64030,24549740,0
P,236051,24167493,0
B,57362,25166354,0
B,91758,25074596,0
B,218047,25223716,0
P,460826,24613770,0
B,47407,25719653,0
B,67117,25652536,0
B,49333,25767060,0
P,210773,25441763,0
B,44192,26173886,0
B,71879,26102007,0
B,100302,26218078,0
P,285614,25816393,0
B,43148,26595164,0
B,58162,26537002,0
B,45813,26638312,0
P,218622,26318380,0
B,40457,27031690,0
B,64161,26967529,0
B,119226,27072147,0
P,283404,26684125,0
B,37656,27438340,0
B,50936,27387404,0
B,43882,27475996,0
P,196031,27191373,0
B,34991,27894551,0
B,59140,27835411,0
B,124666,27929542,0
P,315533,27519878,0
B,34870,28310974,0
B,47328,28263646,0
B,40850,28345844,0
P,209438,28054208,0
B,33978,28923018,0
B,64566,28858452,0
B,200807,28956996,0
P,471758,28386694,0
B,29237,29430290,0
B,42278,29388012,0
B,35599,29459527,0
P,230209,29157803,0
B,28031,29845713,0
B,60748,29784965,0
B,112486,29873744,0
P,289839,29495126,0
B,28628,30229731,0
B,40722,30189009,0
B,35946,30258359,0
P,202779,29986230,0
B,27738,30617285,0
B,50936,30566349,0
B,130769,30645023,0
P,272044,30294305,0
B,28544,31013268,0
B,39988,30973280,0
B,36692,31041812,0
P,197488,30775792,0
B,28233,31424088,0
B,52034,31372054,0
B,131635,31452321,0
P,293550,31078504,0
B,29594,31835608,0
B,42252,31793356,0
B,36025,31865202,0
P,209400,31583956,0
B,28897,32436343,0
B,60676,32375667,0
B,210211,32465240,0
P,474440,31901227,0
B,26074,32886782,0
B,39462,32847320,0
B,31002,32912856,0
P,171869,32675451,0
B,26495,33263132,0
B,49817,33213315,0
B,123474,33289627,0
P,269457,32943858,0
B,32439,33641548,0
B,27040,33673987,0
B,56705,33584843,0
B,18094,33701027,0
P,171742,33413101,0
B,17534,34090736,0
B,195988,33894748,0
B,20009,34108270,0
P,175627,33719121,0
B,16894,34324097,0
B,67792,34256305,0
B,16782,34340991,0
P,128026,34128279,0
B,18484,35212429,0
B,196309,35016120,0
B,19184,35230913,0
I,658347,34357773,1
B,17510,35465039,0
B,65345,35399694,0
B,17821,35482549,0
P,149597,35250097,0
B,18846,36191273,0
B,235919,35955354,0
P,454984,35500370,0
B,25007,36433547,0
B,34118,36399429,0
B,26993,36458554,0
P,189310,36210119,0
B,24113,36810442,0
B,41173,36769269,0
B,116208,36834555,0
P,283722,36485547,0
B,25309,37171956,0
B,20311,37197265,0
B,44481,37127475,0
B,13725,37217576,0
P,176712,36950763,0
B,14134,37636066,0
B,190755,37445311,0
B,14956,37650200,0
P,214010,37231301,0
B,12014,37916080,0
B,56870,37859210,0
B,11252,37928094,0
P,194054,37665156,0
B,12101,38379200,0
B,188706,38190494,0
B,13560,38391301,0
P,251148,37939346,0
B,10778,38636836,0
B,50160,38586676,0
B,10546,38647614,0
P,181815,38404861,0
B,12444,39304766,0
B,206269,39098497,0
B,5459,39317210,0
P,440337,38658160,0
B,2718,39424117,0
B,22631,39401486,0
B,2288,39426835,0
P,78817,39322669,0
B,2941,39511100,0
B,64405,39514041,0
B,15380,39495720,0
B,47418,39578446,0
P,66597,39429123,0
