pict_type,pkt_size,pkt_pos,key_frame
I,53128,44,1
B,102,53552,0
B,102,53709,0
B,101,53414,0
B,107,53945,0
P,221,53172,0
B,143,54593,0
B,143,54849,0
B,150,54350,0
B,143,55088,0
P,160,54163,0
B,141,55773,0
B,141,56011,0
B,148,55555,0
B,144,56213,0
P,158,55363,0
B,137,56844,0
B,137,57106,0
B,148,56650,0
B,141,57283,0
P,165,56451,0
B,137,57836,0
B,137,57985,0
B,142,57623,0
B,140,58145,0
P,154,57436,0
B,137,58621,0
B,137,58770,0
B,143,58466,0
B,141,58919,0
P,150,58310,0
B,137,59383,0
B,137,59532,0
B,143,59228,0
B,141,59681,0
P,150,59072,0
B,137,60145,0
B,137,60294,0
B,143,59990,0
B,141,60443,0
P,150,59834,0
B,137,60907,0
B,137,61056,0
B,143,60752,0
B,141,61205,0
P,150,60596,0
B,137,61669,0
B,137,61818,0
B,143,61514,0
B,141,61967,0
P,150,61358,0
B,137,62431,0
B,137,62580,0
B,143,62276,0
B,141,62729,0
P,150,62120,0
B,137,63193,0
B,137,63342,0
B,143,63038,0
B,141,63491,0
P,150,62876,0
B,137,63955,0
B,137,64104,0
B,143,63800,0
B,141,64253,0
P,150,63638,0
B,137,64717,0
B,137,64866,0
B,143,64562,0
B,141,65015,0
P,150,64400,0
B,137,65479,0
B,137,65628,0
B,143,65324,0
B,141,65777,0
P,150,65162,0
B,137,66241,0
B,137,66390,0
B,143,66086,0
B,141,66539,0
P,150,65924,0
B,137,67003,0
B,137,67152,0
B,143,66848,0
B,141,67301,0
P,150,66686,0
B,137,67765,0
B,137,67914,0
B,143,67610,0
B,141,68063,0
P,150,67448,0
B,137,68527,0
B,137,68676,0
B,143,68372,0
B,141,68825,0
P,150,68210,0
B,137,69355,0
B,137,69523,0
B,143,69134,0
B,141,69719,0
P,150,68972,0
B,136,70324,0
B,140,70109,0
B,141,70520,0
P,150,69881,0
I,466,70706,1
B,90,71475,0
B,90,71595,0
B,92,71351,0
B,90,71718,0
P,100,71186,0
B,91,72120,0
B,91,72296,0
B,93,71985,0
B,91,72407,0
P,102,71856,0
B,91,72858,0
B,91,72991,0
B,94,72700,0
B,91,73101,0
P,102,72565,0
B,91,73674,0
B,91,74122,0
B,94,73389,0
B,91,74487,0
P,102,73244,0
B,91,76516,0
B,91,77380,0
B,94,75600,0
B,91,77795,0
P,102,74973,0
B,91,80385,0
B,91,81314,0
B,94,79516,0
B,91,81842,0
P,102,78687,0
B,91,84442,0
B,91,85236,0
B,94,83581,0
B,91,85703,0
P,102,82783,0
B,91,88250,0
B,91,89057,0
B,94,87373,0
B,91,89514,0
P,102,86550,0
B,91,92063,0
B,91,93010,0
B,94,91173,0
B,91,93503,0
P,102,90265,0
B,116,102846,0
B,466,103883,0
B,638,101366,0
B,399,104818,0
P,6019,94476,0
B,332,111417,0
B,349,112629,0
B,491,110035,0
B,433,113412,0
P,3057,106093,0
B,478,120230,0
B,427,121108,0
B,637,118765,0
B,521,122335,0
P,3212,114710,0
B,529,129311,0
B,568,130216,0
B,812,127759,0
B,612,131549,0
P,3316,123646,0
B,664,140041,0
B,786,141081,0
B,1169,138125,0
B,786,142605,0
P,4408,132965,0
B,960,151948,0
B,1201,153267,0
B,1375,149903,0
B,932,155227,0
P,4939,144142,0
B,1114,165376,0
B,1160,166842,0
B,1612,163001,0
B,977,168794,0
P,5315,156921,0
B,1168,178856,0
B,1068,180398,0
B,1621,176484,0
B,1011,182213,0
P,5248,170501,0
B,942,192331,0
B,959,193657,0
B,1750,189865,0
B,957,195369,0
P,5122,183976,0
B,1322,205878,0
B,1372,207584,0
B,1638,203458,0
B,995,209684,0
P,5597,197116,0
B,1192,221309,0
B,1229,222871,0
B,1942,218601,0
B,1039,224844,0
P,6465,211383,0
B,1447,236959,0
B,1460,238752,0
B,1855,234381,0
B,1186,240974,0
P,7014,226621,0
B,1042,253290,0
B,1126,254744,0
B,2177,250343,0
B,980,256559,0
P,6617,242934,0
B,1466,269202,0
B,1650,271506,0
B,1855,266980,0
B,1150,273923,0
P,8029,258256,0
B,1111,288295,0
B,1015,290104,0
B,2116,285801,0
B,1129,291887,0
P,9212,275844,0
B,1357,306067,0
B,1352,308206,0
B,1909,303782,0
B,1162,310265,0
P,9206,293797,0
B,1138,323974,0
B,1082,325870,0
B,1919,321683,0
B,1008,327673,0
P,8750,312153,0
B,1435,345962,0
B,1438,348172,0
B,2069,343584,0
B,1360,350324,0
P,13389,329447,0
B,1319,367599,0
B,1535,369674,0
B,2301,364919,0
B,1346,371918,0
P,11675,352438,0
B,1210,389511,0
B,1181,391447,0
B,2631,386530,0
B,968,393411,0
P,11736,374033,0
B,1539,412666,0
B,2072,414967,0
B,2275,409997,0
B,1438,417773,0
P,14243,395109,0
B,1327,440208,0
B,1197,442257,0
B,2955,436936,0
B,1038,444213,0
P,16193,419958,0
B,1667,467634,0
B,2088,470050,0
B,2401,464840,0
B,1582,472885,0
P,18052,446030,0
B,1332,496204,0
B,1266,498243,0
B,3173,492655,0
B,971,500288,0
P,16673,475245,0
B,1696,525421,0
B,2402,527867,0
B,2350,522318,0
B,1470,531012,0
P,19927,502016,0
B,1395,558863,0
B,1230,560985,0
B,2947,555169,0
B,975,562935,0
P,21569,533232,0
B,1800,591982,0
B,2305,594597,0
B,2535,588753,0
B,1878,597665,0
P,23732,564653,0
B,1349,626937,0
B,1307,629041,0
B,3521,622610,0
B,764,631062,0
P,21975,600260,0
B,1868,663149,0
B,2801,665734,0
B,2413,659920,0
B,1657,669254,0
P,26993,632573,0
B,1533,720887,0
B,1353,723179,0
B,4647,715475,0
B,2299,725277,0
P,43441,671624,0
B,2047,765995,0
B,2964,768837,0
B,3512,761789,0
B,2545,772567,0
P,33051,728353,0
B,1953,819905,0
B,1750,822592,0
B,5030,814111,0
B,1379,825093,0
P,37880,775811,0
B,2587,870796,0
B,3717,874133,0
B,3409,866636,0
B,2478,878602,0
P,39079,827213,0
B,2672,941746,0
B,2047,945215,0
B,5176,935818,0
B,1932,947994,0
P,53639,881806,0
B,2692,1001808,0
B,3741,1005230,0
B,4195,996872,0
B,3238,1009707,0
P,45824,950319,0
B,2753,1074639,0
B,2236,1078156,0
B,6369,1067508,0
B,1962,1081079,0
P,53459,1013311,0
B,2592,1142245,0
B,4716,1145564,0
B,4009,1137456,0
B,3090,1151049,0
P,53256,1083416,0
B,3130,1223140,0
B,1896,1227071,0
B,6575,1215844,0
B,999,1229723,0
P,60601,1154497,0
B,2006,1310098,0
B,4751,1312839,0
B,4443,1304886,0
B,3915,1318357,0
P,73064,1231108,0
B,2179,1379958,0
B,1453,1382889,0
B,8040,1371149,0
B,937,1385101,0
P,47742,1322633,0
B,2149,1517227,0
B,5760,1520138,0
B,3893,1512588,0
B,3046,1526612,0
I,125407,1386449,1
B,2802,1660165,0
B,1302,1663735,0
B,13966,1645459,0
B,5413,1665811,0
P,114652,1530055,0
B,2180,1764037,0
B,7815,1766929,0
B,5548,1757722,0
B,4240,1775473,0
P,85424,1671575,0
B,4979,1892850,0
B,2146,1898573,0
B,11863,1880275,0
B,1409,1901450,0
P,99422,1780096,0
B,2620,1982511,0
B,7468,1985880,0
B,6853,1974916,0
B,7414,1993678,0
P,70922,1903243,0
B,7372,2108149,0
B,6752,2116194,0
B,31375,2076026,0
B,14644,2123368,0
P,73499,2001769,0
B,12579,2213989,0
B,16259,2227327,0
B,27183,2186076,0
B,17189,2243916,0
P,46556,2138747,0
B,27833,2438362,0
B,23653,2466969,0
B,65244,2372447,0
B,30772,2491001,0
P,109790,2261877,0
I,78922,2522508,1
B,48015,2735117,0
B,50488,2783475,0
B,64550,2669816,0
B,42860,2834735,0
P,66876,2602195,0
B,34914,3026461,0
B,31033,3061695,0
B,52446,2973259,0
B,28461,3093475,0
P,94174,2878335,0
B,38326,3319433,0
B,27468,3358035,0
B,68058,3250630,0
B,24937,3386264,0
P,127172,3122704,0
B,34480,3604032,0
B,39658,3638948,0
B,43940,3559367,0
B,29167,3679284,0
P,146625,3411967,0
B,34727,3888000,0
B,22808,3923047,0
B,42055,3845099,0
B,17924,3946693,0
P,135178,3709252,0
B,23943,4145522,0
B,27749,4169843,0
B,40930,4103853,0
B,34688,4198302,0
P,137748,3965306,0
B,33181,4489247,0
B,18514,4522753,0
B,55349,4433109,0
B,17320,4542002,0
P,198629,4233757,0
B,19350,4735612,0
B,34412,4755740,0
B,29630,4705584,0
B,32851,4790812,0
P,144800,4560095,0
B,28456,5050169,0
B,19555,5079335,0
B,60058,4989739,0
B,18732,5099611,0
P,164566,4824375,0
B,19846,5292158,0
B,41196,5312839,0
B,32973,5258804,0
B,27006,5354727,0
P,138902,5119093,0
B,34465,5625674,0
B,19317,5660872,0
B,52269,5573042,0
B,17797,5680846,0
P,189847,5382449,0
B,19764,5848930,0
B,34380,5869478,0
B,32228,5816171,0
B,30756,5904574,0
P,116042,5699496,0
B,24307,6055480,0
B,13059,6080510,0
B,45471,6009629,0
B,11766,6094394,0
P,72770,5936046,0
I,457,6106910,1
B,90,6109585,0
B,90,6110398,0
B,92,6108701,0
B,90,6111227,0
P,100,6108207,0
B,91,6113327,0
B,91,6114188,0
B,93,6112498,0
B,91,6115054,0
P,102,6112017,0
B,91,6117207,0
B,91,6118064,0
B,94,6116403,0
B,91,6118918,0
P,102,6115917,0
B,91,6120998,0
B,91,6121834,0
B,94,6120102,0
B,91,6122594,0
P,102,6119685,0
B,91,6125711,0
P,1881,6123415,0
I,16967,6126545,1
B,1091,6148371,0
B,126,6150207,0
B,149,6147900,0
B,127,6151087,0
P,2877,6144246,0
B,12960,6161519,0
B,24226,6175250,0
B,1624,6159564,0
B,231,6200270,0
P,6901,6151893,0
B,235,6212100,0
B,1617,6213074,0
B,2763,6208916,0
B,129,6215479,0
P,6938,6201244,0
B,2045,6227935,0
B,1706,6230713,0
B,2657,6224883,0
B,218,6233150,0
P,7836,6216277,0
B,289,6239588,0
B,243,6240642,0
B,416,6238797,0
B,159,6241664,0
P,3910,6234119,0
B,516,6251032,0
B,610,6252321,0
B,670,6249969,0
B,392,6253669,0
P,6744,6242548,0
B,815,6266997,0
B,605,6268617,0
B,1218,6265381,0
B,463,6269990,0
P,9768,6254829,0
B,949,6285001,0
B,1227,6286706,0
B,1738,6282873,0
B,792,6288669,0
P,10928,6271221,0
B,979,6305275,0
B,804,6307071,0
B,1847,6303098,0
B,310,6308687,0
P,12164,6290245,0
B,842,6324569,0
B,1164,6326161,0
B,1388,6322817,0
B,591,6328143,0
P,12352,6309715,0
B,1063,6345114,0
B,795,6346906,0
B,1481,6343306,0
B,262,6348445,0
P,13010,6329484,0
B,1057,6369250,0
B,1501,6371006,0
B,2246,6366226,0
B,952,6373260,0
P,16351,6349462,0
B,1145,6393079,0
B,1003,6395010,0
B,2190,6390121,0
B,208,6396781,0
P,14809,6374958,0
B,828,6415484,0
B,1197,6417087,0
B,1487,6413303,0
B,669,6419000,0
P,15185,6397732,0
B,1266,6439273,0
B,771,6441349,0
B,1541,6436975,0
B,254,6442815,0
P,16264,6420340,0
B,880,6465564,0
B,1457,6467191,0
B,1885,6462910,0
B,914,6469403,0
P,18711,6443810,0
B,1413,6495236,0
B,1335,6497474,0
B,3241,6491267,0
B,248,6499565,0
P,19905,6471019,0
B,861,6523764,0
B,1734,6525351,0
B,2135,6520872,0
B,698,6527861,0
P,19960,6500515,0
B,1144,6550604,0
B,935,6552555,0
B,1872,6548004,0
B,186,6554174,0
P,18386,6529259,0
B,713,6575739,0
B,1233,6577223,0
B,1766,6573259,0
B,788,6579233,0
P,17762,6555134,0
B,890,6603100,0
B,841,6604697,0
B,2969,6599379,0
B,570,6606313,0
P,18244,6580744,0
B,672,6626277,0
B,1219,6627718,0
B,1355,6624156,0
B,581,6629706,0
P,16123,6607255,0
B,922,6649334,0
B,783,6651027,0
B,1589,6647006,0
B,207,6652479,0
P,15604,6630696,0
B,621,6674165,0
B,1061,6675568,0
B,1896,6671606,0
B,743,6677379,0
P,17753,6653045,0
B,774,6696268,0
B,745,6697900,0
B,2124,6693375,0
B,214,6699375,0
P,14167,6678508,0
B,626,6715105,0
B,1145,6716548,0
B,1443,6712903,0
B,551,6718442,0
P,12199,6699965,0
B,1098,6733563,0
B,785,6735352,0
B,1855,6730958,0
B,298,6736858,0
P,10886,6719327,0
B,791,6749009,0
B,1640,6750511,0
B,1995,6746227,0
B,702,6752833,0
P,7884,6737569,0
B,713,6764249,0
B,1271,6765682,0
B,2722,6760804,0
