pict_type,pkt_size,pkt_pos,key_frame
I,448,44,1
B,5678,59225,0
B,7079,65616,0
B,10664,47581,0
B,5365,73446,0
P,47068,492,0
B,14516,194337,0
B,14907,209772,0
B,22188,171179,0
B,6949,225515,0
P,90470,80207,0
B,19580,416096,0
B,23557,436538,0
B,33754,381471,0
B,16184,460944,0
P,147815,233275,0
B,22402,637745,0
B,18756,660878,0
B,28213,608778,0
B,16548,680426,0
P,130466,477925,0
B,19386,817062,0
B,22001,837153,0
B,27963,788342,0
B,20125,859935,0
P,90231,697739,0
B,22845,983576,0
B,22581,1007205,0
B,32377,950456,0
B,25191,1030537,0
P,69223,880860,0
B,29077,1165367,0
B,33415,1195162,0
B,38473,1126147,0
B,22274,1229282,0
P,69304,1056471,0
B,24832,1325968,0
B,23086,1351599,0
B,31726,1293499,0
B,11899,1375444,0
P,40825,1252290,0
B,14106,1425959,0
B,15707,1440835,0
B,18739,1406480,0
B,6540,1457289,0
P,18052,1388044,0
B,6297,1479616,0
B,9555,1486667,0
B,9569,1469373,0
B,4104,1497013,0
P,4472,1464543,0
B,216,1505498,0
B,215,1506451,0
B,278,1504482,0
B,106,1507484,0
P,2181,1501913,0
P,186,1507978,0
I,5922,1508926,1
B,6753,1532029,0
B,5377,1539143,0
B,3235,1528104,0
B,1608,1545289,0
P,11795,1515582,0
B,8974,1573895,0
B,10336,1583248,0
B,13447,1559714,0
B,3024,1594305,0
P,11300,1547647,0
B,1405,1619573,0
B,574,1621329,0
B,2306,1616555,0
B,1860,1622655,0
P,17784,1598081,0
B,2011,1638701,0
B,1503,1641083,0
B,1635,1636312,0
B,693,1643321,0
P,10239,1625303,0
B,439,1654601,0
B,500,1655424,0
B,475,1653352,0
B,317,1656692,0
P,7824,1644770,0
B,958,1665495,0
B,350,1666847,0
B,512,1664217,0
B,264,1667939,0
P,5687,1657772,0
B,335,1676403,0
B,323,1677106,0
B,506,1675156,0
B,233,1678128,0
P,5443,1668950,0
B,793,1690542,0
B,1150,1691716,0
B,1789,1688059,0
B,1109,1693666,0
P,8257,1679075,0
B,1424,1708929,0
B,1326,1710743,0
B,2033,1706159,0
B,893,1712770,0
P,9853,1695538,0
B,696,1725593,0
B,668,1726676,0
B,621,1724208,0
B,322,1728080,0
P,9002,1714442,0
B,336,1735315,0
B,308,1736414,0
B,595,1734339,0
B,291,1737465,0
P,4457,1729122,0
B,335,1742007,0
B,369,1743101,0
B,380,1741260,0
B,302,1744276,0
P,2187,1738464,0
B,356,1752729,0
B,372,1753927,0
B,902,1751422,0
B,439,1755064,0
P,5340,1745323,0
B,11600,1781280,0
B,16557,1764363,0
B,8890,1793662,0
P,7423,1756233,0
I,4110,1803259,1
B,160,1809784,0
B,162,1810648,0
B,175,1809258,0
B,137,1811551,0
P,405,1808114,0
P,311,1812493,0
B,1641,1820136,0
B,2308,1822518,0
B,2763,1816588,0
B,1823,1825690,0
P,2619,1813572,0
B,1806,1838119,0
B,2328,1840712,0
B,2982,1834431,0
B,2267,1843761,0
P,5865,1828216,0
B,2743,1856897,0
B,2586,1860503,0
B,3639,1852426,0
B,1932,1863911,0
P,5082,1846938,0
B,2746,1877767,0
B,2752,1881282,0
B,3961,1873034,0
B,2508,1884789,0
P,6027,1866632,0
B,3094,1899862,0
B,3256,1903756,0
B,4246,1894866,0
B,2690,1907817,0
P,6484,1888029,0
B,3539,1926676,0
B,4016,1930898,0
B,4765,1921127,0
B,2894,1935579,0
P,9487,1911267,0
B,4566,1956770,0
B,4877,1962076,0
B,6499,1949507,0
B,2694,1967698,0
P,9929,1938857,0
B,4509,1992167,0
B,5837,1997472,0
B,7319,1984085,0
B,2234,2004041,0
P,12505,1970800,0
B,5801,2032893,0
B,5841,2039500,0
B,9149,2022973,0
B,3425,2046077,0
P,15544,2006663,0
B,7526,2091935,0
B,8754,2100233,0
B,11330,2079854,0
B,7173,2109706,0
P,29246,2049872,0
B,9692,2153155,0
B,7267,2163547,0
B,10384,2142095,0
B,5185,2171586,0
P,24123,2117228,0
B,5939,2213463,0
B,4645,2220182,0
B,8298,2204358,0
B,7478,2225642,0
P,26490,2177140,0
B,4740,2266858,0
B,6354,2272403,0
B,9280,2256807,0
B,5434,2279569,0
P,22420,2233536,0
B,4997,2316009,0
B,6845,2321753,0
B,8457,2306787,0
B,6820,2329363,0
P,20783,2285321,0
B,7517,2367410,0
B,4729,2375754,0
B,8719,2357947,0
B,4039,2381201,0
P,20703,2336544,0
B,4675,2420223,0
B,4549,2425672,0
B,8820,2410710,0
B,3973,2431009,0
P,24324,2385615,0
B,4618,2471793,0
B,5357,2477221,0
B,7873,2463169,0
B,4315,2482945,0
P,27166,2435346,0
B,6478,2527068,0
B,5626,2534281,0
B,7986,2518390,0
B,4686,2540297,0
P,29609,2488036,0
