pict_type,pkt_size,pkt_pos,key_frame
I,454700,44,1
B,17998,796950,0
B,84016,712934,0
B,29997,814948,0
P,258190,454744,0
B,39166,1189453,0
B,90196,1099257,0
B,46158,1228619,0
P,254312,844945,0
B,30596,1629386,0
B,110313,1519073,0
B,36112,1659982,0
P,244296,1274777,0
B,35491,2062100,0
B,118566,1943534,0
B,39435,2097591,0
P,247440,1696094,0
B,30685,2503692,0
B,115454,2388238,0
B,32663,2534377,0
P,251212,2137026,0
B,32739,2975333,0
B,119508,2855825,0
B,37078,3008072,0
P,288785,2567040,0
B,38340,3478627,0
B,122131,3356496,0
B,39860,3516967,0
P,311346,3045150,0
B,36481,4028129,0
B,121742,3906387,0
B,41081,4064610,0
P,349560,3556827,0
B,43484,4520084,0
B,132831,4387253,0
B,48875,4563568,0
P,281562,4105691,0
B,45487,5026228,0
B,123452,4902776,0
B,49259,5071715,0
P,290333,4612443,0
B,44251,5532007,0
B,128308,5403699,0
B,47528,5576258,0
P,282725,5120974,0
B,44555,6051986,0
B,126114,5925872,0
B,48181,6096541,0
P,302086,5623786,0
B,45647,6553716,0
B,133057,6420659,0
B,48763,6599363,0
P,275937,6144722,0
B,46704,7079097,0
B,133268,6945829,0
B,47996,7125801,0
P,297703,6648126,0
B,46557,7618847,0
B,139421,7479426,0
B,51921,7665404,0
P,305629,7173797,0
B,48926,8200901,0
B,134148,8066753,0
B,51655,8249827,0
P,349428,7717325,0
B,48563,8726248,0
B,133550,8592698,0
B,51959,8774811,0
P,291216,8301482,0
B,47883,9244908,0
B,129441,9115467,0
B,47966,9292791,0
P,288697,8826770,0
B,41628,9738280,0
B,125718,9612562,0
B,46131,9779908,0
P,271805,9340757,0
B,43551,10231697,0
B,123278,10108419,0
B,45841,10275248,0
P,282380,9826039,0
B,40775,10714172,0
B,126051,10588121,0
B,43986,10754947,0
P,267032,10321089,0
B,41902,11196948,0
B,121353,11075595,0
B,43412,11238850,0
P,276662,10798933,0
B,38520,11684523,0
B,121601,11562922,0
B,42674,11723043,0
P,280660,11282262,0
B,39791,12218762,0
B,119995,12098767,0
B,43255,12258553,0
P,333050,11765717,0
B,38416,12697949,0
B,122730,12575219,0
B,41317,12736365,0
P,273411,12301808,0
B,37684,13176823,0
B,118814,13058009,0
B,40319,13214507,0
P,280327,12777682,0
B,40032,13647438,0
B,124726,13522712,0
B,43804,13687470,0
P,267886,13254826,0
B,39911,14128208,0
B,117833,14010375,0
B,42542,14168119,0
P,279101,13731274,0
B,38491,14595109,0
B,120661,14474448,0
B,40956,14633600,0
P,263787,14210661,0
B,39014,15066528,0
B,117397,14949131,0
B,41786,15105542,0
P,274575,14674556,0
B,38009,15540758,0
B,116696,15424062,0
B,43907,15578767,0
P,276734,15147328,0
B,41024,16057990,0
B,113345,15944645,0
B,40157,16099014,0
P,321971,15622674,0
B,38376,16519289,0
B,114275,16405014,0
B,40266,16557665,0
P,265843,16139171,0
B,38022,16980905,0
B,112697,16868208,0
B,39604,17018927,0
P,270277,16597931,0
B,39899,17434439,0
B,113441,17320998,0
B,42248,17474338,0
P,262467,17058531,0
B,40653,17911208,0
B,115255,17795953,0
B,42779,17951861,0
P,279367,17516586,0
B,42144,18384614,0
B,118651,18265963,0
B,46351,18426758,0
P,271323,17994640,0
B,42186,18872139,0
B,117602,18754537,0
B,44565,18914325,0
P,281428,18473109,0
B,43564,19369299,0
