pict_type,pkt_size,pkt_pos,key_frame
I,614,44,1
P,118,658,0
I,6813,1167,0
B,12535,51083,0
B,12318,63964,0
B,14564,36179,0
B,799,76282,0
P,27871,7980,0
B,10742,113335,0
B,9298,124410,0
B,251,112735,0
B,1648,133708,0
P,34978,77411,0
B,1527,146082,0
B,1761,147609,0
B,2949,142782,0
B,1761,149714,0
P,6753,135693,0
B,851,160769,0
B,641,161620,0
B,1614,158807,0
B,575,162601,0
P,6657,151808,0
B,1411,171295,0
B,2112,173062,0
B,1942,169353,0
B,1598,175513,0
P,5504,163503,0
B,1132,184074,0
B,1033,185544,0
B,1145,182929,0
B,891,186932,0
P,5145,177442,0
B,1041,195367,0
B,1824,196747,0
B,2373,192652,0
B,1629,198918,0
P,4504,188148,0
B,895,213865,0
B,535,215114,0
B,1825,211698,0
B,555,215980,0
P,10799,200899,0
B,1100,228938,0
B,1645,230373,0
B,1975,226617,0
B,1537,232352,0
P,9752,216865,0
B,845,250369,0
B,719,251538,0
B,934,249094,0
B,639,252609,0
P,14872,233889,0
B,471,260255,0
B,818,261070,0
B,1020,258882,0
B,1853,261888,0
P,5296,253248,0
B,1064,271608,0
B,1034,273011,0
B,2073,269191,0
B,1127,274045,0
P,4778,264072,0
B,769,282140,0
B,675,283256,0
B,1703,280092,0
B,685,283931,0
P,4228,275502,0
B,1436,294157,0
B,1601,295593,0
B,2138,291682,0
B,838,297532,0
P,6368,284964,0
B,1101,305660,0
B,1570,306761,0
B,1743,303575,0
B,1027,308658,0
P,4517,298719,0
B,1401,317848,0
B,1208,319575,0
B,1701,316147,0
B,687,321129,0
P,5780,310015,0
B,1046,329633,0
B,1214,331035,0
B,1546,328087,0
B,863,332584,0
P,5582,322159,0
B,1215,340737,0
B,676,342278,0
B,776,339602,0
B,313,343291,0
P,5817,333785,0
B,323,353286,0
B,355,353945,0
B,406,352540,0
B,317,354632,0
P,8604,343936,0
B,173,358586,0
B,160,359102,0
B,217,358007,0
B,160,359614,0
P,2700,354949,0
B,161,363107,0
B,208,363616,0
B,232,362524,0
B,155,364162,0
P,2403,359774,0
B,153,366588,0
B,147,367089,0
B,165,366082,0
B,143,367236,0
P,1430,364317,0
B,149,374507,0
B,404,374993,0
B,866,373304,0
B,889,375397,0
P,5258,367722,0
B,779,384702,0
B,668,385481,0
B,1376,382982,0
B,268,386484,0
P,6024,376625,0
B,568,393591,0
B,728,394159,0
B,1020,392210,0
B,783,395224,0
P,4767,387092,0
B,1064,402874,0
B,739,404273,0
B,1056,401818,0
B,334,405352,0
P,5131,396336,0
B,511,413118,0
B,755,413973,0
B,946,412172,0
B,531,415078,0
P,5788,406037,0
B,468,422840,0
B,424,423650,0
B,918,421922,0
B,175,424420,0
P,5636,415943,0
B,325,433664,0
B,622,434334,0
B,579,432745,0
B,231,435293,0
P,7808,424937,0
B,299,441317,0
B,229,441960,0
B,416,440561,0
B,147,442524,0
P,4704,435857,0
B,146,446347,0
B,177,446839,0
B,200,445811,0
B,138,447359,0
P,2802,442671,0
B,136,450928,0
B,137,451413,0
B,268,450311,0
B,146,451897,0
P,2481,447497,0
B,126,453957,0
B,127,454428,0
B,148,453476,0
B,139,454555,0
P,1090,452043,0
B,144,456768,0
B,143,457258,0
B,164,456265,0
B,138,457401,0
P,900,455041,0
B,130,459172,0
B,136,459302,0
B,143,458686,0
B,138,459783,0
P,463,457888,0
B,131,461466,0
B,135,461597,0
B,142,460973,0
B,134,462067,0
P,367,460264,0
B,172,465687,0
B,170,466198,0
B,179,465508,0
B,155,466714,0
P,2620,462543,0
B,158,475816,0
B,153,476318,0
B,209,475607,0
B,174,476815,0
P,8064,467201,0
B,206,483016,0
B,315,483557,0
B,412,482256,0
B,407,484216,0
P,4924,477332,0
B,478,491494,0
B,464,492303,0
B,1305,489851,0
B,287,493122,0
P,4892,484959,0
B,515,498700,0
B,716,499554,0
B,799,497560,0
B,565,500626,0
P,3813,493747,0
B,605,510105,0
B,372,511052,0
B,995,508785,0
B,163,511770,0
P,7254,501191,0
B,1689,524933,0
B,1765,526971,0
B,1988,522603,0
B,3435,528736,0
P,10321,511933,0
B,1615,543486,0
B,2875,545457,0
B,3567,539587,0
B,314,548332,0
P,6742,532505,0
B,2292,558065,0
B,3424,560357,0
B,4266,553455,0
B,1389,564124,0
P,4120,548993,0
B,2428,576490,0
B,2915,578918,0
B,3013,573138,0
B,228,582168,0
P,6941,565852,0
B,2262,590756,0
B,2869,593018,0
B,3898,586507,0
B,1006,596234,0
P,3430,582735,0
B,1325,604772,0
B,2876,606434,0
B,3689,601083,0
B,155,609646,0
P,3168,597585,0
B,1873,615666,0
B,3325,617884,0
B,3263,612403,0
B,686,621549,0
P,1913,610141,0
I,2832,622580,1
B,452,626712,0
B,118,627502,0
B,132,626240,0
B,127,627963,0
P,492,625412,0
B,195,629183,0
B,195,629719,0
B,198,628639,0
B,194,630243,0
P,208,628090,0
B,195,636564,0
B,195,637106,0
B,256,635967,0
B,1569,637301,0
P,5177,630437,0
B,3388,672640,0
B,2690,676378,0
B,3415,668881,0
B,553,679068,0
P,29308,639229,0
B,3091,722752,0
B,2535,725843,0
B,3502,718910,0
B,3022,728722,0
P,38619,679950,0
B,3166,772905,0
B,3091,776071,0
B,2510,770050,0
B,558,779498,0
P,37637,732075,0
B,4308,844247,0
B,3593,848889,0
B,5096,839151,0
B,3034,852843,0
P,58407,780404,0
B,3018,899559,0
B,1034,902900,0
B,676,898883,0
B,246,904275,0
P,42323,856223,0
B,234,909031,0
B,203,909601,0
B,351,908335,0
B,209,910157,0
P,3473,904862,0
B,301,913158,0
B,253,913801,0
B,404,912416,0
B,214,914397,0
P,1716,910700,0
B,266,933943,0
B,280,934544,0
B,274,933324,0
B,256,935171,0
P,18361,914963,0
B,403,946409,0
B,265,947146,0
B,331,945728,0
B,230,947768,0
P,9960,935427,0
B,542,965794,0
B,343,966671,0
B,430,965024,0
B,1219,967014,0
P,16679,947998,0
B,442,988593,0
B,1022,989391,0
B,1815,986443,0
B,338,990413,0
P,17541,968570,0
B,502,1015242,0
B,2650,1015744,0
B,1391,1013521,0
B,664,1018735,0
P,22079,991099,0
B,656,1049295,0
B,411,1049951,0
B,716,1048242,0
B,450,1050708,0
P,28149,1019752,0
B,349,1094271,0
B,454,1094620,0
B,1363,1092580,0
B,855,1095395,0
P,40708,1051510,0
B,476,1150873,0
B,752,1151696,0
B,2389,1148484,0
B,307,1152781,0
P,51562,1096581,0
B,357,1181095,0
B,741,1181792,0
B,429,1180666,0
B,1186,1182870,0
P,26900,1153435,0
B,3716,1216006,0
B,559,1220067,0
B,1716,1213936,0
B,1500,1220961,0
P,29522,1184414,0
B,2057,1255290,0
B,600,1257678,0
B,1282,1253670,0
B,3723,1258610,0
P,30861,1222809,0
B,715,1294338,0
B,1292,1295397,0
B,2809,1291183,0
B,663,1297018,0
P,28499,1262684,0
B,1146,1330152,0
B,4178,1331650,0
B,1714,1328094,0
B,557,1336176,0
P,30066,1297681,0
B,721,1376940,0
B,834,1378008,0
B,687,1375926,0
B,390,1378842,0
P,38853,1336733,0
B,556,1417892,0
B,656,1418825,0
B,874,1416668,0
B,607,1419481,0
P,36753,1379566,0
B,535,1472548,0
B,816,1473083,0
B,4732,1467491,0
B,401,1474239,0
P,46741,1420423,0
B,571,1531407,0
B,834,1531978,0
B,937,1530124,0
B,461,1533142,0
P,54807,1474966,0
B,4484,1585742,0
B,1221,1590569,0
B,2347,1583395,0
B,456,1592138,0
P,49116,1533945,0
B,924,1633955,0
B,882,1635231,0
B,1888,1632067,0
B,4249,1636462,0
P,38801,1592938,0
B,1089,1685068,0
B,874,1686496,0
B,1784,1683284,0
B,815,1687709,0
P,41888,1641045,0
B,794,1731899,0
B,5485,1733040,0
B,1548,1730018,0
B,1599,1738862,0
P,41157,1688861,0
B,1364,1792324,0
B,749,1794024,0
B,1104,1790866,0
B,426,1795117,0
P,50068,1740798,0
B,562,1841913,0
B,677,1842828,0
B,1553,1840017,0
B,1761,1843841,0
P,44135,1795543,0
B,785,1903358,0
