pict_type,pkt_size,pkt_pos,key_frame
I,619,44,1
B,112,1622,0
B,112,2387,0
B,113,1191,0
B,111,3213,0
P,122,663,0
B,116,5570,0
B,116,6257,0
B,118,4838,0
B,118,7049,0
P,147,4003,0
B,2950,22652,0
B,2591,26385,0
B,4565,17377,0
B,3883,29742,0
P,8960,7803,0
B,8055,61134,0
B,6005,69906,0
B,8230,52197,0
B,1249,76632,0
P,17220,34310,0
B,8025,122674,0
B,8092,131370,0
B,13588,108381,0
B,10074,139802,0
P,29017,78584,0
B,8939,207513,0
B,7442,217170,0
B,15979,190871,0
B,1969,225261,0
P,39614,150567,0
B,9654,293739,0
B,14567,304074,0
B,16704,276342,0
B,4483,319338,0
P,47744,227934,0
B,11501,400407,0
B,8127,412581,0
B,13514,386206,0
B,2004,421416,0
P,61033,324490,0
B,7203,503124,0
B,7695,510982,0
B,13544,488872,0
B,6939,519031,0
P,64108,424100,0
B,8290,657081,0
B,8086,666047,0
B,32505,623893,0
B,1551,674819,0
P,96554,526656,0
B,3154,746878,0
B,6267,750721,0
B,7734,738460,0
B,2661,757686,0
P,60726,677045,0
B,7013,826998,0
B,3909,834677,0
B,6243,820070,0
B,1180,839271,0
P,58367,761004,0
B,2852,906910,0
B,3900,910468,0
B,7555,898677,0
B,4954,915020,0
P,56852,841125,0
B,3483,988040,0
B,3239,992205,0
B,8767,978603,0
B,1109,996126,0
P,57581,920667,0
B,3396,1063129,0
B,7558,1067210,0
B,8311,1054140,0
B,2824,1075458,0
P,55533,997914,0
B,5327,1147231,0
B,3457,1153251,0
B,6521,1140036,0
B,1223,1157395,0
P,60392,1078962,0
B,3130,1224910,0
B,3917,1228718,0
B,7684,1216533,0
B,3969,1233314,0
P,56562,1159295,0
B,3583,1310793,0
B,3249,1315056,0
B,13168,1297281,0
B,1147,1318992,0
P,58629,1237974,0
B,3639,1413613,0
B,6319,1417947,0
B,8523,1404407,0
B,2988,1424948,0
P,82904,1320826,0
B,8834,1504844,0
B,4346,1514510,0
B,7273,1496872,0
B,1180,1519436,0
P,67598,1428595,0
B,3354,1595567,0
B,4400,1599568,0
B,9248,1585697,0
B,6591,1604657,0
P,63636,1521295,0
B,4708,1689257,0
B,4245,1694246,0
B,10842,1677579,0
B,1643,1699100,0
P,64964,1611926,0
B,4475,1774354,0
B,9511,1779687,0
B,10140,1763526,0
B,3794,1789784,0
P,61445,1701406,0
B,6618,1868304,0
B,4507,1875723,0
B,8153,1859470,0
B,2365,1880865,0
P,64606,1794190,0
B,4392,1955965,0
B,5422,1961032,0
B,9559,1945717,0
B,5262,1967149,0
P,61180,1883884,0
B,4559,2046865,0
B,3833,2052112,0
B,13435,2032761,0
B,1572,2056633,0
P,58988,1973090,0
B,3765,2127587,0
B,6367,2132048,0
B,8169,2118736,0
B,3065,2139092,0
P,59508,2058553,0
B,7989,2222283,0
B,4303,2230940,0
B,7397,2214186,0
B,1424,2235930,0
P,70679,2142815,0
B,3494,2326178,0
B,4580,2330356,0
B,9282,2316213,0
B,7265,2335606,0
P,77482,2238043,0
B,4239,2417187,0
B,3683,2422113,0
B,9672,2406831,0
B,1323,2426469,0
P,62577,2343571,0
B,3695,2495904,0
B,9010,2500286,0
B,8923,2486299,0
B,3051,2509992,0
P,57480,2428137,0
B,5626,2585308,0
B,3706,2591615,0
B,6477,2578151,0
B,1095,2595997,0
P,63755,2513710,0
B,2895,2663542,0
B,3614,2667118,0
B,7330,2655546,0
B,3805,2671419,0
P,57064,2597786,0
B,3429,2744040,0
B,3296,2748147,0
B,11908,2731455,0
B,1228,2752121,0
P,54847,2675918,0
B,3297,2817970,0
B,5542,2821914,0
B,6847,2810802,0
B,2670,2828129,0
P,56005,2754153,0
B,7158,2892843,0
B,3917,2900665,0
B,6692,2885380,0
B,1140,2905230,0
P,53240,2831470,0
B,3344,2972140,0
B,4056,2976155,0
B,8950,2962507,0
B,6408,2980906,0
P,54779,2907040,0
B,4066,3075074,0
B,3686,3079828,0
B,8661,3065742,0
B,1156,3084196,0
P,77066,2988001,0
B,3839,3160136,0
B,9728,3164317,0
B,8843,3150588,0
B,2797,3174719,0
P,63883,3086030,0
B,5055,3242134,0
B,3268,3247876,0
B,5655,3235793,0
B,1117,3251835,0
P,56917,3178195,0
B,2860,3314462,0
B,3597,3317995,0
B,6700,3307083,0
B,3631,3322267,0
P,52763,3253625,0
B,3222,3392594,0
B,3015,3396489,0
B,11356,3380546,0
B,1167,3400182,0
P,53252,3326593,0
B,2913,3466935,0
B,4708,3470532,0
B,6055,3460204,0
B,2318,3475925,0
P,57494,3402024,0
B,6307,3538111,0
B,3432,3545099,0
B,5251,3532169,0
B,1000,3549206,0
P,52910,3478923,0
B,2536,3611003,0
B,3231,3614233,0
B,6526,3603787,0
B,4894,3618138,0
P,52202,3550907,0
B,3069,3681173,0
B,2913,3684918,0
B,5900,3674592,0
B,984,3688505,0
P,50189,3623727,0
B,2998,3752173,0
B,6492,3755844,0
B,5613,3745888,0
B,1982,3763006,0
P,54926,3690189,0
B,3269,3858028,0
B,2478,3861990,0
B,3764,3853579,0
B,1061,3865164,0
P,87557,3765682,0
B,1667,3909663,0
B,1993,3912018,0
B,3512,3905472,0
B,1906,3914688,0
P,37867,3866912,0
B,1790,4052637,0
B,1850,4055115,0
B,5550,4046415,0
B,918,4057653,0
I,128459,3917279,1
B,1278,4101355,0
B,2082,4103292,0
B,2576,4098105,0
B,1205,4106075,0
P,38160,4059259,0
B,2905,4151773,0
B,1724,4155017,0
B,2461,4148611,0
B,884,4157436,0
P,39969,4107961,0
B,1194,4205911,0
B,1364,4207788,0
B,2760,4202480,0
B,1967,4209844,0
P,42788,4159021,0
B,1352,4261100,0
B,1394,4263121,0
B,2766,4257638,0
B,672,4265209,0
P,44454,4212490,0
B,1278,4311494,0
B,3628,4313451,0
B,3090,4307737,0
B,1055,4317768,0
P,40492,4266563,0
B,1913,4363099,0
B,1491,4365696,0
B,2318,4360101,0
B,839,4367513,0
P,39928,4319496,0
B,1493,4448245,0
B,2098,4450418,0
B,3194,4444368,0
B,1806,4453216,0
P,74647,4369042,0
B,1910,4540105,0
B,1947,4542699,0
B,8892,4530526,0
B,780,4545327,0
P,74127,4455702,0
B,1425,4602402,0
B,2714,4604504,0
B,3087,4598620,0
B,1161,4607898,0
P,51132,4546794,0
B,3977,4663441,0
B,1834,4668103,0
B,3111,4659650,0
B,762,4670619,0
P,49218,4609743,0
B,1381,4728673,0
B,1857,4730744,0
B,3696,4724295,0
B,3208,4733294,0
P,51868,4671729,0
B,1871,4795037,0
B,1953,4797562,0
B,4147,4790211,0
B,923,4800201,0
P,52223,4737193,0
B,1936,4858316,0
B,5322,4860931,0
B,4431,4853193,0
B,1591,4866949,0
P,50684,4801808,0
B,2925,4930279,0
B,2007,4933872,0
B,3532,4926072,0
B,758,4936561,0
P,56141,4869237,0
B,1615,4996499,0
B,2362,4998793,0
B,4028,4992136,0
B,2251,5001835,0
P,53467,4937992,0
B,1983,5073576,0
B,2153,5076234,0
B,9731,5063164,0
B,935,5079075,0
P,57699,5004761,0
B,2000,5182509,0
B,3700,5185302,0
B,4263,5177565,0
B,1407,5189686,0
P,96189,5080694,0
B,6660,5263076,0
B,3039,5270424,0
B,4829,5257556,0
B,879,5274146,0
P,65080,5191773,0
B,1989,5343858,0
B,2954,5346529,0
B,5731,5337788,0
B,4910,5350179,0
P,61379,5275702,0
B,2799,5428968,0
B,2498,5432458,0
B,6540,5421737,0
B,869,5435640,0
P,65263,5355768,0
B,2627,5506742,0
B,7627,5510070,0
B,6586,5499477,0
B,2067,5518367,0
P,61629,5437181,0
B,4468,5596555,0
B,2767,5601707,0
B,4724,5591139,0
B,923,5605123,0
P,69332,5521099,0
B,2312,5678954,0
B,3239,5681948,0
B,6028,5672240,0
B,3470,5685540,0
P,64786,5606749,0
B,3017,5766773,0
B,3045,5770457,0
B,12599,5753491,0
B,1090,5774210,0
P,63070,5689734,0
B,2912,5849929,0
B,5570,5853557,0
B,6798,5842446,0
B,2573,5859819,0
P,65722,5776019,0
B,7561,5950923,0
B,3857,5959170,0
B,6787,5943479,0
B,1114,5963687,0
P,79688,5863107,0
B,3086,6069884,0
B,4475,6073659,0
B,8704,6060483,0
B,7931,6078835,0
P,94285,5965509,0
B,3914,6170445,0
B,3332,6175037,0
B,8890,6160894,0
B,1219,6179034,0
P,73089,6087094,0
B,3570,6257360,0
B,9570,6261628,0
B,8669,6248029,0
B,3137,6271910,0
P,66455,6180907,0
B,5712,6357727,0
B,3680,6364108,0
B,6473,6350546,0
B,932,6368576,0
P,74075,6275761,0
B,3271,6445231,0
B,4096,6449191,0
B,7652,6436932,0
B,4373,6453972,0
P,66120,6370156,0
B,3634,6536367,0
B,3370,6540338,0
B,14112,6521587,0
B,1056,6544418,0
P,61888,6459007,0
B,3292,6616746,0
B,6188,6620716,0
B,7494,6608547,0
B,2881,6627587,0
P,61667,6546161,0
B,7263,6694178,0
B,3680,6702126,0
B,6325,6687186,0
B,1030,6706543,0
P,55333,6631185,0
B,3011,6771165,0
B,3697,6774848,0
B,7853,6762662,0
B,5499,6779233,0
P,53726,6708277,0
B,3602,6867644,0
B,3007,6871573,0
B,8114,6858828,0
B,397,6875261,0
P,72739,6785410,0
B,3394,6944835,0
B,9364,6948892,0
B,8414,6935771,0
B,2638,6958933,0
P,58712,6876384,0
B,4736,7023576,0
B,3118,7028997,0
B,5600,7017279,0
B,1149,7032804,0
P,54306,6962247,0
B,2705,7089600,0
B,3380,7092976,0
B,6276,7082653,0
B,3237,7097018,0
P,47333,7034629,0
B,3118,7156208,0
B,3107,7160006,0
B,9971,7145553,0
B,1649,7163755,0
P,43899,7100950,0
B,3737,7219657,0
B,5263,7224069,0
B,6906,7212019,0
B,2907,7229977,0
P,45535,7165818,0
B,5786,7284406,0
B,3628,7290873,0
B,5857,7277869,0
B,1325,7295169,0
P,43567,7233579,0
B,2532,7347430,0
B,3019,7350626,0
B,6277,7340447,0
B,4100,7354307,0
P,42559,7297176,0
B,3222,7408005,0
B,2777,7411898,0
B,7001,7400322,0
B,1191,7415361,0
P,40554,7359081,0
B,3092,7469422,0
B,6241,7473180,0
B,7013,7461731,0
B,2468,7480103,0
P,44058,7417362,0
B,4134,7553687,0
B,3094,7558504,0
B,5517,7547502,0
B,1307,7562259,0
P,63619,7483222,0
B,2710,7613864,0
B,3332,7617247,0
B,6131,7607052,0
B,3600,7621284,0
P,42102,7564249,0
B,2772,7672128,0
B,2479,7675629,0
B,9096,7662357,0
B,1329,7678793,0
P,36137,7625568,0
B,3043,7722920,0
B,4852,7726646,0
B,6570,7716013,0
B,2939,7732182,0
P,34493,7680806,0
B,5322,7825175,0
B,3212,7831192,0
B,4970,7819566,0
B,1199,7835053,0
I,82980,7735808,1
B,2222,7872703,0
B,2860,7875608,0
B,5096,7866929,0
B,3109,7879146,0
P,29308,7836936,0
B,2479,7922132,0
B,2351,7925273,0
B,6067,7915406,0
B,1408,7928312,0
P,31781,7882971,0
B,2899,7966650,0
B,4996,7970226,0
B,5460,7960494,0
B,2031,7975556,0
P,29394,7930402,0
B,3260,8012507,0
B,2442,8016472,0
B,3961,8007863,0
B,1121,8019570,0
P,28859,7978273,0
B,2239,8066545,0
B,2656,8069485,0
B,4751,8061104,0
B,2465,8072799,0
P,39055,8021370,0
B,2433,8126502,0
B,2449,8129617,0
B,9222,8116591,0
B,1009,8132738,0
P,39962,8075922,0
B,2276,8171012,0
B,3457,8173981,0
B,4354,8165987,0
B,1844,8177841,0
P,30882,8134414,0
B,4081,8213447,0
B,2468,8218232,0
B,3944,8208818,0
B,1062,8221379,0
P,27790,8180341,0
B,2073,8255502,0
B,2435,8258256,0
B,4804,8250010,0
B,3104,8261351,0
P,26229,8223108,0
B,2041,8296292,0
B,1798,8299028,0
B,4589,8291028,0
B,1058,8301516,0
P,25202,8265149,0
B,2146,8331812,0
B,3745,8334620,0
B,4407,8326745,0
B,1832,8339035,0
P,22749,8303250,0
B,2709,8370906,0
B,2068,8374315,0
B,3406,8366819,0
B,1155,8377070,0
P,24950,8341542,0
B,2483,8407219,0
B,2776,8410365,0
B,5162,8401382,0
B,3341,8413803,0
P,21783,8378923,0
B,3410,8452862,0
B,3168,8457036,0
B,8172,8443996,0
B,2030,8460906,0
P,25504,8417815,0
B,2611,8505780,0
B,3100,8509095,0
B,4464,8500655,0
B,1875,8512890,0
P,36348,8463623,0
B,4602,8548195,0
B,2630,8553512,0
B,4277,8543568,0
B,1308,8556870,0
P,27494,8515411,0
B,2037,8586525,0
B,2380,8589241,0
B,4143,8581692,0
B,2793,8592332,0
P,22189,8558848,0
B,2153,8629868,0
B,1913,8632691,0
B,5917,8623272,0
B,1647,8635264,0
P,26772,8595799,0
B,3344,8695415,0
B,10315,8699516,0
B,19407,8675325,0
B,13529,8710506,0
P,37021,8637633,0
B,21345,8781855,0
B,20874,8803893,0
B,25645,8755511,0
B,10106,8825450,0
P,30152,8724702,0
B,13150,8896375,0
B,13643,8910211,0
B,18335,8877368,0
B,10697,8924564,0
P,40786,8835897,0
B,8429,8990743,0
B,7989,8999898,0
B,17281,8972757,0
B,4958,9008583,0
P,36106,8935960,0
B,7051,9045380,0
B,7387,9053152,0
B,7888,9036826,0
B,3726,9061193,0
P,21893,9014243,0
B,2431,9079995,0
B,5466,9073860,0
P,7568,9065594,0
I,36534,9083060,1
B,7006,9156745,0
B,9821,9164476,0
B,16755,9139298,0
B,12000,9174988,0
P,18742,9120236,0
B,15279,9246760,0
B,12543,9262697,0
B,13334,9232738,0
B,6441,9275939,0
P,44403,9187689,0
B,4400,9320670,0
B,4275,9325738,0
B,8759,9311204,0
B,1766,9330695,0
P,27463,9283056,0
B,2669,9361606,0
B,3872,9364965,0
B,5517,9355380,0
B,2869,9369534,0
P,21535,9333141,0
B,6484,9412254,0
B,7585,9419097,0
B,15325,9396253,0
B,8283,9427345,0
P,22484,9373079,0
B,12071,9491363,0
B,10887,9504125,0
B,13603,9477086,0
B,7243,9515714,0
P,40093,9436295,0
B,3006,9554028,0
B,9696,9543650,0
B,971,9557717,0
P,19297,9523646,0
I,89653,9559365,1
B,2028,9676526,0
B,4233,9679272,0
B,7502,9668369,0
B,7410,9684172,0
P,17988,9649699,0
B,12459,9723621,0
B,9787,9736742,0
B,11147,9711815,0
B,11928,9746867,0
P,18906,9692240,0
B,15613,9815235,0
B,16341,9831530,0
B,23298,9791256,0
B,16029,9848543,0
P,31102,9759480,0
B,16902,9943557,0
B,20236,9961125,0
B,30477,9912431,0
B,28398,9982053,0
P,46463,9865265,0
B,26854,10073614,0
B,29570,10101172,0
B,27701,10045223,0
B,21470,10131428,0
P,33418,10011131,0
B,22498,10216724,0
B,26108,10239918,0
B,29866,10186166,0
B,20643,10266710,0
P,31913,10153569,0
B,22563,10361277,0
B,35241,10384522,0
B,34470,10326116,0
B,27958,10420446,0
P,37724,10287706,0
B,31165,10526068,0
B,42096,10483280,0
B,33300,10557908,0
P,33477,10449095,0
I,216554,10591881,1
B,60714,10972294,0
B,48028,11033694,0
B,63122,10908491,0
B,46948,11082394,0
P,98678,10809147,0
B,44365,11278807,0
B,42505,11323819,0
B,64046,11214084,0
B,48816,11366978,0
P,83302,11130089,0
B,61069,11582192,0
B,73620,11643957,0
B,78376,11503491,0
B,73987,11718257,0
P,86398,11416440,0
B,77812,11992834,0
B,75099,12071316,0
B,96871,11895277,0
B,66161,12147101,0
P,101654,11792919,0
B,86481,12452218,0
B,84738,12539383,0
B,102367,12349181,0
B,85855,12624794,0
P,134524,12213948,0
B,110339,12949096,0
B,113612,12834814,0
P,122821,12711334,0
I,34880,13060135,1
B,26811,13160589,0
B,27395,13187737,0
B,35232,13124669,0
B,24113,13215878,0
P,28270,13095709,0
B,31545,13323889,0
B,27221,13356140,0
B,38119,13285097,0
B,23975,13384029,0
P,43750,13240678,0
B,28322,13491346,0
B,30281,13520365,0
B,40955,13449717,0
B,27986,13551321,0
P,40239,13408760,0
B,30887,13655271,0
B,30251,13686899,0
B,32860,13621700,0
B,27406,13717800,0
P,41010,13579999,0
B,32964,13823512,0
B,38036,13784799,0
P,38254,13745881,0
I,102988,13857130,1
B,229,14048842,0
B,9039,14049746,0
B,28808,14019352,0
B,12308,14059499,0
P,58215,13960803,0
B,34863,14166124,0
B,30042,14201727,0
B,43519,14121754,0
B,37244,14232378,0
P,48176,14072698,0
B,44933,14415738,0
B,41815,14461355,0
B,67925,14347022,0
B,37003,14503779,0
P,76113,14270213,0
B,43225,14684336,0
B,56040,14728292,0
B,68810,14614835,0
B,51175,14784988,0
P,72767,14541396,0
B,54930,14979859,0
B,41161,15035474,0
B,53713,14925813,0
B,25058,15077337,0
P,88321,14836831,0
B,27893,15221797,0
B,29624,15250383,0
B,42278,15178880,0
B,30812,15280685,0
P,75090,15103074,0
B,30200,15431172,0
B,23493,15461998,0
B,42606,15387815,0
B,14810,15486156,0
P,74936,15312193,0
B,30517,15610043,0
B,33312,15641230,0
B,41995,15567340,0
B,33703,15675218,0
P,65001,15501654,0
B,32560,15842464,0
B,35777,15875710,0
B,48171,15793616,0
B,28911,15912165,0
P,83302,15709611,0
B,32840,16063545,0
B,30505,16097067,0
B,42529,16020351,0
B,29963,16128266,0
P,78243,15941422,0
B,26168,16287666,0
B,23563,16314517,0
B,43824,16243160,0
B,14140,16338750,0
P,83567,16158911,0
