pict_type,pkt_size,pkt_pos,key_frame
I,401,44,1
B,83,1974,0
B,83,2877,0
B,84,572,0
B,82,3753,0
P,93,445,0
B,87,6372,0
B,87,7183,0
B,89,5511,0
B,86,7964,0
P,95,4626,0
B,87,10286,0
B,87,11059,0
B,89,9514,0
B,86,11825,0
P,96,8735,0
B,87,14111,0
B,87,14857,0
B,89,13348,0
B,86,15629,0
P,96,12578,0
B,90,18678,0
B,90,19112,0
B,849,17172,0
B,92,19914,0
P,96,16389,0
B,87,22233,0
B,87,23005,0
B,89,21457,0
B,86,23775,0
P,96,20678,0
B,87,26091,0
B,87,26851,0
B,89,25313,0
B,86,27640,0
P,96,24528,0
B,89,39112,0
B,92,39867,0
B,96,38341,0
B,90,40624,0
P,9252,28401,0
B,97,46857,0
B,95,47660,0
B,119,45958,0
B,103,48067,0
P,3870,41394,0
B,103,53780,0
B,113,54516,0
B,116,52987,0
B,102,55333,0
P,3378,48942,0
B,105,58118,0
B,103,58902,0
B,107,57360,0
B,95,59670,0
P,286,56304,0
B,98,62026,0
B,92,62814,0
B,100,61289,0
B,92,63585,0
P,209,60419,0
B,94,66069,0
B,92,66806,0
B,101,65294,0
B,98,67589,0
P,196,64458,0
B,93,69589,0
B,93,70384,0
B,97,68808,0
B,90,71165,0
P,114,68022,0
B,90,73477,0
B,90,74276,0
B,95,72703,0
B,92,75050,0
P,99,71925,0
B,90,77349,0
B,90,78153,0
B,95,76606,0
B,92,78891,0
P,99,75841,0
B,90,81245,0
B,90,82010,0
B,95,80463,0
B,92,82788,0
P,99,79682,0
B,90,84779,0
B,90,85564,0
B,95,84357,0
B,92,86330,0
P,99,83577,0
B,93,88842,0
B,93,89631,0
B,97,88068,0
B,99,90404,0
P,273,87106,0
B,93,92774,0
B,93,93554,0
B,108,91987,0
B,94,94334,0
P,131,91177,0
B,93,96670,0
B,93,97440,0
B,95,95891,0
B,92,98230,0
P,99,95109,0
B,93,100557,0
B,93,100991,0
B,95,99786,0
B,92,101800,0
P,99,99000,0
B,93,104110,0
B,93,104891,0
B,95,103330,0
B,92,105668,0
P,99,102545,0
B,93,108057,0
B,93,108853,0
B,95,107260,0
B,92,109634,0
P,99,106442,0
B,93,112095,0
B,93,112842,0
B,95,111323,0
B,92,113641,0
P,99,110536,0
I,17971,114449,1
B,103,134996,0
B,103,135454,0
B,101,134184,0
B,114,136243,0
P,336,133120,0
B,107,139428,0
B,104,140223,0
B,113,138614,0
B,108,141030,0
P,844,137059,0
B,106,152435,0
B,105,153240,0
B,112,151653,0
B,103,154032,0
P,9134,141853,0
B,108,165717,0
B,122,166531,0
B,128,164914,0
B,99,167343,0
P,9345,154827,0
B,115,170175,0
B,111,170983,0
B,108,169375,0
B,102,171797,0
P,568,168106,0
B,121,174427,0
B,103,175237,0
B,113,173619,0
B,98,176020,0
P,688,172236,0
B,101,178627,0
B,101,179416,0
B,102,177860,0
B,113,180218,0
P,368,176811,0
B,96,182586,0
B,96,183357,0
B,99,181808,0
B,89,184153,0
P,111,181010,0
B,96,186508,0
B,97,187312,0
B,101,185740,0
B,92,188100,0
P,127,184925,0
B,90,190078,0
B,90,190868,0
B,92,189317,0
B,89,191634,0
P,105,188878,0
B,90,193979,0
B,90,194756,0
B,92,193195,0
B,89,195524,0
P,101,192415,0
B,92,197886,0
B,92,198663,0
B,97,197111,0
B,92,199454,0
P,107,196330,0
B,93,201941,0
B,93,202728,0
B,135,201125,0
B,96,203487,0
P,170,200253,0
B,92,205542,0
B,92,206295,0
B,93,205091,0
B,91,207083,0
P,102,204283,0
B,92,209401,0
B,92,210181,0
B,93,208633,0
B,91,210971,0
P,102,207858,0
B,92,213291,0
B,92,214081,0
B,93,212533,0
B,91,214839,0
P,102,211746,0
B,92,217192,0
B,92,218003,0
B,93,216398,0
B,91,218781,0
P,102,215604,0
B,91,220356,0
P,102,219575,0
I,156251,221102,1
B,3166,434476,0
B,4256,438321,0
B,5814,427964,0
B,3218,443255,0
P,49625,378007,0
B,4887,504974,0
B,4964,510552,0
B,6263,498028,0
B,2658,516182,0
P,50124,447189,0
B,5993,592022,0
B,7530,598685,0
B,13841,577545,0
B,7293,606909,0
P,57300,519538,0
B,10363,724085,0
B,10870,735173,0
B,23353,700015,0
B,5922,746763,0
P,84446,614870,0
B,8626,858704,0
B,9390,868025,0
B,17581,840764,0
B,11648,878103,0
P,86679,753396,0
B,19851,1009697,0
B,14532,1030215,0
B,19057,989946,0
B,7937,1045414,0
P,98809,890455,0
B,11563,1144818,0
B,10713,1157071,0
B,17775,1126362,0
B,15392,1168477,0
P,71661,1054033,0
B,11262,1289179,0
B,10415,1301125,0
B,17940,1270571,0
B,7652,1312236,0
P,85356,1184524,0
B,10385,1408133,0
B,14042,1418856,0
B,21557,1385889,0
B,12746,1433589,0
P,64619,1320572,0
B,16095,1531510,0
B,7476,1548297,0
B,15796,1515020,0
B,10227,1556489,0
P,67308,1447018,0
B,14064,1669489,0
B,12939,1684208,0
B,24872,1643972,0
B,19374,1697822,0
P,75901,1567402,0
B,16521,1833821,0
B,18232,1851026,0
B,39291,1793867,0
B,15500,1869950,0
P,75345,1717826,0
B,17990,1992724,0
B,25846,2011412,0
B,32576,1959465,0
B,20080,2037946,0
P,72658,1886120,0
B,30201,2166566,0
B,17899,2197430,0
B,25055,2140816,0
B,16067,2216024,0
P,81792,2058358,0
B,20898,2348479,0
B,18039,2370003,0
B,31112,2316685,0
B,25333,2388789,0
P,83205,2232791,0
B,17962,2506818,0
B,19351,2525489,0
B,29206,2476948,0
B,14779,2545529,0
P,61486,2414791,0
B,20160,2657651,0
B,24551,2678471,0
B,31165,2625804,0
B,19789,2703717,0
P,64121,2560995,0
B,21022,2807768,0
B,20515,2829460,0
B,29098,2777984,0
B,13213,2850671,0
P,53436,2724224,0
B,17378,2950060,0
B,17991,2968123,0
B,26397,2922975,0
B,18431,2986786,0
P,57729,2864566,0
B,19246,3087677,0
B,18983,3107615,0
B,31626,3055367,0
B,16122,3127299,0
P,48775,3005898,0
B,20441,3228935,0
B,20551,3250075,0
B,32388,3195850,0
B,19883,3271292,0
P,51085,3144080,0
B,19585,3352781,0
B,29326,3323105,0
P,30514,3291890,0
I,113205,3373027,1
B,9595,3550418,0
B,9889,3560680,0
B,19436,3530289,0
B,5922,3571285,0
P,42638,3486945,0
B,14953,3687018,0
B,12105,3702651,0
B,26212,3660160,0
B,14761,3715436,0
P,81575,3577881,0
B,14975,3861491,0
B,16828,3877243,0
B,48734,3812060,0
B,12577,3894712,0
P,80461,3730941,0
B,19081,4021821,0
B,25525,4041605,0
B,39279,3981870,0
B,22936,4067850,0
P,73244,3907942,0
B,34196,4190004,0
B,26923,4224931,0
B,34204,4155148,0
B,13654,4252530,0
P,63326,4091140,0
B,20577,4371516,0
B,22054,4392858,0
B,36518,4334327,0
B,25107,4415596,0
P,66778,4266884,0
B,20930,4535804,0
B,20574,4557405,0
B,29917,4505200,0
B,12496,4578668,0
P,63166,4441351,0
B,17729,4691040,0
B,23135,4709434,0
B,34229,4656122,0
B,19284,4733253,0
P,63654,4591811,0
B,22697,4838619,0
B,20432,4861980,0
B,27832,4810118,0
B,11932,4883073,0
P,56503,4753253,0
B,18022,4983786,0
B,18461,5002504,0
B,28538,4954581,0
B,19844,5021654,0
P,58197,4895710,0
B,19213,5143101,0
B,19995,5162995,0
B,37696,5104701,0
B,13963,5183649,0
P,61802,5042178,0
B,16461,5284757,0
B,19797,5301918,0
B,26958,5257124,0
B,19095,5322394,0
P,58157,5198268,0
B,25268,5424360,0
B,19525,5450330,0
B,27445,5396594,0
B,11989,5470513,0
P,53697,5342147,0
B,15614,5556628,0
B,17708,5572945,0
B,25325,5530606,0
B,19820,5591324,0
P,46747,5483157,0
B,15803,5674913,0
B,15216,5691462,0
B,23489,5650727,0
B,11033,5707355,0
P,38195,5611823,0
B,14564,5776258,0
B,18657,5791486,0
B,23069,5752483,0
B,14089,5810819,0
P,32734,5719104,0
B,15744,5874138,0
B,13213,5890625,0
B,19696,5853792,0
B,10997,5904174,0
P,27554,5825578,0
B,12626,5964650,0
B,12561,5977967,0
B,19381,5944585,0
B,13233,5991239,0
P,28058,5915845,0
B,14062,6050523,0
B,12667,6065282,0
B,19067,6030736,0
B,11321,6078627,0
P,24908,6005131,0
B,11711,6135158,0
B,13817,6147530,0
B,18041,6116449,0
B,13327,6161993,0
P,25126,6090633,0
B,14214,6217423,0
B,10910,6232306,0
B,15962,6200781,0
B,9875,6243857,0
P,24062,6176028,0
B,12422,6294258,0
B,12302,6307376,0
B,15220,6278368,0
B,15250,6320364,0
P,23620,6254072,0
B,10757,6377308,0
B,14033,6388748,0
B,17508,6359094,0
B,11766,6403487,0
P,22130,6336309,0
B,9374,6451042,0
B,16079,6434247,0
P,17635,6415952,0
I,115912,6461089,1
B,2094,6626248,0
B,2409,6629046,0
B,3438,6622113,0
B,824,6632167,0
P,43725,6577685,0
B,2744,6666793,0
B,1145,6670225,0
B,2095,6664377,0
B,1919,6672071,0
P,30070,6633636,0
B,1130,6732612,0
B,1119,6734477,0
B,3115,6728836,0
B,2816,6736275,0
P,53510,6674675,0
B,920,6773092,0
B,1127,6774696,0
B,1818,6770572,0
B,792,6776512,0
P,30113,6739774,0
B,1673,6815677,0
B,2633,6818073,0
B,3464,6811509,0
B,2879,6821384,0
P,32901,6777967,0
B,1060,6858360,0
B,1079,6860102,0
B,1248,6856414,0
B,735,6861525,0
P,30784,6824938,0
B,2732,6962718,0
B,2178,6966150,0
B,5108,6956957,0
B,1522,6968980,0
P,93307,6862928,0
B,1435,7072205,0
B,1679,7074369,0
B,10260,7061265,0
B,614,7076731,0
P,89357,6971208,0
B,937,7124190,0
B,1351,7125785,0
B,2221,7121262,0
