pict_type,pkt_size,pkt_pos,key_frame
I,652244,122946,1
I,448,779294,1
B,90,780359,0
B,92,779865,0
P,100,779742,0
B,96,807057,0
B,96,807978,0
B,397,804958,0
B,6294,809584,0
P,22071,781592,0
P,34794,817208,0
B,18760,937720,0
P,83791,852968,0
B,25888,1050437,0
P,92492,956976,0
P,87558,1077252,0
B,16922,1457985,0
B,51259,1406293,0
B,7855,1475853,0
P,239567,1165755,0
B,9016,1682482,0
B,38262,1643243,0
B,9209,1691955,0
P,157756,1484595,0
B,9297,1910727,0
B,41143,1868729,0
B,11041,1920964,0
P,165658,1702162,0
B,11090,2148729,0
B,42499,2105288,0
B,11141,2160752,0
P,171918,1932462,0
B,11942,2284578,0
P,111243,2172840,0
B,9858,2512257,0
B,42600,2468802,0
B,11022,2523028,0
P,170203,2297632,0
B,10096,2737424,0
B,39203,2697244,0
B,9801,2748612,0
P,161870,2534513,0
B,10438,2962173,0
B,40033,2921216,0
B,10343,2973460,0
P,161288,2759419,0
B,10171,3181160,0
B,39658,3140983,0
B,9621,3192234,0
P,155317,2984700,0
B,9723,3392444,0
B,40106,3351427,0
B,9327,3402669,0
P,147746,3202737,0
B,8984,3512329,0
P,98386,3412979,0
B,15408,3672916,0
B,21697,3689206,0
B,28170,3643832,0
B,13969,3711776,0
P,121112,3522264,0
B,27811,3879662,0
B,54369,3824381,0
P,97210,3726663,0
I,227114,3908425,1
B,11679,4307332,0
B,55269,4251609,0
B,17383,4319943,0
P,114116,4136545,0
B,26784,4423160,0
P,83976,4338235,0
B,39259,4528652,0
P,77314,4450858,0
P,67960,4568843,0
B,43748,4706289,0
P,67551,4637790,0
P,67118,4750889,0
P,58585,4818461,0
P,75191,4877956,0
P,59497,4954105,0
P,60473,5014529,0
B,29336,5155952,0
P,79531,5075908,0
B,27194,5347085,0
B,73613,5272486,0
B,28282,5375270,0
P,85285,5186241,0
B,24755,5476910,0
P,71971,5404049,0
B,26419,5575949,0
P,72458,5502551,0
B,27135,5671914,0
P,68209,5603244,0
B,30498,5835539,0
B,63601,5770920,0
B,33795,5866997,0
P,69913,5699978,0
B,36046,6015218,0
B,57734,5956570,0
P,54330,5901287,0
I,143916,6052127,1
B,25740,6342415,0
B,53608,6287899,0
P,90416,6196994,0
B,35474,6497069,0
B,57539,6438571,0
B,39361,6532982,0
P,68544,6369125,0
B,35763,6703591,0
B,54043,6648707,0
B,44419,6739834,0
P,74618,6573290,0
B,35638,6903276,0
B,57166,6845169,0
B,31958,6939841,0
P,58898,6785262,0
B,42422,7085034,0
B,39660,7044455,0
P,71330,6972288,0
B,25420,7186648,0
P,57391,7128345,0
I,62537,7212586,0
B,31441,7316497,0
P,39362,7276237,0
B,19664,7405748,0
B,24859,7380379,0
P,30528,7348865,0
B,18847,7491020,0
B,27538,7462576,0
B,21172,7510829,0
P,35336,7426308,0
P,31884,7532432,0
B,37279,7617925,0
P,51742,7565191,0
B,33377,7752803,0
B,47551,7704733,0
B,38570,7787055,0
