pict_type,pkt_size,pkt_pos,key_frame
I,632261,133030,1
I,68969,769395,1
B,7077,910340,0
B,20705,889214,0
B,5944,918820,0
P,50827,838364,0
B,8843,1007110,0
B,26074,980385,0
B,6037,1017114,0
P,52763,926101,0
B,6196,1118011,0
B,29931,1087043,0
B,5917,1124722,0
P,61789,1024252,0
B,5863,1223811,0
B,25028,1197833,0
B,5979,1230556,0
P,65292,1131573,0
B,5551,1349133,0
B,31097,1317110,0
B,5949,1355584,0
P,79214,1237019,0
B,6769,1494437,0
B,40390,1453054,0
B,7792,1502077,0
P,90059,1362469,0
B,9409,1677409,0
B,36390,1640610,0
B,11824,1687691,0
P,128885,1510774,0
B,6574,1859528,0
B,35577,1823041,0
B,6054,1866556,0
P,121599,1700504,0
B,8000,2025326,0
B,28722,1995646,0
B,9276,2034216,0
P,121138,1873628,0
B,7734,2211700,0
B,31720,2178953,0
B,5612,2220327,0
P,134076,2043991,0
B,5911,2377198,0
B,26816,2349452,0
B,6431,2384055,0
P,122092,2226888,0
B,7653,2540830,0
B,24905,2515497,0
B,5208,2549458,0
P,123235,2391382,0
B,5647,2688896,0
B,29265,2658655,0
B,5070,2694963,0
P,102079,2555657,0
B,9479,2852277,0
B,39446,2811946,0
B,6903,2862170,0
P,110025,2700992,0
B,5310,3077924,0
B,46528,3030403,0
B,23987,3084152,0
P,159467,2870041,0
P,62350,3108588,0
B,8230,3258675,0
P,85855,3171911,0
P,85380,3267832,0
P,60004,3354161,0
B,8484,3492547,0
P,77013,3414631,0
B,9943,3602741,0
B,13314,3588418,0
P,85488,3501988,0
B,4102,3685351,0
P,71314,3613114,0
B,5365,3780959,0
B,20219,3759801,0
B,4511,3786807,0
P,68409,3690440,0
B,3540,3880152,0
B,29709,3849492,0
B,3485,3884582,0
P,56411,3792201,0
B,3252,3947796,0
B,21073,3925762,0
B,3253,3951978,0
P,36275,3888537,0
B,2763,3997512,0
B,14834,3981641,0
B,2574,4001152,0
P,25064,3956136,0
B,2653,4032496,0
B,10055,4021995,0
B,2737,4036059,0
P,16425,4004633,0
B,2512,4060666,0
B,7094,4052652,0
B,2455,4063603,0
P,11965,4039744,0
B,2059,4081909,0
B,5133,4075847,0
B,2238,4084854,0
P,7879,4066996,0
B,2068,4101154,0
B,5385,4094736,0
B,1850,4104162,0
P,6238,4087559,0
B,4890,4118421,0
B,9001,4108521,0
B,247,4124234,0
P,1192,4106887,0
P,448,4125481,0
P,322,4126342,0
B,258,4129737,0
B,259,4131026,0
B,273,4128582,0
B,259,4131720,0
P,315,4127430,0
B,251,4134103,0
P,282,4132888,0
P,272,4135308,0
B,248,4138443,0
B,248,4139610,0
B,252,4137336,0
B,249,4140914,0
P,266,4136584,0
B,250,4143879,0
B,249,4145003,0
B,251,4142796,0
B,245,4146216,0
P,265,4142049,0
B,245,4149325,0
B,247,4148186,0
P,258,4147458,0
B,246,4152993,0
B,246,4153711,0
B,247,4151768,0
B,245,4154786,0
P,258,4150465,0
B,245,4158518,0
B,247,4157269,0
P,257,4156006,0
P,257,4159205,0
P,257,4160553,0
B,245,4164084,0
B,246,4163037,0
P,257,4162034,0
B,245,4167175,0
B,247,4165922,0
B,245,4168319,0
P,257,4164739,0
I,319234,4169510,1
B,14717,4700755,0
B,43654,4656184,0
B,14500,4716383,0
P,166041,4489236,0
B,16415,4928904,0
B,37753,4890066,0
B,13190,4946339,0
P,157800,4731781,0
B,14664,5157430,0
B,35962,5120982,0
B,13838,5173067,0
P,159510,4960500,0
B,12692,5394640,0
B,34888,5359317,0
B,12351,5408324,0
P,170477,5187893,0
B,11872,5616275,0
B,33537,5581812,0
B,14435,5628648,0
P,159252,5421595,0
B,15453,5837536,0
B,38796,5797796,0
B,19104,5853948,0
P,152915,5643969,0
B,16626,5987738,0
P,113320,5873469,0
B,17436,6181651,0
B,40685,6140013,0
B,20743,6199558,0
P,133823,6005311,0
B,27830,6430005,0
B,57386,6371735,0
B,26240,6458784,0
P,149625,6221168,0
B,28191,6688266,0
B,57204,6630212,0
B,27733,6717415,0
P,143780,6485494,0
B,27542,6960081,0
B,65172,6894070,0
B,26941,6988443,0
P,147655,6746048,0
P,82631,7016236,0
B,25243,7186122,0
P,85777,7099841,0
B,21548,7281900,0
P,68521,7212428,0
P,62683,7304367,0
B,10259,7491840,0
B,48611,7442319,0
B,8659,7503097,0
P,73835,7368037,0
B,5416,7580278,0
B,32904,7546888,0
B,3981,7586637,0
P,33343,7512621,0
B,4131,7625994,0
B,14699,7610376,0
B,4683,7630642,0
P,17972,7591506,0
B,4035,7668946,0
B,11971,7656092,0
B,4335,7673976,0
P,18952,7636256,0
B,9159,7686996,0
B,8451,7697106,0
B,4114,7681737,0
B,192,7705964,0
P,2105,7678726,0
P,399,7707090,0
B,309,7710826,0
B,312,7711570,0
B,312,7709607,0
B,308,7712848,0
P,343,7708421,0
B,302,7716902,0
B,301,7717625,0
B,302,7715606,0
B,299,7718930,0
P,317,7714205,0
I,146943,7720192,1
B,2503,7931899,0
B,12357,7919062,0
B,2478,7935348,0
P,50097,7868013,0
B,4010,7996979,0
B,10223,7985868,0
B,2494,8001509,0
P,46198,7938729,0
B,4691,8074759,0
B,4197,8080342,0
B,8394,8065464,0
B,2503,8085038,0
P,59573,8004979,0
B,2025,8153501,0
B,11289,8141238,0
B,1539,8156439,0
P,51833,8088478,0
B,4261,8219857,0
B,4492,8224990,0
B,10207,8208696,0
B,2493,8230357,0
P,49343,8158447,0
B,3482,8294242,0
B,4302,8298801,0
B,8811,8284396,0
B,2750,8303877,0
P,50266,8233219,0
B,1922,8369990,0
B,10606,8358496,0
B,3294,8372839,0
P,50538,8307099,0
B,2215,8430204,0
B,2608,8433392,0
B,5342,8423940,0
B,2065,8436919,0
P,46401,8377069,0
B,3892,8493985,0
B,7642,8498803,0
B,4845,8488202,0
B,2295,8507370,0
P,47837,8439910,0
B,2373,8577396,0
B,16045,8560406,0
B,3293,8580728,0
P,49384,8510115,0
B,1914,8641705,0
B,8837,8631908,0
B,2427,8644611,0
P,46261,8585111,0
B,2198,8703255,0
B,8410,8694407,0
B,1687,8706328,0
P,45388,8648092,0
B,1837,8769884,0
B,8394,8760543,0
B,2324,8772188,0
P,50638,8709010,0
B,2090,8835016,0
B,9212,8824901,0
B,2353,8838053,0
P,48496,8775438,0
B,2681,8898874,0
B,9649,8888288,0
B,2378,8902397,0
P,46502,8840866,0
B,2783,8970982,0
B,2367,8974663,0
B,7696,8962307,0
B,2871,8977929,0
P,56104,8905714,0
B,3557,9030376,0
B,3406,9034897,0
B,4529,9024942,0
B,2286,9039269,0
P,42721,8981789,0
B,2049,9089174,0
B,9522,9078803,0
B,5261,9092207,0
P,35834,9042506,0
B,2176,9120091,0
B,2681,9123201,0
B,6601,9113030,0
B,2055,9126755,0
P,13767,9098319,0
I,456,9129813,1
B,89,9131725,0
P,100,9131166,0
P,101,9132835,0
B,91,9135497,0
B,94,9134972,0
P,102,9133925,0
P,102,9136507,0
P,501,9137573,0
B,975,9149570,0
B,2678,9146415,0
B,2427,9151514,0
P,6539,9139014,0
B,3534,9178921,0
B,6747,9171297,0
B,3435,9182942,0
P,15433,9154925,0
B,3611,9216446,0
B,7449,9208111,0
B,3279,9221016,0
P,19894,9187301,0
B,3880,9260875,0
B,8842,9251084,0
B,4039,9265688,0
P,25333,9224767,0
B,4881,9315624,0
B,11221,9303491,0
B,4367,9321429,0
P,32387,9270638,0
B,5428,9377707,0
B,13751,9363493,0
B,6404,9384067,0
P,35823,9326721,0
B,7892,9453098,0
B,18988,9433197,0
P,40821,9391421,0
B,12000,9542545,0
B,25730,9515897,0
B,15487,9555469,0
P,53531,9461449,0
B,19900,9622245,0
P,49883,9571868,0
B,20001,9703905,0
P,59897,9643056,0
B,21502,9844902,0
B,39832,9804631,0
B,21503,9867327,0
P,79123,9724637,0
B,28615,10035359,0
B,49097,9985295,0
B,23425,10064373,0
P,94646,9889724,0
B,18386,10179142,0
P,89496,10088692,0
B,15379,10307050,0
B,13737,10323380,0
B,19248,10287331,0
B,8386,10338011,0
P,87891,10198442,0
B,6997,10449713,0
B,19032,10429832,0
B,4256,10457592,0
P,82037,10347336,0
B,4095,10534031,0
B,9528,10523965,0
B,3435,10539081,0
P,60210,10462806,0
B,3015,10600275,0
B,4480,10594860,0
P,50463,10543448,0
B,1762,10639578,0
B,2361,10642418,0
B,4061,10634516,0
B,2708,10645758,0
P,29652,10603782,0
B,2630,10661468,0
P,11580,10648922,0
I,51500,10665039,1
B,8338,10775248,0
B,21103,10753687,0
B,9900,10784513,0
P,35312,10717452,0
B,10567,10857793,0
B,24280,10832538,0
B,10999,10868774,0
P,36291,10795304,0
B,11988,10943330,0
B,24892,10917559,0
B,11516,10956301,0
P,35949,10880656,0
B,11541,11025965,0
B,22609,11002452,0
B,9610,11038461,0
P,33164,10968303,0
B,8632,11100082,0
B,19988,11079161,0
B,8943,11109647,0
P,29664,11049034,0
B,7342,11155483,0
B,15433,11139577,0
B,6788,11163820,0
P,19180,11119510,0
B,4688,11197138,0
B,9565,11186671,0
B,4341,11202318,0
P,14196,11171523,0
B,3329,11226817,0
B,7069,11218807,0
B,2827,11231125,0
P,10350,11207544,0
B,2590,11250767,0
B,5526,11244314,0
B,2563,11254296,0
P,8970,11234433,0
B,2330,11271836,0
B,4842,11266047,0
B,2564,11275097,0
P,7784,11257301,0
B,3378,11292699,0
B,3021,11297000,0
B,4368,11287405,0
B,2472,11300954,0
P,8323,11278609,0
B,3244,11315561,0
B,2594,11319747,0
B,3481,11311124,0
B,1809,11323234,0
P,6319,11304345,0
B,1854,11331041,0
B,1564,11333815,0
B,1726,11328364,0
B,926,11336320,0
P,1901,11325942,0
B,732,11339452,0
P,825,11338177,0
P,501,11341070,0
B,371,11345118,0
B,378,11343843,0
P,410,11342539,0
P,380,11345950,0
P,366,11347233,0
B,351,11351138,0
B,351,11349852,0
P,360,11348551,0
P,358,11351954,0
P,358,11353234,0
B,351,11357106,0
B,351,11355870,0
P,358,11354558,0
B,351,11360481,0
B,351,11361809,0
B,351,11359239,0
B,351,11363088,0
P,359,11357915,0
I,185162,11363856,1
B,3031,11619425,0
B,4519,11614009,0
P,63079,11549978,0
B,2103,11696075,0
B,9346,11685810,0
B,2504,11699074,0
P,61928,11623384,0
B,2539,11793094,0
B,11091,11781515,0
B,2197,11796579,0
P,78017,11702523,0
B,2168,11870670,0
B,7861,11862331,0
B,2129,11873781,0
P,61665,11799741,0
B,2042,11948197,0
B,8574,11938702,0
B,2108,11950708,0
P,60931,11876823,0
B,2027,12025161,0
B,8235,12015980,0
B,2164,12028083,0
P,61302,11953767,0
B,2093,12101764,0
B,8069,12092700,0
B,2086,12104620,0
P,61129,12030717,0
B,2110,12178343,0
B,8504,12168919,0
B,2061,12181329,0
P,60982,12107493,0
B,2130,12254975,0
B,8202,12246243,0
B,2081,12258012,0
P,61016,12184307,0
B,2075,12331892,0
B,8519,12322345,0
B,2178,12334449,0
P,60335,12261037,0
B,2106,12408828,0
B,8650,12399274,0
B,2189,12411835,0
P,60921,12337473,0
B,2197,12487035,0
B,8635,12477486,0
B,2182,12490237,0
P,62088,12414473,0
B,2106,12563993,0
B,8128,12554873,0
B,2051,12567041,0
P,61128,12493333,0
B,2107,12640554,0
B,8176,12631908,0
B,2095,12643512,0
P,60909,12570053,0
B,2014,12716998,0
B,8466,12707632,0
B,2118,12719700,0
P,60140,12646552,0
B,2194,12789504,0
B,8261,12780434,0
B,2075,12792575,0
P,56699,12723042,0
B,2062,12854079,0
B,8541,12844646,0
B,2069,12857080,0
P,48662,12795105,0
B,2175,12926709,0
B,11142,12914598,0
B,2110,12929824,0
P,53893,12859660,0
B,2198,12960626,0
B,10782,12948971,0
B,2341,12963690,0
P,15664,12932904,0
I,179940,12966962,1
B,3533,13223276,0
B,8574,13213643,0
B,3333,13227908,0
P,65255,13147897,0
B,3094,13311180,0
B,9480,13301189,0
B,2980,13315229,0
P,67899,13232269,0
B,2929,13373902,0
P,53829,13319143,0
B,3097,13457492,0
B,9494,13447303,0
B,2962,13461424,0
P,69055,13377793,0
B,2742,13546969,0
B,9191,13537353,0
B,2936,13550620,0
P,71238,13465254,0
B,2948,13632616,0
B,9017,13622611,0
B,2624,13636093,0
P,67182,13554481,0
B,2714,13715730,0
B,8620,13706129,0
B,2742,13719312,0
P,65534,13639608,0
B,2797,13800832,0
B,9047,13790948,0
B,3020,13804569,0
P,67447,13722532,0
B,3068,13888265,0
B,9695,13877682,0
B,2984,13892202,0
P,68663,13808566,0
B,3021,13975079,0
B,9629,13965017,0
B,2679,13979048,0
P,67937,13896114,0
B,3009,14061636,0
B,9326,14051800,0
B,2756,14065590,0
P,68109,13982688,0
B,2794,14149386,0
B,9650,14138954,0
B,2802,14152617,0
P,68707,14069262,0
B,3201,14236565,0
B,10169,14225485,0
B,2931,14240680,0
P,68198,14156329,0
B,2990,14326024,0
B,10106,14315016,0
