pict_type,pkt_size,pkt_pos,key_frame
I,1048977,8031,1
B,359341,2462205,0
B,353010,2821554,0
B,521524,1940673,0
B,339743,3174572,0
P,822416,1118239,0
B,324112,4889261,0
B,574192,4315061,0
B,303776,5213392,0
P,753033,3562020,0
B,315996,6874147,0
B,576624,6297504,0
B,305618,7190151,0
P,734516,5562980,0
B,266804,8770576,0
B,538379,8232178,0
B,283489,9037388,0
P,686010,7546160,0
B,243856,10495405,0
B,486377,10009009,0
B,241533,10739269,0
P,640105,9368896,0
B,227554,12067736,0
B,451601,11616116,0
B,207567,12295298,0
P,590154,11025954,0
B,212445,13555205,0
B,428699,13126498,0
B,200401,13767669,0
P,576203,12550287,0
B,217757,15068850,0
B,441780,14627062,0
B,225466,15286626,0
P,608954,14018100,0
B,228129,16672438,0
B,465412,16207018,0
B,263403,16900586,0
P,649387,15557623,0
P,648844,17197844,0
B,294993,19126608,0
B,541592,18585008,0
B,297206,19421609,0
P,713526,17871463,0
B,342869,21054669,0
B,338096,21397546,0
B,504502,20550159,0
B,359871,21735650,0
P,772580,19777560,0
B,371995,23452094,0
B,365674,23824108,0
B,523073,22929013,0
B,363304,24189790,0
P,774912,22154093,0
B,349928,25905247,0
B,592902,25312326,0
P,722910,24589408,0
I,971280,26264541,1
B,128263,28190547,0
B,131525,28318818,0
B,274623,27915916,0
B,129341,28450351,0
P,618575,27297322,0
B,134706,29456607,0
B,133419,29591321,0
B,262820,29193768,0
B,124677,29724748,0
P,552442,28641318,0
B,133300,30701681,0
B,132104,30834989,0
B,257096,30444577,0
B,122722,30967112,0
P,538370,29906199,0
B,123620,32023206,0
B,350394,31672804,0
B,126137,32146834,0
P,527509,31145287,0
B,135253,33040159,0
B,132525,33175420,0
B,252881,32787270,0
B,122166,33307953,0
P,462336,32324915,0
I,1612153,33441467,1
B,332701,36929167,0
B,331703,37261876,0
B,534110,36395037,0
B,274803,37593587,0
P,1279763,35115266,0
B,324645,40015010,0
B,340685,40339663,0
B,564235,39450767,0
B,287196,40680356,0
P,1525649,37925099,0
B,277203,43184653,0
B,714090,42470555,0
B,283054,43461864,0
P,1455124,41015411,0
B,327266,45755606,0
B,342318,46082880,0
B,564755,45190843,0
B,299987,46425206,0
P,1384244,43806580,0
B,295944,48405961,0
B,779180,47626762,0
P,867129,46759625,0
I,881868,48713257,1
B,73242,50375009,0
B,75971,50448259,0
B,181704,50193286,0
B,76390,50524238,0
P,536338,49656940,0
B,79730,51311147,0
B,78116,51390885,0
B,170193,51140946,0
B,73832,51469009,0
P,465838,50675100,0
B,75392,52184971,0
B,74165,52260371,0
B,163358,52021605,0
B,69615,52334544,0
P,434682,51586903,0
B,73340,52942791,0
B,71624,53016139,0
B,155654,52787129,0
B,69904,53087771,0
P,314505,52472616,0
I,1805110,53157683,0
B,336424,57082862,0
B,777319,56305524,0
B,375456,57419294,0
P,1292320,55013196,0
B,345956,59885682,0
B,778055,59107619,0
B,374106,60231646,0
P,1265030,57842570,0
B,402198,62565288,0
B,407928,62967494,0
B,647520,61917748,0
B,364292,63375430,0
P,1255157,60662583,0
B,355762,65768398,0
B,787119,64981271,0
B,362932,66124168,0
P,1191202,63790050,0
B,363257,68462611,0
B,789810,67672782,0
B,387135,68825876,0
P,1139791,66532983,0
B,369516,70115903,0
P,880223,69235661,0
I,1556439,70499332,1
B,330674,73912671,0
B,704104,73208548,0
B,340831,74243353,0
P,1104880,72103660,0
B,382795,76256863,0
B,373711,76639666,0
B,556881,75699974,0
B,352342,77013385,0
P,1058858,74641097,0
B,388135,78987482,0
B,390585,79375625,0
B,532102,78455361,0
B,348151,79766218,0
P,1027801,77427552,0
B,360036,81567031,0
B,363557,81927075,0
B,525736,81041287,0
B,341352,82290640,0
P,869671,80171597,0
P,646912,82657227,0
I,1790134,83304147,0
B,158328,86683798,0
B,165505,86842134,0
B,315549,86368230,0
B,154593,87007647,0
P,1212134,85156088,0
B,158095,88552452,0
B,160921,88710555,0
B,291598,88260846,0
B,148564,88871484,0
P,1041685,87219142,0
B,153631,90305774,0
B,157224,90459413,0
B,281725,90024041,0
B,146166,90616645,0
P,942054,89081968,0
B,154026,91813902,0
B,157655,91967936,0
B,281876,91532018,0
B,148275,92125599,0
P,711932,90820067,0
B,149409,92770288,0
P,467928,92302352,0
I,951622,92927776,1
P,615374,93890748,0
B,185315,95521071,0
B,176764,95706394,0
B,330764,95190299,0
B,166944,95883166,0
P,622439,94567852,0
B,179370,97036083,0
B,164972,97215461,0
B,313561,96722514,0
B,157289,97380441,0
P,598691,96123815,0
B,168547,98482953,0
B,157964,98651508,0
B,306387,98176558,0
B,155475,98809480,0
P,570590,97605960,0
B,157596,99924248,0
B,381430,99542810,0
B,159487,100081852,0
P,555339,98987452,0
B,161634,101141857,0
B,383911,100757927,0
B,160428,101303499,0
P,468736,100289183,0
I,1424821,101477846,1
B,182457,104326093,0
B,189157,104508558,0
B,386318,103939767,0
B,181688,104697723,0
P,979839,102959909,0
B,192259,106168178,0
B,192039,106360445,0
B,367878,105800292,0
B,180406,106552492,0
P,859474,104940799,0
B,213505,108026682,0
B,209574,108240195,0
B,385052,107641622,0
B,190793,108449777,0
P,849380,106792223,0
B,194777,109973740,0
B,504636,109469096,0
B,203964,110168525,0
P,782746,108686331,0
B,216585,111691906,0
B,511110,111180788,0
B,229234,111908499,0
P,757809,110422960,0
B,221064,113286334,0
B,487849,112798477,0
B,208599,113507406,0
P,614943,112183515,0
I,2028752,113727316,1
B,409295,118050704,0
B,817542,117233142,0
B,424220,118460007,0
P,1429591,115803543,0
B,433132,121122702,0
B,806882,120315812,0
B,447512,121555842,0
P,1381212,118934581,0
B,459494,124255225,0
B,858089,123397116,0
B,504623,124714727,0
P,1347963,122049145,0
B,552184,127458339,0
B,914112,126544219,0
B,557755,128010531,0
P,1276969,125267231,0
B,572903,130609928,0
B,758527,129851382,0
P,1246587,128604787,0
B,634058,132274687,0
P,1066617,131208050,0
I,1709426,132918048,0
B,342076,136459373,0
B,674000,135785354,0
B,331972,136801457,0
P,1110464,134674882,0
B,362554,138891252,0
B,368169,139253814,0
B,565235,138326009,0
B,345636,139621991,0
P,1130828,137195162,0
B,323811,141751375,0
B,646223,141105133,0
B,318003,142075194,0
P,1091721,140013404,0
B,369234,144101068,0
B,377726,144470310,0
B,565521,143535539,0
B,347409,144848044,0
P,1083184,142452336,0
B,332135,146904148,0
B,659470,146244659,0
B,333480,147236291,0
P,1003341,145241310,0
B,358087,149138690,0
B,700994,148437688,0
P,831770,147605899,0
I,1109348,149510672,1
B,325614,151873372,0
B,486238,151387126,0
P,730528,150656579,0
B,288592,153431843,0
B,506472,152925363,0
B,283329,153720443,0
P,680383,152244961,0
B,281310,155296643,0
B,508331,154788304,0
B,286044,155577961,0
P,736710,154051574,0
B,305236,157569916,0
B,493582,157076326,0
P,1175900,155900407,0
B,302471,159904823,0
B,738147,159166668,0
B,247331,160207302,0
P,1245928,157920721,0
B,231431,161923789,0
B,687188,161236593,0
P,745751,160490823,0
I,1150752,162166506,0
B,164686,164396034,0
B,184614,164560728,0
B,319428,164076598,0
B,198824,164745350,0
P,697761,163378829,0
B,257084,165959777,0
B,315121,165644648,0
P,645399,164999241,0
B,220832,167290789,0
B,338399,166952382,0
P,720082,166232281,0
B,187319,168668937,0
B,405322,168263596,0
B,181881,168856264,0
P,704195,167559393,0
B,168448,170028431,0
B,278100,169750323,0
P,677754,169072561,0
B,162141,171282613,0
B,420146,170862459,0
B,184965,171444762,0
P,610234,170252217,0
B,234540,172566641,0
B,346387,172220246,0
P,562036,171658191,0
P,499819,172826265,0
I,2638954,173326105,1
B,219687,178437545,0
B,299694,178657240,0
B,530429,177907108,0
B,280716,178956942,0
P,1884999,176022089,0
B,296909,181468006,0
B,305319,181764923,0
B,501199,180966799,0
B,270407,182070250,0
P,1667520,179299259,0
B,286069,184514685,0
B,296604,184800762,0
B,482326,184032351,0
B,271195,185097374,0
P,1634887,182397444,0
B,300867,187440778,0
B,306090,187741653,0
B,485929,186954841,0
B,274902,188047751,0
P,1524566,185430255,0
B,249485,190517037,0
B,706745,189810284,0
B,231491,190766530,0
P,1439928,188370336,0
B,236140,192983884,0
B,706501,192277375,0
B,228407,193220032,0
