pict_type,pkt_size,pkt_pos,key_frame
I,651879,40,1
B,511,838360,0
B,3375,834985,0
B,1275,838871,0
B,10298,824687,0
B,3507,850860,0
B,10714,840146,0
B,12723,854367,0
B,172768,651919,0
B,3505,1149082,0
B,22271,1126811,0
B,3434,1152587,0
B,46872,1079939,0
B,3771,1179918,0
B,23897,1156021,0
B,4192,1183689,0
B,212849,867090,0
B,5085,1494882,0
B,18976,1475906,0
B,5076,1499967,0
B,51353,1424553,0
B,5069,1524038,0
B,18995,1505043,0
B,5041,1529107,0
B,236672,1187881,0
B,6493,2132769,0
B,19492,2113277,0
B,6504,2139262,0
B,48663,2064614,0
B,6491,2165201,0
B,19435,2145766,0
B,6478,2171692,0
I,530466,1534148,1
B,4840,2453688,0
B,17990,2435698,0
B,4755,2458528,0
B,38323,2397375,0
B,4778,2481224,0
B,17941,2463283,0
B,4711,2486002,0
B,219205,2178170,0
B,4494,2785606,0
B,19282,2766324,0
B,4502,2790100,0
B,38360,2727964,0
B,4485,2813789,0
B,19187,2794602,0
B,4417,2818274,0
B,237251,2490713,0
B,5382,3129116,0
B,19369,3109747,0
B,5395,3134498,0
B,37559,3072188,0
B,5379,3159235,0
B,19342,3139893,0
B,5350,3164614,0
B,249497,2822691,0
B,4848,3756699,0
B,20468,3736231,0
B,4805,3761547,0
B,38048,3698183,0
B,4682,3786776,0
B,20424,3766352,0
B,4735,3791458,0
I,528219,3169964,1
B,3480,4082569,0
B,17495,4065074,0
B,3463,4086049,0
B,32300,4032774,0
B,3414,4106879,0
B,17367,4089512,0
B,3313,4110293,0
B,236581,3796193,0
B,4034,4413861,0
B,18777,4395084,0
B,4046,4417895,0
B,33976,4361108,0
B,4035,4440661,0
B,18720,4421941,0
B,3997,4444696,0
B,247502,4113606,0
B,4279,4762467,0
B,19478,4742989,0
B,4274,4766746,0
B,34686,4708303,0
B,4239,4790462,0
B,19442,4771020,0
B,4198,4794701,0
B,259610,4448693,0
B,4749,5378704,0
B,19629,5359075,0
B,4750,5383453,0
B,35743,5323332,0
B,4757,5407863,0
B,19660,5388203,0
B,4747,5412620,0
I,524433,4798899,1
B,4112,5705747,0
B,16684,5689063,0
B,4093,5709859,0
B,30926,5658137,0
B,4023,5730476,0
B,16524,5713952,0
B,3952,5734499,0
B,240770,5417367,0
B,5193,6037696,0
B,18369,6019327,0
B,5170,6042889,0
B,32374,5986953,0
B,5153,6066299,0
B,18240,6048059,0
B,5119,6071452,0
B,248502,5738451,0
B,4783,6391347,0
B,19073,6372274,0
B,4773,6396130,0
B,33945,6338329,0
B,4716,6419936,0
B,19033,6400903,0
B,4658,6424652,0
B,261758,6076571,0
B,6272,7002020,0
B,19876,6982144,0
B,6257,7008292,0
B,34380,6947764,0
B,6247,7034432,0
B,19883,7014549,0
B,6262,7040679,0
I,518454,6429310,1
B,4347,7334825,0
B,17119,7317706,0
B,4329,7339172,0
B,29292,7288414,0
B,4294,7360549,0
B,17048,7343501,0
B,4241,7364843,0
B,241473,7046941,0
B,4910,7671154,0
B,18083,7653071,0
B,4930,7676064,0
B,32079,7620992,0
B,4876,7699057,0
B,18063,7680994,0
B,4855,7703933,0
B,251908,7369084,0
B,4219,8027965,0
B,18182,8009783,0
B,4194,8032184,0
B,33981,7975802,0
B,4163,8054534,0
B,18156,8036378,0
B,4101,8058697,0
B,267014,7708788,0
B,3602,8643649,0
B,17740,8625909,0
B,3591,8647251,0
B,35605,8590304,0
B,3634,8668582,0
B,17740,8650842,0
B,3602,8672216,0
I,527506,8062798,1
B,3695,8972705,0
B,15202,8957503,0
B,3412,8976400,0
B,30615,8926888,0
B,3294,8994758,0
B,14946,8979812,0
B,3188,8998052,0
B,251070,8675818,0
B,5461,9303554,0
B,16153,9287401,0
B,5485,9309015,0
B,31317,9256084,0
B,5469,9330636,0
B,16136,9314500,0
B,5460,9336105,0
B,254844,9001240,0
B,3575,9666530,0
B,16175,9650355,0
B,3559,9670105,0
B,32334,9618021,0
B,3516,9689785,0
B,16121,9673664,0
B,3432,9693301,0
B,276456,9341565,0
B,4271,10261509,0
B,16920,10244589,0
B,4277,10265780,0
B,32820,10211769,0
B,4250,10286989,0
B,16932,10270057,0
B,4221,10291239,0
I,515036,9696733,1
B,3619,10595004,0
B,14985,10580019,0
B,3609,10598623,0
B,28512,10551507,0
B,3515,10617017,0
B,14785,10602232,0
B,3460,10620532,0
B,256047,10295460,0
B,4075,10935754,0
B,16216,10919538,0
B,4075,10939829,0
B,29711,10889827,0
B,4019,10960087,0
B,16183,10943904,0
B,4000,10964106,0
B,265835,10623992,0
B,5148,11287785,0
B,16875,11270910,0
B,5144,11292933,0
B,29851,11241059,0
B,5121,11314939,0
B,16862,11298077,0
B,5092,11320060,0
B,272953,10968106,0
B,5682,11902424,0
B,18078,11884346,0
B,5705,11908106,0
B,30376,11853970,0
B,5691,11931902,0
B,18091,11913811,0
B,5801,11937593,0
I,528818,11325152,1
B,4091,12238790,0
B,15915,12222875,0
B,4038,12242881,0
B,27055,12195820,0
B,3977,12262621,0
B,15702,12246919,0
B,3948,12266598,0
B,252426,11943394,0
B,5102,12575287,0
B,17356,12557931,0
B,5097,12580389,0
B,29051,12528880,0
B,5074,12602813,0
B,17327,12585486,0
B,5038,12607887,0
B,258334,12270546,0
B,3873,12936699,0
B,17454,12919245,0
B,3855,12940572,0
B,30584,12888661,0
B,3782,12961821,0
B,17394,12944427,0
B,3740,12965603,0
B,275736,12612925,0
B,3249,13553620,0
B,17897,13535723,0
B,3239,13556869,0
B,32126,13503597,0
B,3234,13578105,0
B,17997,13560108,0
B,3487,13581339,0
I,534254,12969343,1
B,3233,13883809,0
B,15117,13868692,0
B,3227,13887042,0
B,27996,13840696,0
B,3154,13905158,0
B,14889,13890269,0
B,3166,13908312,0
B,255870,13584826,0
B,3844,14222991,0
B,15263,14207728,0
B,3839,14226835,0
B,30012,14177716,0
B,3806,14245898,0
B,15224,14230674,0
B,4250,14249704,0
B,266238,13911478,0
B,6005,14570012,0
B,16440,14553572,0
B,5966,14576017,0
B,29116,14524456,0
B,5897,14598251,0
B,16268,14581983,0
B,5826,14604148,0
B,270502,14253954,0
B,6651,15182361,0
B,19244,15163117,0
B,6656,15189012,0
B,29825,15133292,0
B,6652,15214948,0
B,19280,15195668,0
B,6686,15221600,0
I,523318,14609974,1
B,4329,15519970,0
B,17057,15502913,0
B,4249,15524299,0
B,26592,15476321,0
B,4155,15545303,0
B,16755,15528548,0
B,4096,15549458,0
B,248035,15228286,0
B,3488,15865212,0
B,16352,15848860,0
B,3499,15868700,0
B,29840,15819020,0
B,3426,15888497,0
B,16298,15872199,0
B,3357,15891923,0
B,265466,15553554,0
B,3494,16220886,0
B,15994,16204892,0
B,3499,16224380,0
B,31084,16173808,0
B,3432,16243807,0
B,15928,16227879,0
B,3359,16247239,0
B,278528,15895280,0
B,3592,16821444,0
B,16622,16804822,0
B,3587,16825036,0
B,31637,16773185,0
B,3557,16845300,0
B,16677,16828623,0
B,3691,16848857,0
I,522587,16250598,1
B,3917,17150658,0
B,14781,17135877,0
B,3904,17154575,0
B,27076,17108801,0
B,3831,17172955,0
B,14476,17158479,0
B,3785,17176786,0
B,256253,16852548,0
B,4325,17491344,0
B,15448,17475896,0
B,4355,17495669,0
B,29252,17446644,0
B,4331,17515448,0
B,15424,17500024,0
B,4305,17519779,0
B,266073,17180571,0
B,4616,17846778,0
B,16278,17830500,0
B,4604,17851394,0
B,29926,17800574,0
B,4544,17872199,0
B,16201,17855998,0
B,4481,17876743,0
B,276490,17524084,0
B,3975,18456842,0
B,17711,18439131,0
B,3982,18460817,0
B,31080,18408051,0
B,3993,18482617,0
B,17818,18464799,0
B,4135,18486610,0
I,526827,17881224,1
B,4235,18787071,0
B,15667,18771404,0
B,4176,18791306,0
B,26978,18744426,0
B,4111,18810923,0
B,15441,18795482,0
B,4024,18815034,0
B,253681,18490745,0
B,4600,19127473,0
B,17103,19110370,0
B,4602,19132073,0
B,29659,19080711,0
B,4592,19153849,0
B,17174,19136675,0
B,4552,19158441,0
B,261653,18819058,0
B,4301,19486104,0
B,16972,19469132,0
B,4300,19490405,0
B,30610,19438522,0
B,4252,19511624,0
B,16919,19494705,0
B,4208,19515876,0
B,275529,19162993,0
B,4723,20095816,0
B,17666,20078150,0
B,4726,20100539,0
B,30954,20047196,0
B,4711,20123055,0
B,17790,20105265,0
B,4764,20127766,0
I,527112,19520084,1
B,4066,20428272,0
B,16203,20412069,0
B,4056,20432338,0
B,26673,20385396,0
B,3961,20452404,0
B,16010,20436394,0
B,3905,20456365,0
B,252866,20132530,0
B,4905,20766045,0
B,17950,20748095,0
B,4912,20770950,0
B,29218,20718877,0
B,4866,20793749,0
B,17887,20775862,0
B,4833,20798615,0
B,258607,20460270,0
B,4751,21122593,0
B,18691,21103902,0
B,4759,21127344,0
B,30574,21073328,0
B,4711,21150748,0
B,18645,21132103,0
B,4640,21155459,0
B,269880,20803448,0
B,4439,21732047,0
B,18341,21713706,0
B,4452,21736486,0
B,31855,21681851,0
B,4428,21759372,0
B,18434,21740938,0
B,4572,21763800,0
I,521752,21160099,1
B,3840,22066596,0
B,15234,22051362,0
B,3820,22070436,0
B,27502,22023860,0
B,3719,22089336,0
B,15080,22074256,0
B,3649,22093055,0
B,255488,21768372,0
B,4465,22405885,0
B,16863,22389022,0
B,4454,22410350,0
B,29980,22359042,0
B,4412,22431611,0
B,16807,22414804,0
B,4361,22436023,0
B,262338,22096704,0
B,5211,22758420,0
B,17784,22740636,0
B,5235,22763631,0
B,30115,22710521,0
B,5186,22786632,0
B,17766,22768866,0
B,5217,22791818,0
B,270137,22440384,0
B,5197,23371052,0
B,18743,23352309,0
B,5215,23376249,0
B,31229,23321080,0
B,5217,23400284,0
B,18820,23381464,0
B,5227,23405501,0
