pict_type,pkt_size,pkt_pos,key_frame
I,390324,40,1
B,139,490119,0
B,1423,488696,0
B,305,490258,0
B,10130,478566,0
B,945,496671,0
B,6108,490563,0
B,3882,497616,0
B,88202,390364,0
B,1435,674127,0
B,23504,650623,0
B,1305,675562,0
B,30556,620067,0
B,7912,717854,0
B,40987,676867,0
B,17200,725766,0
B,118569,501498,0
B,3069,977471,0
B,28119,949352,0
B,2130,980540,0
B,57572,891780,0
B,8836,1018635,0
B,35965,982670,0
B,15946,1027471,0
B,148814,742966,0
B,3399,1509266,0
B,19761,1489505,0
B,1778,1512665,0
B,61070,1428435,0
B,2479,1535367,0
B,20924,1514443,0
B,2910,1537846,0
I,385018,1043417,1
B,1837,1808755,0
B,22575,1786180,0
B,1855,1810592,0
B,67958,1718222,0
B,7767,1841250,0
B,28803,1812447,0
B,14322,1849017,0
B,177466,1540756,0
B,3091,2168478,0
B,25468,2143010,0
B,2030,2171569,0
B,79967,2063043,0
B,6824,2204492,0
B,30893,2173599,0
B,11999,2211316,0
B,199704,1863339,0
B,2667,2547676,0
B,28856,2518820,0
B,2084,2550343,0
B,84552,2434268,0
B,6484,2586192,0
B,33765,2552427,0
B,11208,2592676,0
B,210953,2223315,0
B,2769,3104004,0
B,28619,3075385,0
B,2083,3106773,0
B,82855,2992530,0
B,1815,3137435,0
B,28579,3108856,0
B,1733,3139250,0
I,388646,2603884,1
B,2412,3470684,0
B,31648,3439036,0
B,2379,3473096,0
B,77790,3361246,0
B,5696,3510446,0
B,34971,3475475,0
B,9095,3516142,0
B,220263,3140983,0
B,2472,3862187,0
B,35793,3826394,0
B,2422,3864659,0
B,81815,3744579,0
B,5457,3906014,0
B,38933,3867081,0
B,8594,3911471,0
B,219342,3525237,0
B,2617,4259632,0
B,38329,4221303,0
B,2658,4262249,0
B,86088,4135215,0
B,5535,4306116,0
B,41209,4264907,0
B,8559,4311651,0
B,215150,3920065,0
B,2628,4830960,0
B,38352,4792608,0
B,2662,4833588,0
B,86088,4706520,0
B,2517,4874687,0
B,38437,4836250,0
B,2434,4877204,0
I,386310,4320210,1
B,3142,5219980,0
B,37017,5182963,0
B,3113,5223122,0
B,79320,5103643,0
B,4710,5264592,0
B,38357,5226235,0
B,6396,5269302,0
B,224005,4879638,0
B,3114,5631555,0
B,38231,5593324,0
B,3063,5634669,0
B,83200,5510124,0
B,3982,5677149,0
B,39417,5637732,0
B,5030,5681131,0
B,234426,5275698,0
B,3345,6045841,0
B,39303,6006538,0
B,3315,6049186,0
B,85131,5921407,0
B,4019,6092584,0
B,40083,6052501,0
B,4833,6096603,0
