pict_type,pkt_size,pkt_pos,key_frame
I,421217,132660,1
I,399,557981,1
B,73,558572,0
B,73,558657,0
B,74,558486,0
B,72,558742,0
P,86,558380,0
B,74,559014,0
B,74,559100,0
B,76,558926,0
B,73,559186,0
P,88,558826,0
B,74,559460,0
B,74,559546,0
B,76,559372,0
B,74,559632,0
P,89,559271,0
B,74,559907,0
B,74,559993,0
B,76,559819,0
B,74,560079,0
P,89,559718,0
B,74,560354,0
B,74,560440,0
B,76,560266,0
B,74,560520,0
P,89,560165,0
B,9785,603456,0
B,8652,594494,0
B,3031,613627,0
P,33723,560615,0
B,3204,674097,0
B,2824,670611,0
B,1965,677995,0
P,52902,617157,0
B,1888,737167,0
B,2022,734234,0
B,1300,740030,0
P,52651,680732,0
B,1051,780552,0
P,37482,742191,0
B,1586,853743,0
B,1083,851795,0
B,1096,856196,0
P,68400,782551,0
B,910,909753,0
B,1952,906886,0
B,891,911076,0
P,47925,858156,0
B,941,1021883,0
B,1977,1018914,0
B,864,1023856,0
P,105104,912833,0
B,1435,1195148,0
B,1545,1197773,0
B,5047,1188996,0
B,2697,1200498,0
P,162132,1025795,0
B,1133,1265162,0
B,1206,1267163,0
B,10301,1253736,0
B,2034,1269229,0
P,48119,1204367,0
B,1157,1322359,0
B,1073,1324349,0
B,6132,1315365,0
B,1359,1326302,0
P,42422,1272098,0
P,137991,1328521,0
B,1209,1502459,0
B,4181,1497448,0
B,879,1504581,0
P,29666,1467362,0
B,1307,1605936,0
B,873,1608131,0
B,1200,1603864,0
B,1185,1609869,0
P,96765,1506254,0
B,1509,1739389,0
B,6059,1732480,0
B,1310,1741757,0
P,119731,1611889,0
B,1310,1780478,0
B,1650,1782635,0
B,5893,1773740,0
B,1213,1785151,0
P,28942,1743897,0
P,129213,1787230,0
B,1464,1959106,0
B,1425,1961408,0
B,5272,1952933,0
B,1149,1963710,0
P,34838,1917255,0
B,1163,2095112,0
P,129012,1965283,0
B,1188,2143885,0
B,1454,2145916,0
B,7377,2135620,0
B,1215,2148240,0
P,37625,2097149,0
B,1121,2254743,0
B,1134,2256719,0
B,5505,2248310,0
B,1473,2258698,0
P,97199,2150267,0
B,1260,2363789,0
B,1385,2365867,0
B,5589,2357299,0
B,1333,2368123,0
P,95488,2261015,0
B,1332,2473495,0
B,1533,2475684,0
B,5549,2467053,0
B,1435,2478035,0
P,95893,2370316,0
B,1333,2580097,0
P,99342,2479922,0
B,1224,2689540,0
B,1227,2691603,0
B,4914,2683728,0
B,1146,2693701,0
P,100587,2582284,0
B,1109,2835353,0
B,5621,2828826,0
B,1293,2837275,0
P,132333,2695642,0
B,1456,2894064,0
B,1342,2896375,0
B,5285,2887925,0
B,1204,2898568,0
P,47599,2839437,0
B,1565,2959459,0
B,1483,2961930,0
B,4928,2953694,0
B,1314,2964227,0
P,52204,2900636,0
B,1648,3091405,0
B,1443,3093858,0
B,4520,3086013,0
B,1110,3096165,0
P,119167,2966364,0
B,1429,3126126,0
B,1249,3128367,0
B,5972,3119271,0
B,1295,3130507,0
P,20298,3098144,0
B,1604,3146377,0
B,6963,3138608,0
B,1294,3148839,0
P,5058,3132651,0
P,23574,3150956,0
I,263149,3175437,1
B,2751,3594326,0
B,2322,3597961,0
B,14655,3578880,0
B,2408,3601159,0
P,138571,3439450,0
B,1724,3707774,0
B,1743,3710370,0
B,3150,3704163,0
B,1835,3712928,0
P,98917,3604438,0
B,1897,3827829,0
B,1833,3830608,0
B,12586,3814413,0
B,2129,3833274,0
P,97915,3715629,0
B,1926,3948991,0
B,1932,3951785,0
B,12293,3935860,0
B,2167,3954546,0
P,98703,3836298,0
B,1834,4065690,0
B,2279,4068399,0
B,12142,4052702,0
B,2381,4071498,0
P,94265,3957543,0
B,1730,4178710,0
B,1737,4181288,0
B,11300,4166578,0
B,2264,4183895,0
P,90964,4074754,0
B,1823,4286148,0
B,1908,4288843,0
B,12385,4272930,0
B,2697,4291640,0
P,85493,4186573,0
B,1696,4367967,0
B,1908,4370498,0
B,12436,4354649,0
B,3074,4373300,0
P,58630,4295180,0
B,1881,4432316,0
B,17319,4414108,0
P,36099,4377178,0
B,69808,4657464,0
B,94156,4562457,0
P,126526,4435036,0
B,51496,4927949,0
B,52472,4980285,0
B,77225,4849882,0
B,51307,5033630,0
P,120903,4728099,0
B,46962,5258393,0
B,44749,5306216,0
B,65365,5192156,0
B,39894,5351835,0
P,105963,5085801,0
B,36504,5548937,0
B,35182,5586326,0
B,55051,5493056,0
B,33397,5622335,0
P,99640,5392573,0
B,30717,5799187,0
B,29779,5830739,0
B,47420,5750901,0
B,27850,5861390,0
P,93429,5656611,0
B,27283,6021660,0
B,27145,6049845,0
B,42851,5977983,0
B,25950,6077823,0
P,87029,5890074,0
B,24214,6227660,0
B,22775,6252325,0
B,38103,6188713,0
B,21946,6275969,0
P,83246,6104601,0
B,20932,6421626,0
B,21302,6443401,0
B,37382,6383393,0
B,21018,6465576,0
P,83775,6298750,0
B,21151,6610494,0
B,20311,6632499,0
B,35856,6573723,0
B,20517,6653682,0
P,85484,6487380,0
B,23090,6811160,0
B,23950,6835117,0
B,40543,6769742,0
B,25731,6859945,0
P,93877,6674993,0
B,28226,7037035,0
B,29828,7066109,0
B,50458,6985709,0
B,28977,7096818,0
P,98324,6886542,0
B,32913,7286247,0
B,33386,7320010,0
B,54837,7230504,0
B,33601,7354218,0
P,103498,7126218,0
B,34137,7548982,0
B,34192,7583958,0
B,55521,7492607,0
B,33150,7618959,0
P,103056,7388714,0
B,34849,7820463,0
B,35172,7856215,0
B,56516,7763070,0
B,35920,7892225,0
P,109228,7652985,0
B,38383,8102296,0
B,40678,8141491,0
B,61668,8039812,0
B,38433,8183092,0
P,109948,7928931,0
B,38820,8353950,0
B,84101,8268963,0
B,50969,8393201,0
P,45742,8222375,0
B,3649,8489512,0
B,8963,8479674,0
B,4224,8494034,0
P,33842,8444969,0
B,3842,8545656,0
B,9354,8535530,0
B,3725,8550426,0
P,35537,8499138,0
B,3561,8595450,0
B,7383,8587163,0
B,3119,8599898,0
P,31349,8554988,0
B,2947,8640519,0
B,6675,8633036,0
B,2954,8644273,0
P,28309,8603883,0
B,2695,8687272,0
B,7043,8679373,0
B,3225,8690816,0
P,30339,8648148,0
B,3089,8730293,0
B,6859,8722567,0
B,2891,8734201,0
P,27259,8694914,0
B,3083,8769699,0
B,7893,8760931,0
B,2734,8773599,0
P,22073,8737959,0
B,3453,8780027,0
B,419,8778708,0
P,705,8777200,0
B,8481,8813285,0
P,28134,8784334,0
B,5317,8882723,0
B,13465,8868479,0
B,3086,8888931,0
P,44950,8822655,0
B,3422,8957096,0
B,12129,8944102,0
B,4202,8961304,0
P,50355,8892840,0
B,4375,9045980,0
B,22693,9022877,0
P,55585,8966427,0
P,47353,9051189,0
P,41516,9099459,0
P,46383,9141811,0
B,6702,9280380,0
P,90474,9189020,0
B,7350,9364981,0
B,7382,9373221,0
B,11853,9352300,0
B,6292,9381449,0
P,63512,9287949,0
B,6334,9447783,0
B,13873,9433122,0
B,6195,9455000,0
P,43640,9388566,0
B,5929,9500086,0
B,12071,9487150,0
P,24225,9462088,0
B,5499,9615971,0
B,16734,9598329,0
B,2150,9622303,0
P,90636,9506840,0
B,2061,9688202,0
B,4632,9682742,0
P,57013,9624893,0
B,1950,9769281,0
B,7557,9760867,0
B,1833,9772147,0
P,68893,9691150,0
B,1862,9852176,0
B,7297,9844011,0
B,2056,9854960,0
P,68395,9774787,0
B,2087,9941076,0
B,7614,9932632,0
B,2179,9943987,0
P,73950,9857816,0
B,2237,9997967,0
B,4876,9992196,0
P,44266,9947105,0
B,2060,10050508,0
P,48587,10001016,0
B,2209,10136920,0
B,8309,10127697,0
B,2183,10139561,0
P,73506,10053416,0
B,1900,10227768,0
B,8356,10218549,0
B,2282,10230523,0
P,75104,10142612,0
B,1897,10300640,0
B,8170,10291644,0
B,2106,10303356,0
P,57106,10233682,0
B,2005,10339712,0
B,27897,10310932,0
B,6032,10342540,0
P,3740,10306357,0
B,490,10352181,0
B,506,10350867,0
P,544,10349436,0
B,8799,10398377,0
B,8869,10388634,0
B,2517,10408030,0
P,34226,10353500,0
B,1701,10462429,0
B,1091,10460900,0
B,755,10464992,0
P,48663,10411406,0
B,633,10514485,0
B,820,10512772,0
B,490,10515990,0
P,45372,10466546,0
B,508,10655534,0
B,987,10653713,0
B,626,10656871,0
I,135522,10517286,1
B,577,10719036,0
B,1552,10716633,0
B,653,10720491,0
P,57364,10658382,0
B,577,10799159,0
B,2142,10796168,0
B,683,10800572,0
P,73355,10721951,0
B,728,10891714,0
B,3294,10887545,0
B,771,10893306,0
P,84600,10802087,0
B,1231,10989069,0
B,2652,10991174,0
B,6318,10981972,0
B,1165,10994721,0
P,86584,10894509,0
B,1479,11042710,0
B,1529,11045085,0
B,3806,11038103,0
B,1110,11047454,0
P,40480,10996756,0
B,1110,11064952,0
P,14617,11049449,0
I,195708,11066875,1
B,2485,11342970,0
B,2362,11346327,0
B,3544,11338578,0
B,1269,11349491,0
P,74278,11263439,0
B,1928,11424052,0
B,2007,11426831,0
B,4320,11418856,0
B,1501,11429246,0
