pict_type,pkt_size,pkt_pos,key_frame
I,458920,40,1
B,104,512349,0
B,435,511914,0
B,92,512453,0
B,1144,510770,0
B,195,513341,0
B,796,512545,0
B,346,513536,0
B,51810,458960,0
B,849,663861,0
B,7140,656721,0
B,8245,664710,0
B,4180,652541,0
B,16363,711083,0
B,38128,672955,0
B,24962,727446,0
B,138659,513882,0
B,1743,1154374,0
B,14098,1140276,0
B,1438,1156117,0
B,47901,1092375,0
B,2025,1172152,0
B,14597,1157555,0
B,2523,1174177,0
B,339967,752408,0
B,1097,1704681,0
B,11709,1692972,0
B,994,1705778,0
B,56768,1636204,0
B,939,1718779,0
B,12007,1706772,0
B,866,1719718,0
I,459504,1176700,1
B,1385,2113792,0
B,9993,2103799,0
B,1343,2115177,0
B,46565,2057234,0
B,1438,2125982,0
B,9462,2116520,0
B,1597,2127420,0
B,336650,1720584,0
B,1200,2519790,0
B,11975,2507815,0
B,1145,2520990,0
B,44869,2462946,0
B,1161,2534091,0
B,11956,2522135,0
B,1559,2535252,0
B,333929,2129017,0
B,1344,2925354,0
B,11575,2913779,0
B,1319,2926698,0
B,41526,2872253,0
B,1281,2939549,0
B,11532,2928017,0
B,1355,2940830,0
B,335442,2536811,0
B,1008,3453920,0
B,12643,3441277,0
B,976,3454928,0
B,40573,3400704,0
B,939,3468732,0
B,12828,3455904,0
B,1171,3469671,0
I,458519,2942185,1
B,1206,3841237,0
B,12247,3828990,0
B,1014,3842443,0
B,34499,3794491,0
B,1367,3855197,0
B,11740,3843457,0
B,1158,3856564,0
B,323649,3470842,0
B,1190,4226727,0
B,13428,4213299,0
B,1177,4227917,0
B,34301,4178998,0
B,1084,4242458,0
B,13364,4229094,0
B,1544,4243542,0
B,321276,3857722,0
B,1154,4621972,0
B,13940,4608032,0
B,987,4623126,0
B,35143,4572889,0
B,1021,4637948,0
B,13835,4624113,0
B,1189,4638969,0
B,327803,4245086,0
B,1184,5146930,0
B,14526,5132404,0
B,1090,5148114,0
B,34991,5097413,0
B,1265,5163663,0
B,14459,5149204,0
B,1277,5164928,0
I,457255,4640158,1
B,1180,5524602,0
B,13769,5510833,0
B,996,5525782,0
B,31199,5479634,0
B,1166,5539857,0
B,13079,5526778,0
B,1117,5541023,0
B,313429,5166205,0
B,1229,5903534,0
B,14899,5888635,0
B,1261,5904763,0
B,33288,5855347,0
B,1318,5920939,0
B,14915,5906024,0
B,1428,5922257,0
B,313207,5542140,0
B,1234,6291103,0
B,14833,6276270,0
B,1220,6292337,0
B,34142,6242128,0
B,1178,6308313,0
B,14756,6293557,0
B,1383,6309491,0
B,318443,5923685,0
B,1034,6818370,0
B,15186,6803184,0
B,982,6819404,0
B,34984,6768200,0
B,1098,6835450,0
B,15064,6820386,0
B,1213,6836548,0
I,457326,6310874,1
B,961,7189520,0
B,14228,7175292,0
B,1044,7190481,0
B,31406,7143886,0
B,1149,7205151,0
B,13626,7191525,0
B,1209,7206300,0
B,306125,6837761,0
B,1058,7563684,0
B,15569,7548115,0
B,1321,7564742,0
B,33833,7514282,0
B,1082,7581519,0
B,15456,7566063,0
B,1416,7582601,0
B,306773,7207509,0
B,1059,7947752,0
B,15120,7932632,0
B,995,7948811,0
B,35065,7897567,0
B,1068,7964824,0
B,15018,7949806,0
B,1197,7965892,0
B,313550,7584017,0
B,1130,8475383,0
B,15501,8459882,0
B,1071,8476513,0
B,35900,8423982,0
B,1155,8492973,0
B,15389,8477584,0
B,1280,8494128,0
I,456893,7967089,1
B,1191,8843135,0
B,14577,8828558,0
B,1073,8844326,0
B,32366,8796192,0
B,1156,8859168,0
B,13769,8845399,0
B,1207,8860324,0
B,300784,8495408,0
B,1150,9214665,0
B,15909,9198756,0
B,1228,9215815,0
B,34926,9163830,0
B,1234,9232878,0
B,15835,9217043,0
B,1264,9234112,0
B,302299,8861531,0
B,1043,9595801,0
B,15931,9579870,0
B,1007,9596844,0
B,36044,9543826,0
B,1090,9613702,0
B,15851,9597851,0
B,1228,9614792,0
B,308450,9235376,0
B,1247,10126240,0
B,16409,10109831,0
B,1247,10127487,0
B,36876,10072955,0
B,1349,10145053,0
B,16319,10128734,0
B,1204,10146402,0
I,456935,9616020,1
B,1318,10492045,0
B,15394,10476651,0
B,1066,10493363,0
B,33404,10443247,0
B,1125,10509110,0
B,14681,10494429,0
B,1311,10510235,0
B,295641,10147606,0
B,1120,10861773,0
B,16920,10844853,0
B,1109,10862893,0
B,36017,10808836,0
B,1299,10880585,0
B,16583,10864002,0
B,1253,10881884,0
B,297290,10511546,0
B,1124,11241351,0
B,16489,11224862,0
B,985,11242475,0
B,37137,11187725,0
B,1068,11259720,0
B,16260,11243460,0
B,1416,11260788,0
B,304588,10883137,0
B,1340,11773525,0
B,16839,11756686,0
B,1478,11774865,0
B,37934,11718752,0
B,1291,11793084,0
B,16741,11776343,0
B,1568,11794375,0
I,456548,11262204,1
B,1161,12138425,0
B,15481,12122944,0
B,917,12139586,0
B,34515,12088429,0
B,1288,12155320,0
B,14817,12140503,0
B,1219,12156608,0
B,292486,11795943,0
B,1280,12505817,0
B,17262,12488555,0
B,1282,12507097,0
B,36928,12451627,0
