pict_type,pkt_size,pkt_pos,key_frame
I,549977,40,1
B,717,640619,0
B,4323,636296,0
B,1692,641336,0
B,12371,623925,0
B,3718,653152,0
B,10124,643028,0
B,9432,656870,0
B,73908,550017,0
B,4548,837010,0
B,19066,817944,0
B,3847,841558,0
B,28257,789687,0
B,9518,879320,0
B,33915,845405,0
B,16684,888838,0
B,123385,666302,0
B,8220,1149701,0
B,26208,1123493,0
B,5934,1157921,0
B,48828,1074665,0
B,8246,1195093,0
B,31238,1163855,0
B,12224,1203339,0
B,169143,905522,0
B,6718,1805572,0
B,23659,1781913,0
B,6113,1812290,0
B,52054,1729859,0
B,6022,1842711,0
B,24308,1818403,0
B,6392,1848733,0
I,514296,1215563,1
B,7587,2107947,0
B,23871,2084076,0
B,7750,2115534,0
B,49302,2034774,0
B,9381,2148563,0
B,25279,2123284,0
B,13121,2157944,0
B,179649,1855125,0
B,7252,2437187,0
B,27297,2409890,0
B,6264,2444439,0
B,54276,2355614,0
B,7580,2480974,0
B,30271,2450703,0
B,10883,2488554,0
B,184549,2171065,0
B,6761,2783212,0
B,32756,2750456,0
B,6807,2789973,0
B,54004,2696452,0
B,9124,2833445,0
B,36665,2796780,0
B,11939,2842569,0
B,197015,2499437,0
B,6237,3434989,0
B,26500,3408489,0
B,5705,3441226,0
B,60774,3347715,0
B,5182,3473386,0
B,26455,3446931,0
B,5256,3478568,0
I,493207,2854508,1
B,8576,3771274,0
B,24245,3747029,0
B,8594,3779850,0
B,47879,3699150,0
B,9623,3813374,0
B,24930,3788444,0
B,11148,3822997,0
B,215326,3483824,0
B,8324,4121814,0
B,28868,4092946,0
B,8395,4130138,0
B,53125,4039821,0
B,9693,4168771,0
B,30238,4138533,0
B,11516,4178464,0
B,205676,3834145,0
B,10377,4490964,0
B,31080,4459884,0
B,10425,4501341,0
B,55100,4404784,0
B,11208,4543663,0
B,31897,4511766,0
B,12410,4554871,0
B,214804,4189980,0
B,10000,5136714,0
B,33181,5103533,0
B,9953,5146714,0
B,58581,5044952,0
B,10008,5190602,0
B,33935,5156667,0
B,10109,5200610,0
I,477671,4567281,1
B,9639,5504284,0
B,27362,5476922,0
B,9534,5513923,0
B,50367,5426555,0
B,9598,5550553,0
B,27096,5523457,0
B,9680,5560151,0
B,215836,5210719,0
B,12879,5845104,0
B,30661,5814443,0
B,12944,5857983,0
B,51296,5763147,0
B,13373,5901781,0
B,30854,5870927,0
B,14049,5915154,0
B,193316,5569831,0
B,11230,6212990,0
B,35644,6177346,0
B,10891,6224220,0
B,54653,6122693,0
B,11453,6271409,0
B,36298,6235111,0
B,12218,6282862,0
B,193490,5929203,0
B,12406,6838975,0
B,37808,6801167,0
B,12403,6851381,0
B,56104,6745063,0
B,12452,6901873,0
B,38089,6863784,0
B,12635,6914325,0
I,449983,6295080,1
B,9663,7192696,0
B,30408,7162288,0
B,9570,7202359,0
B,52851,7109437,0
B,9931,7242411,0
B,30482,7211929,0
B,10414,7252342,0
B,182477,6926960,0
B,10328,7532962,0
B,33849,7499113,0
B,10373,7543290,0
B,53961,7445152,0
B,10837,7588492,0
B,34829,7553663,0
B,11500,7599329,0
B,182396,7262756,0
B,12369,7888145,0
B,35197,7852948,0
B,12406,7900514,0
B,57883,7795065,0
B,12706,7948443,0
B,35523,7912920,0
B,13278,7961149,0
B,184236,7610829,0
B,13091,8500222,0
B,38604,8461618,0
B,13013,8513313,0
B,61516,8400102,0
B,12891,8564979,0
B,38653,8526326,0
B,12748,8577870,0
I,425675,7974427,1
B,13619,8841629,0
B,34845,8806784,0
B,13520,8855248,0
B,51351,8755433,0
B,13550,8903492,0
B,34724,8868768,0
B,13595,8917042,0
B,164815,8590618,0
B,11609,9195954,0
B,36512,9159442,0
B,11632,9207563,0
B,55510,9103932,0
B,11802,9256007,0
B,36812,9219195,0
B,12024,9267809,0
B,173295,8930637,0
B,13272,9552490,0
B,38345,9514145,0
B,13294,9565762,0
B,58798,9455347,0
B,13381,9617629,0
B,38573,9579056,0
B,13647,9631010,0
B,175514,9279833,0
B,13368,10125683,0
B,38451,10087232,0
B,13356,10139051,0
B,63000,10024232,0
B,13447,10191130,0
B,38723,10152407,0
B,13366,10204577,0
I,379575,9644657,1
B,14465,10470150,0
B,37223,10432927,0
B,14361,10484615,0
B,57329,10375598,0
B,14099,10535861,0
B,36885,10498976,0
B,13920,10549960,0
B,157655,10217943,0
B,14651,10823506,0
B,39683,10783823,0
B,14712,10838157,0
B,57511,10726312,0
B,14658,10892464,0
