pict_type,pkt_size,pkt_pos,key_frame
I,82649,44,1
B,101,100325,0
B,101,100444,0
B,123,100178,0
B,98,100563,0
P,17465,82693,0
B,105,101007,0
B,105,101118,0
B,117,100878,0
B,107,101235,0
P,187,100679,0
B,124,101666,0
B,124,101796,0
B,128,101526,0
B,124,101932,0
P,160,101354,0
B,128,102388,0
B,128,102522,0
B,136,102240,0
B,131,102662,0
P,160,102068,0
B,128,103125,0
B,128,103259,0
B,136,102977,0
B,131,103399,0
P,160,102805,0
B,128,103862,0
B,128,103996,0
B,136,103714,0
B,131,104136,0
P,160,103542,0
B,128,104599,0
B,128,104733,0
B,136,104451,0
B,131,104873,0
P,160,104279,0
B,128,105336,0
B,128,105470,0
B,136,105188,0
B,131,105610,0
P,160,105016,0
B,128,106073,0
B,128,106207,0
B,136,105925,0
B,131,106347,0
P,160,105753,0
B,128,106810,0
B,128,106944,0
B,136,106662,0
B,131,107084,0
P,160,106490,0
B,128,107541,0
B,128,107681,0
B,136,107399,0
B,131,107821,0
P,160,107227,0
B,128,108278,0
B,128,108418,0
B,136,108136,0
B,131,108558,0
P,160,107964,0
B,128,109015,0
B,128,109155,0
B,136,108873,0
B,131,109295,0
P,160,108701,0
B,128,109752,0
B,128,109892,0
B,136,109610,0
B,131,110032,0
P,160,109438,0
B,128,110489,0
B,128,110629,0
B,136,110347,0
B,131,110769,0
P,160,110175,0
B,128,111226,0
B,128,111366,0
B,136,111084,0
B,131,111506,0
P,160,110912,0
B,128,111963,0
B,128,112103,0
B,136,111821,0
B,131,112243,0
P,160,111649,0
B,128,112700,0
B,128,112840,0
B,136,112558,0
B,131,112980,0
P,160,112386,0
B,128,113437,0
B,128,113577,0
B,136,113295,0
B,131,113717,0
P,160,113123,0
B,128,114174,0
B,128,114314,0
B,136,114032,0
B,131,114454,0
P,160,113860,0
B,128,114911,0
B,128,115051,0
B,136,114769,0
B,131,115191,0
P,160,114597,0
B,128,115633,0
B,128,115773,0
B,136,115485,0
B,130,115913,0
P,145,115334,0
I,476,116055,1
B,79,116739,0
B,79,116830,0
B,83,116644,0
B,78,116921,0
P,95,116537,0
B,80,117211,0
B,80,117303,0
B,85,117114,0
B,80,117395,0
P,97,117005,0
B,81,117690,0
B,81,117783,0
B,85,117591,0
B,80,117878,0
P,98,117481,0
B,81,118173,0
B,81,118266,0
B,85,118074,0
B,80,118359,0
P,98,117964,0
B,81,118654,0
B,81,118747,0
B,85,118557,0
B,80,118840,0
P,98,118447,0
B,81,119133,0
B,81,119226,0
B,85,119036,0
B,80,119335,0
P,98,118926,0
B,81,119628,0
B,81,119721,0
B,85,119531,0
B,80,119814,0
P,98,119421,0
B,88,126293,0
B,88,127686,0
B,805,125338,0
B,2283,128721,0
P,5426,119900,0
B,3718,158124,0
B,8872,148024,0
B,5493,163039,0
P,15071,131463,0
B,6688,212866,0
B,16443,195253,0
B,8615,220761,0
P,24791,169726,0
B,8567,292166,0
B,26088,264889,0
B,9583,302267,0
P,33910,230549,0
B,8528,381343,0
B,26410,354436,0
B,9642,390781,0
P,40681,312828,0
B,10870,486414,0
B,35741,449739,0
B,13625,497769,0
P,47451,401342,0
B,12293,601402,0
B,33726,566707,0
B,8549,614546,0
P,53468,512273,0
B,8317,712781,0
B,30884,680950,0
B,7929,722011,0
P,56423,623589,0
B,9397,822017,0
B,32485,788621,0
B,9510,832369,0
P,57270,730844,0
B,10858,942335,0
B,37048,904824,0
B,11755,954131,0
P,61099,842818,0
B,12975,1077695,0
B,38838,1037943,0
B,18895,1091100,0
P,70181,966801,0
B,12161,1230436,0
B,40443,1189081,0
B,11469,1243526,0
P,77183,1110975,0
B,10358,1328332,0
P,71977,1255469,0
B,11618,1477019,0
B,41011,1435096,0
B,41763,1489116,0
P,94488,1339672,0
B,11668,1670599,0
B,44631,1625017,0
B,13238,1683193,0
P,92287,1531790,0
B,13443,1829890,0
B,51720,1777295,0
B,14164,1844296,0
P,79461,1696919,0
P,98223,1859365,0
B,22558,2106492,0
B,32272,2073318,0
P,114313,1958095,0
B,17981,2320162,0
B,65110,2254148,0
B,17810,2339066,0
P,123645,2130019,0
B,19442,2560284,0
B,75648,2484210,0
B,56023,2580696,0
P,125445,2357834,0
B,21278,2842662,0
B,77283,2764459,0
B,19141,2864407,0
P,125892,2637631,0
B,18566,3081918,0
B,72494,3008507,0
B,18595,3101435,0
P,123096,2884453,0
B,29131,3334534,0
B,83272,3250324,0
B,17320,3364565,0
P,128926,3120503,0
B,20582,3609362,0
B,83476,3525018,0
B,29679,3630923,0
P,141703,3382879,0
B,13247,3853083,0
B,65039,3787598,0
B,14688,3867216,0
P,125093,3661541,0
B,15603,4068203,0
B,61214,4006057,0
B,16101,4084321,0
P,122256,3882907,0
B,14680,4287614,0
B,63755,4222941,0
B,16220,4303228,0
P,120697,4101306,0
B,17578,4525512,0
B,73944,4450651,0
B,15480,4544094,0
P,129791,4319944,0
B,17012,4765212,0
B,71077,4693165,0
B,16128,4783142,0
P,132278,4560389,0
B,16041,5008537,0
B,76041,4932026,0
B,16872,5025511,0
P,130924,4800193,0
B,17076,5249042,0
B,77652,5170439,0
B,17807,5266577,0
P,126245,5043297,0
B,19186,5499351,0
B,92991,5405407,0
B,27250,5519033,0
P,119144,5285366,0
B,27737,5776188,0
B,98182,5677043,0
B,21659,5804818,0
P,128920,5547164,0
B,19262,6031764,0
B,77127,5953709,0
B,17259,6051950,0
P,125818,5826990,0
B,22391,6286167,0
B,91021,6194260,0
B,21462,6309501,0
P,123636,6070125,0
B,17239,6440244,0
P,107470,6331895,0
B,17978,6655211,0
B,74104,6580192,0
B,20711,6674149,0
P,121250,6458004,0
B,18313,6895458,0
B,78028,6816542,0
B,28389,6914740,0
P,120283,6695783,0
B,21745,7123112,0
B,74225,7048419,0
B,22245,7145762,0
P,103462,6944046,0
B,27363,7330225,0
B,73127,7256166,0
P,86269,7168983,0
B,48494,7500619,0
B,54833,7444840,0
P,85857,7358070,0
B,31329,7698530,0
B,73012,7625024,0
B,28901,7730768,0
P,74098,7550024,0
B,27236,7885819,0
B,62113,7822759,0
B,27518,7913508,0
P,61225,7760630,0
B,22348,8041946,0
B,54417,7986613,0
B,26725,8065222,0
P,43707,7941982,0
B,18945,8144107,0
B,27186,8115997,0
B,12144,8164000,0
P,22640,8092429,0
B,7391,8186498,0
B,7154,8178360,0
B,523,8194803,0
P,871,8176607,0
B,347,8208562,0
B,391,8207294,0
B,1806,8209884,0
P,10566,8196255,0
B,13925,8267249,0
B,20917,8245858,0
B,19532,8282096,0
P,32328,8212639,0
B,20252,8391035,0
B,39045,8351064,0
B,18851,8411754,0
P,47559,8302557,0
B,18395,8539210,0
B,46337,8491962,0
B,20775,8558560,0
P,59490,8431543,0
B,20356,8702135,0
B,51925,8649217,0
B,20693,8723382,0
P,68551,8579793,0
B,21094,8887355,0
B,57080,8829331,0
B,21751,8909364,0
P,83854,8745008,0
B,24301,9094929,0
B,65611,9028837,0
B,22077,9120161,0
P,95843,8932074,0
I,133785,9143127,1
B,31472,9424426,0
B,42544,9381398,0
P,102612,9277831,0
B,24308,9688916,0
B,94064,9593905,0
B,39089,9714072,0
P,136155,9456811,0
B,26481,9991573,0
B,96309,9894332,0
B,26086,10019015,0
P,139728,9753605,0
B,23678,10273349,0
B,95873,10176636,0
B,22234,10298037,0
P,130149,10046033,0
B,22040,10439894,0
P,117671,10321252,0
B,23279,10684539,0
B,81295,10602392,0
B,22807,10708735,0
P,139079,10462399,0
B,24265,10975182,0
B,89945,10884356,0
B,27166,11000464,0
P,151366,10732035,0
B,28395,11283624,0
B,96483,11186156,0
B,32722,11312960,0
P,157207,11028522,0
B,37225,11610993,0
B,112774,11497718,0
B,40400,11649095,0
P,150189,11346626,0
B,43435,11949543,0
B,112734,11835851,0
B,40416,11993398,0
P,144470,11690417,0
B,41138,12171805,0
P,136140,12034724,0
B,43973,12458528,0
B,106179,12351909,0
B,43323,12503474,0
P,137101,12213899,0
B,41392,12778051,0
B,98420,12678749,0
B,40007,12819919,0
P,130099,12547677,0
B,39995,12979768,0
P,117995,12860873,0
B,40019,13244207,0
B,95457,13148277,0
B,43019,13285133,0
P,126657,13020707,0
B,40296,13537429,0
B,89826,13446685,0
B,38308,13578216,0
P,116659,13329101,0
B,40025,13785660,0
B,69458,13715268,0
P,96855,13617462,0
B,50723,13987417,0
B,53848,13932547,0
P,105549,13826633,0
B,35594,14133351,0
P,93361,14039099,0
B,39102,14361738,0
B,82316,14278513,0
B,35362,14401796,0
P,108166,14169833,0
B,34692,14532238,0
P,93234,14438026,0
B,33210,14742242,0
B,68240,14673047,0
B,34122,14776354,0
P,104729,14567403,0
B,31756,14907523,0
P,95631,14810980,0
B,30083,15123712,0
B,65793,15057010,0
B,27293,15154261,0
P,115862,14940216,0
B,25600,15364770,0
B,61397,15302393,0
B,26471,15391322,0
P,118992,15182473,0
B,22831,15593566,0
B,54891,15537765,0
B,20484,15617292,0
P,118606,15418219,0
B,19400,15846972,0
B,66656,15779397,0
B,20003,15867289,0
P,140170,15638765,0
