pict_type,pkt_size,pkt_pos,key_frame
I,451494,124137,1
I,90174,579735,1
B,88,670363,0
B,87,670469,0
B,95,670244,0
B,91,670574,0
P,315,669909,0
B,93,670955,0
B,93,671054,0
B,110,670833,0
B,101,671159,0
P,138,670683,0
B,93,671545,0
B,93,671644,0
B,110,671423,0
B,102,671749,0
P,139,671272,0
B,93,672136,0
B,93,672235,0
B,110,672014,0
B,102,672340,0
P,139,671863,0
B,93,672727,0
B,93,672826,0
B,110,672605,0
B,102,672931,0
P,139,672454,0
B,93,673318,0
B,93,673417,0
B,110,673196,0
B,102,673522,0
P,139,673045,0
B,93,673909,0
B,93,674008,0
B,110,673787,0
B,102,674113,0
P,139,673636,0
B,93,674500,0
B,93,674599,0
B,110,674378,0
B,102,674704,0
P,139,674227,0
B,93,675091,0
B,93,675190,0
B,110,674969,0
B,102,675295,0
P,139,674818,0
B,93,675682,0
B,93,675781,0
B,110,675560,0
B,102,675886,0
P,139,675409,0
B,93,676267,0
B,93,676372,0
B,110,676151,0
B,102,676477,0
P,139,676000,0
B,93,676858,0
B,93,676963,0
B,110,676742,0
B,102,677068,0
P,139,676591,0
B,93,677449,0
B,93,677554,0
B,110,677333,0
B,102,677659,0
P,139,677182,0
B,93,678040,0
B,93,678145,0
B,110,677924,0
B,102,678250,0
P,139,677773,0
B,93,678631,0
B,93,678736,0
B,110,678515,0
B,102,678841,0
P,139,678364,0
B,93,679222,0
B,93,679327,0
B,110,679106,0
B,102,679432,0
P,139,678955,0
B,93,679813,0
B,93,679918,0
B,110,679697,0
B,102,680023,0
P,139,679546,0
B,93,680404,0
B,93,680509,0
B,110,680288,0
B,102,680614,0
P,139,680137,0
B,93,680995,0
B,93,681100,0
B,110,680879,0
B,102,681205,0
P,139,680728,0
B,172,681545,0
P,214,681319,0
I,476,681723,1
B,79,682413,0
B,79,682504,0
B,83,682318,0
B,78,682589,0
P,95,682211,0
B,80,682885,0
B,80,682971,0
B,85,682788,0
B,80,683063,0
P,97,682679,0
B,81,683362,0
B,81,683449,0
B,85,683265,0
B,80,683542,0
P,98,683155,0
B,81,683841,0
B,81,683928,0
B,85,683744,0
B,80,684021,0
P,98,683634,0
B,81,684320,0
B,81,684407,0
B,85,684223,0
B,80,684500,0
P,98,684113,0
B,81,684799,0
B,81,684886,0
B,85,684702,0
B,80,684979,0
P,98,684592,0
B,81,685278,0
B,81,685365,0
B,85,685181,0
B,80,685460,0
P,98,685071,0
I,114340,685552,1
B,7116,834472,0
P,32814,800175,0
B,6713,881141,0
P,37279,842330,0
B,6792,975581,0
B,20071,953791,0
B,7062,982912,0
P,62396,889484,0
B,6705,1034315,0
P,42465,990869,0
B,6923,1087643,0
P,44780,1041937,0
B,6696,1142754,0
P,46829,1095009,0
B,6687,1196532,0
P,45210,1150429,0
B,6760,1249694,0
P,45043,1204184,0
B,6687,1303503,0
P,45232,1257374,0
B,7461,1433385,0
B,26864,1406014,0
B,9348,1441760,0
P,93952,1311136,0
B,5882,1489392,0
P,36452,1452006,0
B,6142,1540536,0
P,43864,1495762,0
B,6219,1592583,0
P,44012,1547631,0
B,6331,1646128,0
P,45941,1599741,0
B,5833,1702368,0
P,48056,1653389,0
B,6221,1757473,0
P,47429,1709146,0
B,5396,1812100,0
P,47031,1764187,0
B,5757,1865970,0
P,46571,1818457,0
B,6400,1921392,0
P,48317,1872648,0
B,6139,1977860,0
P,48183,1928787,0
B,7145,2033286,0
P,47417,1984977,0
B,6610,2093018,0
P,51177,2040902,0
B,5807,2153025,0
P,51519,2100565,0
B,6472,2210447,0
P,50267,2159753,0
B,6322,2267580,0
P,48795,2217876,0
B,6603,2325706,0
P,49938,2274797,0
B,6923,2386395,0
P,52657,2332798,0
B,7278,2447372,0
P,52204,2394225,0
B,7109,2508125,0
P,52139,2455582,0
B,8286,2619337,0
B,21749,2596683,0
B,7882,2628552,0
P,79546,2516200,0
B,8138,2691356,0
P,53553,2636891,0
B,9693,2808201,0
B,26756,2780525,0
B,9382,2818356,0
P,79101,2700457,0
B,9588,2935751,0
B,28189,2906650,0
B,9419,2946253,0
P,77040,2828679,0
B,10558,3065457,0
B,29603,3034926,0
B,11266,3076910,0
P,77832,2956170,0
B,11195,3231486,0
B,37109,3193440,0
B,14492,3243606,0
P,103847,3088662,0
B,9561,3366100,0
B,28493,3336680,0
B,10509,3376596,0
P,77176,3259049,0
B,10726,3446394,0
P,57464,3388026,0
B,12409,3573261,0
B,32253,3540068,0
B,12038,3586603,0
P,81551,3457624,0
B,12610,3714403,0
B,33135,3680355,0
B,14592,3727968,0
P,80322,3599565,0
B,18240,3885858,0
B,20729,3905039,0
B,35934,3849462,0
B,18933,3926653,0
P,105034,3743462,0
B,12835,4069386,0
B,35122,4033800,0
B,13078,4083170,0
P,86341,3946567,0
B,13541,4202220,0
B,35671,4165609,0
B,12848,4216213,0
P,67493,4097168,0
B,13599,4273423,0
P,42513,4229957,0
I,476,4287984,1
B,79,4290953,0
B,79,4291936,0
B,83,4289930,0
B,78,4292965,0
P,95,4289343,0
B,80,4295559,0
B,80,4296569,0
B,85,4294531,0
B,80,4297564,0
P,97,4293941,0
B,81,4300158,0
B,81,4301187,0
B,85,4299148,0
B,80,4302179,0
P,98,4298595,0
B,80,4303768,0
P,98,4303213,0
B,7921,4344024,0
B,14749,4328348,0
B,14918,4352411,0
P,22680,4304756,0
P,31056,4368265,0
B,18188,4476477,0
B,36069,4439495,0
B,19549,4495170,0
P,38290,4400272,0
B,17096,4597326,0
B,39654,4556753,0
B,13995,4615316,0
P,40179,4515649,0
B,13756,4712784,0
B,38321,4673502,0
B,10559,4727439,0
P,42788,4629790,0
B,9734,4784901,0
P,45470,4738921,0
B,9653,4892491,0
B,39855,4851710,0
B,7403,4903048,0
P,55210,4795555,0
B,6394,5007224,0
B,33585,4972729,0
B,5664,5014553,0
P,60877,4910905,0
B,4978,5123148,0
B,34847,5087377,0
B,4562,5129052,0
P,65736,5021173,0
B,4796,5250724,0
B,32131,5218101,0
B,4490,5256424,0
P,82645,5134559,0
B,3095,5376098,0
B,30517,5344660,0
B,2451,5379694,0
P,81881,5261859,0
B,2296,5503569,0
B,31035,5471570,0
B,10909,5506801,0
P,87594,5383036,0
B,2406,5660158,0
B,27192,5632010,0
B,3173,5663520,0
P,112965,5518144,0
B,3399,5796851,0
B,11494,5784426,0
B,2097,5801170,0
P,116336,5667600,0
B,1974,5902823,0
B,4634,5897303,0
B,1711,5905715,0
P,92635,5804176,0
B,1796,6008728,0
B,4362,6003884,0
B,1886,6011461,0
P,94576,5908424,0
B,1987,6106158,0
B,4641,6100586,0
B,2030,6108610,0
P,85392,6014272,0
B,2321,6166698,0
P,54194,6111576,0
B,2348,6266090,0
B,5045,6260631,0
B,2073,6269403,0
P,89762,6169956,0
B,2037,6366720,0
B,4446,6361334,0
B,2174,6369206,0
P,87989,6272432,0
B,2148,6480316,0
B,3764,6475652,0
B,1804,6483403,0
P,102386,6372290,0
B,1505,6576028,0
B,3705,6571395,0
B,1805,6578468,0
P,84781,6485621,0
B,1735,6665285,0
B,3358,6660974,0
B,1506,6667946,0
P,79324,6581215,0
B,1632,6728406,0
B,3668,6724296,0
B,1502,6730980,0
P,52974,6670376,0
B,1125,6749089,0
B,4558,6743610,0
B,1248,6750644,0
P,9245,6733432,0
B,19118,6882737,0
B,25625,6856148,0
P,102380,6752860,0
B,11399,7035697,0
B,40786,6993945,0
B,12711,7048027,0
P,90734,6902740,0
B,13661,7196945,0
B,40240,7156210,0
B,11704,7211496,0
P,93657,7061642,0
B,11117,7358302,0
B,37934,7319938,0
B,10035,7370385,0
P,94827,7224204,0
B,10138,7513208,0
B,36631,7475605,0
B,9914,7523746,0
P,93352,7381331,0
B,11588,7668654,0
B,41485,7626237,0
B,14899,7681137,0
P,90654,7534618,0
B,14212,7833538,0
B,40919,7791679,0
B,12855,7848657,0
P,94210,7696544,0
B,12626,8000707,0
B,42499,7957290,0
B,10968,8014292,0
P,94392,7862416,0
B,10426,8157203,0
B,39379,8117343,0
B,10909,8168548,0
P,90228,8026185,0
B,10787,8278163,0
B,35905,8241312,0
P,60020,8180388,0
I,266323,8289440,1
B,4921,8721436,0
B,13223,8707300,0
B,4090,8727293,0
P,149690,8556662,0
B,4242,8897359,0
B,12408,8884026,0
B,3979,8902546,0
P,151248,8731817,0
B,4358,9074808,0
B,13424,9060437,0
B,4049,9080116,0
P,152560,8907454,0
B,4387,9248193,0
B,12052,9235689,0
B,4107,9253490,0
P,149646,9085112,0
B,4083,9423659,0
B,11941,9410817,0
B,3768,9428210,0
P,151361,9258506,0
B,3491,9582195,0
B,11416,9569828,0
B,3617,9586565,0
P,135971,9432946,0
B,4130,9731218,0
B,12377,9717959,0
B,4273,9736276,0
P,126316,9590683,0
B,4925,9848289,0
B,15374,9831911,0
B,4322,9854184,0
P,90013,9741069,0
B,6260,10009859,0
B,59067,9949808,0
B,4606,10017056,0
P,90016,9859384,0
B,5603,10148258,0
B,57350,10090448,0
B,6407,10154808,0
P,66907,10022628,0
B,12427,10272096,0
B,56246,10214936,0
B,16202,10285034,0
P,51868,10162148,0
B,20135,10391942,0
B,46303,10344656,0
B,20017,10412967,0
P,41620,10302170,0
B,20097,10510059,0
B,34001,10475108,0
P,40722,10433470,0
P,53137,10531073,0
I,60093,10585163,1
B,4426,10648663,0
B,568,10654033,0
B,493,10647237,0
B,479,10655510,0
P,584,10645722,0
B,607,10660331,0
B,572,10658842,0
B,570,10661900,0
P,1457,10656427,0
B,10460,10746464,0
B,21645,10723915,0
B,19785,10757883,0
P,60064,10663356,0
B,23214,10846051,0
B,31467,10814107,0
B,12164,10870157,0
P,34589,10778604,0
B,12038,10971698,0
B,38210,10932543,0
B,13064,10984204,0
P,48341,10883302,0
B,23642,11125419,0
B,23468,11150030,0
B,34341,11090153,0
B,20137,11173956,0
P,91060,10998191,0
B,3811,11278841,0
B,10926,11266928,0
B,2839,11283076,0
P,71026,11194994,0
B,3413,11371969,0
B,14546,11356547,0
B,3584,11376363,0
P,68750,11286918,0
B,2621,11457633,0
B,12415,11444233,0
B,2593,11461170,0
P,62894,11380410,0
B,3348,11511426,0
P,46260,11464712,0
B,2447,11590363,0
B,11107,11578317,0
B,2451,11593747,0
P,61697,11515682,0
B,3149,11655000,0
B,11041,11643005,0
B,3635,11659082,0
P,45436,11596655,0
B,3250,11680504,0
P,16387,11663652,0
I,111838,11684681,1
B,6470,11855918,0
B,9247,11845737,0
P,47354,11797446,0
B,4183,11932855,0
B,14820,11917084,0
B,4871,11937936,0
P,53332,11862853,0
B,4422,12020837,0
B,15867,12004100,0
B,4710,12026244,0
P,59858,11943750,0
B,4360,12104037,0
B,12808,12090761,0
B,3714,12109338,0
P,57978,12031859,0
B,4244,12182611,0
B,12964,12168707,0
B,4340,12187316,0
P,53799,12113981,0
B,4052,12263819,0
B,15342,12247544,0
B,5352,12268804,0
P,54038,12192577,0
B,5551,12355270,0
B,19164,12335184,0
B,4840,12361758,0
P,59635,12274622,0
B,5155,12434538,0
B,15366,12418210,0
B,3719,12440574,0
P,50248,12367508,0
B,5246,12482632,0
B,13281,12468397,0
P,22701,12445266,0
I,211679,12488834,1
B,37558,12903700,0
B,65251,12837986,0
B,38026,12942215,0
P,135648,12701430,0
B,37952,13193790,0
B,74486,13118361,0
B,36788,13232218,0
P,136278,12981175,0
B,35845,13479163,0
B,72541,13405662,0
B,36003,13515896,0
P,134821,13269938,0
B,37088,13764655,0
B,73448,13690230,0
B,36511,13802631,0
P,136935,13552396,0
B,36961,14048533,0
B,72211,13975354,0
B,36560,14086413,0
P,134816,13840100,0
B,35601,14331744,0
B,72395,14258937,0
B,35425,14368305,0
P,134104,14123911,0
B,34846,14607925,0
B,70379,14536624,0
B,35141,14643254,0
P,131007,14404642,0
B,34932,14875309,0
B,71914,14802464,0
B,34261,14911175,0
P,122223,14679284,0
B,33953,15101684,0
B,66607,15034163,0
P,87311,14945868,0
I,160881,15136572,1
B,6471,15393890,0
B,20886,15372067,0
B,5367,15401303,0
P,73246,15298394,0
B,5217,15501239,0
B,16375,15484414,0
B,4089,15507375,0
P,75867,15407582,0
B,4195,15597746,0
B,15055,15582242,0
B,3932,15602879,0
P,68918,15512406,0
B,4855,15700055,0
B,17488,15681600,0
B,4958,15705376,0
P,72938,15607774,0
B,5368,15807739,0
B,19078,15787732,0
B,5253,15814007,0
P,75536,15711248,0
B,5042,15945078,0
B,24446,15919747,0
B,6598,15951104,0
P,99076,15819753,0
B,3759,16050621,0
B,15098,16034585,0
B,3644,16055286,0
P,75491,15958638,0
B,4038,16146542,0
B,15040,16131032,0
B,4062,16151516,0
P,70228,16059860,0
B,3617,16201854,0
P,44412,16156506,0
B,4536,16267836,0
B,25784,16241064,0
B,4173,16273298,0
P,34259,16206390,0
I,202566,16278410,1
B,3505,16567992,0
B,12194,16554887,0
B,3201,16572452,0
P,72534,16481894,0
B,3130,16662843,0
B,9803,16652600,0
B,2956,16666906,0
P,75084,16576556,0
B,2957,16760629,0
B,9922,16749812,0
B,3048,16764075,0
P,78063,16670790,0
B,2913,16856836,0
B,9782,16846120,0
B,3038,16860688,0
P,77143,16768047,0
B,2775,16951115,0
B,8822,16941344,0
B,2409,16954838,0
P,76279,16864176,0
B,2740,17042644,0
B,9169,17032516,0
B,2465,17046286,0
P,73892,16958152,0
B,2607,17126128,0
B,8098,17117071,0
B,2159,17129690,0
P,66937,17049714,0
B,2549,17202156,0
B,8626,17193083,0
B,2510,17205633,0
P,59398,17132753,0
B,1809,17238199,0
P,28209,17209087,0
B,2123,17274164,0
B,13792,17259440,0
B,2122,17277180,0
P,18005,17240950,0
I,148826,17280217,1
B,6394,17516685,0
B,13279,17502499,0
B,5012,17523991,0
P,71991,17430033,0
B,5065,17579502,0
P,48583,17529935,0
B,4303,17677365,0
B,16110,17660321,0
B,6091,17682521,0
P,74378,17585017,0
B,5287,17776313,0
B,15205,17760211,0
B,5075,17782612,0
P,70167,17689571,0
B,3952,17855379,0
B,13493,17841417,0
B,4201,17860221,0
P,51874,17788604,0
B,3063,17999044,0
B,22188,17975942,0
B,6834,18002527,0
P,109628,17865386,0
B,36962,18155505,0
