pict_type,pkt_size,pkt_pos,key_frame
I,517594,40,1
B,4310,705016,0
B,22758,682258,0
B,6297,709326,0
B,38825,643433,0
B,9649,743182,0
B,27559,715623,0
B,13261,752831,0
B,125799,517634,0
B,16936,948329,0
B,43255,905074,0
B,17378,965265,0
B,50734,854340,0
B,19008,1030047,0
B,47404,982643,0
B,21437,1049055,0
B,88248,766092,0
B,20580,1283210,0
B,41189,1242021,0
B,20696,1303790,0
B,56877,1185144,0
B,21651,1366609,0
B,42123,1324486,0
B,23160,1388260,0
B,114652,1070492,0
B,23195,1769597,0
B,42084,1727513,0
B,23170,1792792,0
B,56921,1670592,0
B,23218,1858093,0
B,42131,1815962,0
B,23309,1881311,0
I,259172,1411420,1
B,22892,2131843,0
B,40660,2091183,0
B,22922,2154735,0
B,52418,2038765,0
B,23115,2218459,0
B,40802,2177657,0
B,23458,2241574,0
B,134145,1904620,0
B,24079,2491416,0
B,43785,2447631,0
B,24127,2515495,0
B,53954,2393677,0
B,24411,2583627,0
B,44005,2539622,0
B,24860,2608038,0
B,128645,2265032,0
B,25016,2865686,0
B,46100,2819586,0
B,25040,2890702,0
B,55756,2763830,0
B,25217,2961986,0
B,46244,2915742,0
B,25483,2987203,0
B,130932,2632898,0
B,26154,3375667,0
B,47640,3328027,0
B,26143,3401821,0
B,57240,3270787,0
B,26119,3475600,0
B,47636,3427964,0
B,26131,3501719,0
I,258101,3012686,1
B,24845,3754962,0
B,44320,3710642,0
B,24832,3779807,0
B,53290,3657352,0
B,24840,3848939,0
B,44300,3804639,0
B,24748,3873779,0
B,129502,3527850,0
B,25181,4129693,0
B,46250,4083443,0
B,25172,4154874,0
B,55139,4028304,0
B,25172,4226329,0
B,46283,4180046,0
B,25150,4251501,0
B,129777,3898527,0
B,25844,4510363,0
B,47811,4462552,0
B,25778,4536207,0
B,56544,4406008,0
B,25743,4609767,0
B,47782,4561985,0
B,25729,4635510,0
B,129357,4276651,0
B,25941,5020484,0
B,48544,4971940,0
B,25918,5046425,0
B,58461,4913479,0
B,25906,5120864,0
B,48521,5072343,0
B,25921,5146770,0
I,252240,4661239,1
B,23967,5401494,0
B,45159,5356335,0
B,23952,5425461,0
B,55584,5300751,0
B,23940,5494627,0
B,45214,5449413,0
B,23894,5518567,0
B,128060,5172691,0
B,23506,5779949,0
B,46449,5733500,0
B,23484,5803455,0
B,57879,5675621,0
B,23432,5873290,0
B,46351,5826939,0
B,23376,5896722,0
B,133160,5542461,0
B,23654,6162988,0
B,46742,6116246,0
B,23597,6186642,0
B,59430,6056816,0
B,23578,6256922,0
B,46683,6210239,0
B,23503,6280500,0
B,136718,5920098,0
B,23346,6764207,0
B,46687,6717520,0
B,23340,6787553,0
B,60451,6657069,0
B,23316,6857578,0
B,46685,6810893,0
B,23305,6880894,0
I,353066,6304003,1
B,20370,7133599,0
B,40880,7092719,0
B,20359,7153969,0
B,52875,7039844,0
B,20289,7215082,0
B,40754,7174328,0
B,20199,7235371,0
B,135645,6904199,0
B,19624,7498987,0
B,40918,7458069,0
B,19602,7518611,0
B,55543,7402526,0
B,19571,7579082,0
B,40869,7538213,0
B,19526,7598653,0
B,146956,7255570,0
B,18096,7872240,0
B,41299,7830941,0
B,18112,7890336,0
B,53270,7777671,0
B,18203,7949859,0
B,41411,7908448,0
B,18375,7968062,0
B,159492,7618179,0
B,15668,8569712,0
B,40877,8528835,0
B,15627,8585380,0
B,53800,8475035,0
B,15801,8642001,0
B,40994,8601007,0
B,16057,8657802,0
I,488598,7986437,1
B,10631,8925370,0
B,31465,8893905,0
B,10601,8936001,0
B,49224,8844681,0
B,10565,8978087,0
B,31485,8946602,0
B,10444,8988652,0
B,170822,8673859,0
B,9054,9270869,0
B,31239,9239630,0
B,9094,9279923,0
B,47919,9191711,0
B,9101,9320430,0
B,31413,9289017,0
B,9239,9329531,0
B,192615,8999096,0
B,8440,9632433,0
B,29397,9603036,0
B,8339,9640873,0
B,52449,9550587,0
B,8242,9678922,0
B,29710,9649212,0
B,8215,9687164,0
B,211817,9338770,0
B,8171,10262213,0
B,27730,10234483,0
B,8132,10270384,0
B,53836,10180647,0
B,8137,10306168,0
B,27652,10278516,0
B,8163,10314305,0
I,485268,9695379,1
B,6347,10601576,0
B,22585,10578991,0
B,6215,10607923,0
B,45616,10533375,0
B,6004,10636194,0
B,22056,10614138,0
B,5842,10642198,0
B,210907,10322468,0
B,6820,10939303,0
B,23031,10916272,0
B,6832,10946123,0
B,46060,10870212,0
B,6727,10976036,0
B,23081,10952955,0
B,6552,10982763,0
B,222172,10648040,0
B,6947,11294129,0
B,23107,11271022,0
B,6916,11301076,0
B,47250,11223772,0
B,6828,11331237,0
B,23245,11307992,0
B,6714,11338065,0
B,234457,10989315,0
B,7183,11893438,0
B,23361,11870077,0
B,7108,11900621,0
B,46830,11823247,0
B,7015,11930998,0
B,23269,11907729,0
B,7043,11938013,0
I,478468,11344779,1
B,5862,12231922,0
B,20441,12211481,0
B,5700,12237784,0
B,41048,12170433,0
B,5551,12263498,0
B,20014,12243484,0
B,5339,12269049,0
B,225377,11945056,0
B,6766,12569270,0
B,22453,12546817,0
B,6736,12576036,0
B,42002,12504815,0
B,6736,12605116,0
B,22344,12582772,0
B,6518,12611852,0
B,230427,12274388,0
B,7379,12923984,0
B,22672,12901312,0
B,7377,12931363,0
B,43185,12858127,0
B,7317,12961354,0
B,22614,12938740,0
B,7111,12968671,0
B,239757,12618370,0
B,7307,13519394,0
B,23347,13496047,0
B,7264,13526701,0
B,42880,13453167,0
B,7242,13557339,0
B,23374,13533965,0
B,7237,13564581,0
I,477385,12975782,1
B,7047,13855524,0
B,21250,13834274,0
B,6919,13862571,0
B,37237,13797037,0
B,6848,13890338,0
B,20848,13869490,0
B,6570,13897186,0
B,225219,13571818,0
B,5811,14194792,0
B,21627,14173165,0
B,5801,14200603,0
B,38225,14134940,0
B,5684,14228474,0
B,22070,14206404,0
B,5580,14234158,0
B,231184,13903756,0
B,4650,14536924,0
B,19208,14517716,0
B,4489,14541574,0
B,37788,14479928,0
B,4496,14565491,0
B,19428,14546063,0
B,4430,14569987,0
B,240190,14239738,0
B,4921,15081827,0
B,14988,15066839,0
B,4626,15086748,0
B,35049,15031790,0
B,5117,15109613,0
B,18239,15091374,0
B,5883,15114730,0
I,457373,14574417,1
B,1641,15288378,0
B,5584,15282794,0
B,599,15290019,0
B,14338,15268456,0
B,608,15294994,0
B,4376,15290618,0
B,364,15295602,0
B,147843,15120613,0
B,1424,15358495,0
B,62529,15295966,0
B,1454,15359919,0
