pict_type,pkt_size,pkt_pos,key_frame
I,659770,109150,1
I,63019,773024,1
B,86,836448,0
B,110,836233,0
P,170,836043,0
B,125,837057,0
B,125,837265,0
B,132,836899,0
B,132,837492,0
P,144,836639,0
B,120,838156,0
B,120,838344,0
B,132,837986,0
B,126,838561,0
P,143,837728,0
B,120,838991,0
P,141,838754,0
B,120,839578,0
B,120,839739,0
B,127,839329,0
B,127,839875,0
P,137,839147,0
P,137,840039,0
B,119,840553,0
B,126,840402,0
P,136,840252,0
P,136,840697,0
P,136,840839,0
B,119,841273,0
B,126,841135,0
P,136,840987,0
B,120,841685,0
B,120,841817,0
B,127,841546,0
B,126,841949,0
P,136,841404,0
B,120,842229,0
P,136,842087,0
B,120,842649,0
B,120,842781,0
B,127,842510,0
B,127,842907,0
P,137,842361,0
B,120,843334,0
B,120,843466,0
B,127,843195,0
B,126,843592,0
P,137,843046,0
P,136,843730,0
B,119,844165,0
B,126,844027,0
P,137,843878,0
B,120,844578,0
B,120,844710,0
B,127,844439,0
B,126,844836,0
P,137,844290,0
B,120,845122,0
P,136,844974,0
P,137,845254,0
P,136,845403,0
B,119,845831,0
B,126,845693,0
P,136,845545,0
B,120,846243,0
B,120,846375,0
B,127,846110,0
B,126,846507,0
P,136,845962,0
P,136,846645,0
B,119,847074,0
B,126,846936,0
P,137,846793,0
B,120,847493,0
B,120,847619,0
B,127,847354,0
B,126,847751,0
P,137,847205,0
B,120,848177,0
B,120,848303,0
B,127,848038,0
B,126,848435,0
P,137,847889,0
B,120,848722,0
P,137,848573,0
B,120,849136,0
B,120,849268,0
B,127,848997,0
B,127,849400,0
P,137,848854,0
P,137,849539,0
B,119,849968,0
B,126,849830,0
P,136,849682,0
P,136,850099,0
P,136,850247,0
B,119,850765,0
B,126,850537,0
P,136,850389,0
P,136,850928,0
B,120,851503,0
B,120,851693,0
B,126,851298,0
B,126,851880,0
P,138,851136,0
I,1053,852068,1
P,100,853142,0
P,101,853321,0
B,91,853747,0
B,91,853885,0
B,94,853608,0
B,91,854016,0
P,102,853464,0
B,91,854494,0
B,91,854665,0
B,94,854378,0
B,91,854798,0
P,103,854170,0
B,91,855249,0
B,94,855136,0
P,103,854974,0
B,91,855846,0
B,91,856277,0
B,94,855573,0
B,91,856636,0
P,103,855412,0
B,91,858614,0
B,94,857709,0
P,103,857091,0
P,103,859465,0
P,103,859890,0
B,91,862401,0
B,94,861571,0
P,102,860770,0
B,91,864771,0
B,91,865792,0
B,94,863820,0
B,91,866830,0
P,103,863301,0
B,91,869674,0
B,94,868476,0
P,103,867865,0
B,91,872835,0
B,91,873459,0
B,94,871855,0
B,91,874128,0
P,103,870723,0
B,91,878039,0
B,91,878976,0
B,95,876869,0
B,91,880321,0
P,103,875513,0
B,1110,901345,0
B,2572,897569,0
P,13382,881987,0
B,1303,914408,0
B,1078,916643,0
B,1504,911967,0
B,1029,918653,0
P,7972,903072,0
B,1300,932824,0
B,1537,935071,0
B,1968,929914,0
B,1350,937085,0
P,8837,920182,0
B,1657,953650,0
B,1490,956254,0
B,2280,950482,0
B,1636,958232,0
P,10168,939354,0
B,1913,979350,0
B,4749,973651,0
B,2126,982184,0
P,11941,960804,0
B,2587,1006759,0
B,5783,1000072,0
B,3289,1010282,0
P,14365,984759,0
B,3002,1037077,0
B,6694,1029451,0
B,3288,1041018,0
P,14479,1014500,0
B,3467,1069399,0
B,6862,1062067,0
B,3540,1073762,0
P,15925,1045222,0
B,3096,1100562,0
B,5796,1093901,0
B,2609,1104141,0
P,14697,1078259,0
B,2769,1130062,0
B,5851,1123266,0
B,2651,1133788,0
P,14638,1107696,0
B,2821,1161342,0
B,6739,1153697,0
B,2930,1165100,0
P,15862,1136868,0
B,2824,1195424,0
B,7128,1187374,0
B,3343,1199175,0
P,17969,1168973,0
B,3669,1231967,0
B,7292,1224247,0
B,3372,1236585,0
P,19826,1203462,0
B,3314,1270885,0
B,7441,1262481,0
B,3368,1274645,0
