pict_type,pkt_size,pkt_pos,key_frame
I,427649,79788,1
I,448,511541,1
B,4668,578654,0
B,13575,564946,0
B,7015,584328,0
P,52934,511989,0
B,6657,719349,0
B,28608,689631,0
B,7896,728451,0
P,95118,592339,0
B,10308,928456,0
B,40796,886389,0
B,17273,939341,0
P,146244,738481,0
P,94412,957841,0
P,122097,1053360,0
B,21239,1436617,0
B,62018,1374169,0
B,22372,1458817,0
P,196746,1176440,0
B,22186,1673815,0
B,46453,1626379,0
B,23061,1696484,0
P,143404,1482134,0
B,23988,1897439,0
B,48112,1848351,0
B,25454,1922405,0
P,127005,1720406,0
B,26372,2100602,0
B,51491,2048210,0
B,34523,2127872,0
P,98937,1948340,0
B,30113,2345175,0
B,69726,2274554,0
B,26588,2376199,0
P,110739,2163340,0
B,24975,2537489,0
B,54533,2482567,0
B,19764,2563372,0
P,77854,2403789,0
B,16317,2675885,0
B,39682,2635275,0
B,13628,2692666,0
P,50199,2584160,0
B,10293,2759490,0
B,25690,2732875,0
B,7400,2770655,0
P,24734,2707268,0
B,8884,2795628,0
B,7174,2805510,0
B,12854,2781794,0
B,3742,2813613,0
P,2387,2778487,0
B,151,2820145,0
B,150,2821279,0
B,153,2819042,0
B,137,2821862,0
P,234,2817823,0
I,7254,2822945,1
P,5044,2831094,0
B,3032,2846121,0
P,8180,2837069,0
B,2555,2857822,0
P,7279,2849604,0
B,4869,2874204,0
P,11942,2861301,0
P,8912,2879983,0
B,4712,2902199,0
P,11885,2889380,0
B,1678,2925203,0
P,16485,2907833,0
B,652,2941380,0
B,2750,2937743,0
P,9498,2927774,0
B,2401,2959656,0
B,1975,2962514,0
B,2209,2956470,0
B,874,2965380,0
P,12494,2943035,0
B,583,2980344,0
B,747,2981437,0
B,777,2978577,0
B,526,2983119,0
P,10376,2967227,0
B,1597,2995018,0
B,504,2997093,0
B,942,2993109,0
B,406,2998538,0
P,7649,2984534,0
B,524,3009919,0
B,529,3010902,0
B,927,3008079,0
B,356,3012304,0
P,7285,2999833,0
B,1107,3028714,0
B,1461,3030299,0
B,2423,3025405,0
B,1545,3032719,0
P,10926,3013575,0
B,1797,3053676,0
B,1742,3055960,0
B,2936,3049825,0
B,1270,3058634,0
P,13617,3035255,0
B,1003,3076130,0
B,1083,3077583,0
B,1127,3074016,0
B,524,3079569,0
P,12228,3060840,0
B,588,3089743,0
B,514,3091242,0
B,1121,3088151,0
B,438,3092704,0
P,6176,3081031,0
B,470,3100903,0
B,1592,3098936,0
B,415,3102248,0
P,4213,3094050,0
B,437,3109170,0
B,569,3110162,0
B,1114,3107045,0
B,801,3111770,0
P,2495,3103617,0
B,5540,3135015,0
P,20528,3113588,0
B,14781,3159024,0
P,17127,3141435,0
P,9294,3174649,0
I,4875,3184846,1
B,168,3192624,0
B,160,3193747,0
B,211,3191942,0
B,128,3194920,0
P,437,3190607,0
P,307,3196091,0
P,5197,3197360,0
I,15958,3203043,0
B,3319,3234199,0
B,6446,3227005,0
B,2764,3238304,0
P,6116,3219938,0
B,2669,3256674,0
B,5970,3249756,0
B,3213,3260323,0
P,7347,3241486,0
B,3588,3281040,0
B,7013,3273021,0
B,3642,3285612,0
P,7952,3264567,0
B,3351,3306010,0
B,6496,3299019,0
B,3729,3310323,0
P,7790,3290277,0
B,3782,3334382,0
B,7988,3325507,0
B,4085,3338639,0
P,9609,3315016,0
B,4340,3362306,0
