pict_type,pkt_size,pkt_pos,key_frame
I,516843,130032,1
I,124142,650979,1
B,82,775405,0
B,82,775515,0
B,90,775280,0
B,83,775627,0
P,139,775121,0
B,99,776043,0
B,99,776172,0
B,106,775891,0
B,102,776301,0
P,136,775740,0
B,99,776728,0
B,99,776857,0
B,107,776585,0
B,103,776986,0
P,137,776433,0
B,99,777415,0
B,99,777544,0
B,107,777278,0
B,103,777686,0
P,138,777119,0
B,99,778122,0
B,99,778251,0
B,107,777985,0
B,103,778386,0
P,138,777832,0
B,99,778809,0
B,99,778938,0
B,107,778672,0
B,103,779067,0
P,138,778519,0
B,99,779490,0
B,99,779625,0
B,107,779353,0
B,103,779760,0
P,138,779200,0
B,99,780205,0
B,99,780334,0
B,107,780046,0
B,103,780463,0
P,138,779893,0
B,99,780891,0
B,99,781026,0
B,107,780755,0
B,103,781162,0
P,138,780602,0
B,99,781595,0
B,99,781724,0
B,107,781458,0
B,103,781853,0
P,138,781305,0
B,99,782283,0
B,99,782412,0
B,107,782139,0
B,103,782541,0
P,138,781986,0
B,99,782964,0
B,99,783101,0
B,107,782827,0
B,103,783230,0
P,138,782659,0
B,99,783653,0
B,99,783782,0
B,107,783516,0
B,103,783917,0
P,138,783348,0
B,99,784360,0
B,99,784489,0
B,107,784223,0
B,103,784618,0
P,138,784035,0
B,99,785055,0
B,99,785184,0
B,107,784918,0
B,103,785313,0
P,138,784736,0
B,99,785736,0
B,99,785880,0
B,107,785599,0
B,103,786018,0
P,138,785431,0
B,99,786441,0
B,99,786570,0
B,107,786304,0
B,103,786699,0
P,138,786136,0
B,99,787122,0
B,99,787251,0
B,107,786985,0
B,103,787380,0
P,138,786817,0
B,99,787812,0
B,99,787941,0
B,107,787666,0
B,103,788076,0
P,138,787498,0
B,99,788528,0
B,99,788670,0
B,107,788381,0
B,103,788799,0
P,138,788201,0
B,99,789243,0
B,99,789372,0
B,107,789106,0
B,103,789508,0
P,138,788931,0
B,99,789930,0
B,99,790059,0
B,107,789793,0
B,103,790173,0
P,138,789626,0
B,99,790611,0
B,99,790740,0
B,107,790474,0
B,103,790854,0
P,138,790306,0
B,99,791315,0
B,121,791149,0
B,103,791463,0
P,132,790987,0
I,476,791581,1
B,78,792492,0
B,78,792897,0
B,78,792209,0
B,77,793118,0
P,92,792087,0
B,79,794192,0
B,79,794522,0
B,80,793808,0
B,79,794698,0
P,94,793453,0
B,79,795781,0
B,80,795431,0
B,79,796119,0
P,95,795050,0
I,247537,796293,0
B,3892,1140795,0
P,96402,1044111,0
B,2988,1243147,0
P,96490,1145410,0
B,2794,1345894,0
P,98440,1246557,0
B,2404,1453065,0
P,102520,1349648,0
B,2685,1561157,0
P,104369,1456343,0
B,2356,1676244,0
P,110614,1564693,0
B,2090,1791705,0
P,111273,1679532,0
B,1819,1957759,0
B,7343,1949591,0
B,1880,1960435,0
P,154550,1794237,0
B,1638,2145500,0
B,8660,2136081,0
B,1553,2147917,0
P,172630,1963087,0
B,1367,2338980,0
B,4921,2333607,0
B,1337,2341114,0
P,182531,2150254,0
B,1212,2489967,0
P,145956,2343191,0
B,1019,2667284,0
B,3397,2663050,0
B,1064,2669339,0
P,170586,2491610,0
B,1237,2843571,0
B,1513,2845714,0
B,3058,2839646,0
B,871,2848131,0
P,167688,2671450,0
B,893,3017092,0
B,1289,3018930,0
B,2022,3014140,0
B,883,3021131,0
P,163773,2849946,0
B,788,3164344,0
B,1585,3161852,0
B,697,3166059,0
P,138408,3022918,0
B,850,3277875,0
B,1307,3276221,0
B,752,3279574,0
P,107693,3167675,0
B,742,3339845,0
B,1610,3336934,0
B,535,3341166,0
P,54733,3281181,0
B,627,3357102,0
B,2443,3352775,0
P,6000,3344096,0
I,358963,3358673,1
B,1107,3812190,0
B,3067,3808178,0
B,1171,3814227,0
P,89181,3718110,0
B,1177,3901083,0
B,5162,3894984,0
B,1010,3903164,0
P,78193,3816356,0
B,1056,3981688,0
B,4626,3976554,0
B,1005,3983666,0
P,70505,3905108,0
B,865,4050121,0
B,4258,4044928,0
B,863,4051423,0
P,58409,3985577,0
B,684,4103244,0
B,3691,4098585,0
B,707,4104816,0
P,44426,4053204,0
B,631,4140000,0
B,3582,4135423,0
B,703,4141493,0
P,28519,4105992,0
B,640,4157476,0
B,4483,4152053,0
P,8458,4142665,0
I,216789,4159030,1
B,1783,4463547,0
B,7288,4455317,0
B,1840,4466309,0
P,78102,4376744,0
B,2193,4556172,0
B,8066,4547651,0
B,2146,4559345,0
P,77661,4469064,0
B,2401,4641750,0
B,8616,4632173,0
B,1757,4644612,0
P,68875,4562368,0
B,2036,4702423,0
B,7779,4693752,0
B,1651,4705468,0
P,45500,4647346,0
B,2706,4789590,0
B,10342,4778351,0
B,1887,4793210,0
P,69923,4707562,0
B,1263,4815398,0
B,6669,4807812,0
P,11233,4796097,0
I,190655,4817601,1
B,4019,5105271,0
B,10092,5094741,0
B,3720,5110263,0
P,84622,5009128,0
B,3479,5214147,0
B,13773,5199465,0
B,3122,5218137,0
P,83633,5114894,0
B,2699,5321381,0
B,12634,5307823,0
B,2745,5325015,0
P,84726,5222170,0
B,2885,5430266,0
B,12576,5416773,0
B,2680,5434124,0
P,87651,5328220,0
B,2481,5539214,0
B,12662,5525621,0
B,3094,5542626,0
P,87430,5437695,0
B,3371,5654326,0
B,14467,5639425,0
B,2955,5658655,0
P,91839,5546657,0
B,2915,5765483,0
B,13649,5751379,0
B,3192,5769313,0
P,87905,5662554,0
B,2905,5872763,0
B,10672,5861145,0
B,2973,5876102,0
P,86759,5773462,0
B,2685,5976420,0
B,9291,5966177,0
B,2695,5979971,0
P,85254,5879996,0
B,3252,6081746,0
B,9499,6071337,0
B,2929,6085944,0
P,87184,5983211,0
B,2725,6189286,0
B,8443,6179892,0
B,2403,6192884,0
P,89650,6089774,0
B,2503,6286026,0
B,8272,6277265,0
B,2152,6289431,0
P,80048,6196270,0
B,2194,6372818,0
B,7142,6364732,0
B,2503,6375466,0
P,71323,6292476,0
B,2638,6434024,0
B,8692,6424431,0
B,2681,6437633,0
P,44562,6378929,0
P,11959,6440723,0
I,238355,6453652,1
B,10699,6842217,0
B,26257,6815029,0
B,8917,6853354,0
P,121185,6692952,0
B,9054,7004424,0
B,32166,6971351,0
B,7545,7014395,0
P,107137,6863248,0
B,8142,7157362,0
B,31307,7125144,0
B,8226,7166439,0
P,101820,7022393,0
B,7477,7312976,0
B,32044,7279979,0
B,7495,7321401,0
P,103913,7175580,0
B,6917,7459279,0
B,32281,7426061,0
B,8132,7467077,0
P,95761,7329850,0
B,7484,7607863,0
B,34420,7572984,0
B,8675,7616270,0
P,95890,7476177,0
B,8486,7746870,0
B,34858,7711121,0
B,7809,7755818,0
P,84293,7625880,0
B,6773,7815892,0
P,50338,7764574,0
I,184324,7823554,1
B,2016,8077942,0
B,5607,8071360,0
B,1949,8080893,0
P,62156,8008795,0
B,1858,8157078,0
B,5035,8151583,0
B,1878,8159821,0
P,66870,8083765,0
B,1729,8244281,0
B,5126,8238212,0
B,1801,8246481,0
P,74571,8162703,0
B,1637,8332672,0
B,4839,8326932,0
B,1670,8335265,0
P,76794,8249218,0
B,1551,8411420,0
B,4186,8406318,0
B,1534,8413885,0
P,68000,8337406,0
B,1532,8488186,0
B,4132,8483154,0
B,1459,8490661,0
P,66349,8416343,0
B,1467,8546327,0
P,52339,8493097,0
B,1281,8620363,0
B,4418,8614948,0
B,1405,8622574,0
P,65769,8548269,0
B,1496,8684500,0
B,4183,8679369,0
B,1129,8686893,0
P,54014,8624887,0
B,1140,8726829,0
B,4211,8722163,0
B,1264,8728903,0
P,32252,8688982,0
B,1081,8749542,0
B,5637,8743471,0
P,11430,8731085,0
I,476,8751531,1
B,78,8754932,0
B,78,8755521,0
B,78,8753983,0
B,77,8756523,0
