pict_type,pkt_size,pkt_pos,key_frame
I,432596,40,1
B,1686,619775,0
B,16080,603695,0
B,5096,621461,0
B,40899,562796,0
B,12000,652013,0
B,25456,626557,0
B,16925,664013,0
B,130160,432636,0
B,8736,903338,0
B,41227,862111,0
B,9214,912074,0
B,64761,797350,0
B,11457,970723,0
B,49435,921288,0
B,13213,982180,0
B,116412,680938,0
B,7491,1274633,0
B,43026,1231607,0
B,6814,1282124,0
B,76363,1155244,0
B,7763,1333297,0
B,44359,1288938,0
B,9231,1341060,0
B,159851,995393,0
B,9801,1681754,0
B,39097,1642657,0
B,9757,1691555,0
B,83662,1558995,0
B,9623,1740397,0
B,39085,1701312,0
B,9561,1750020,0
I,208704,1350291,1
B,13054,2037520,0
B,42729,1994791,0
B,13422,2050574,0
B,75396,1919395,0
B,13918,2107415,0
B,43419,2063996,0
B,14815,2121333,0
B,159814,1759581,0
B,14114,2431245,0
B,46990,2384255,0
B,14125,2445359,0
B,70408,2313847,0
B,14219,2506588,0
B,47104,2459484,0
B,14401,2520807,0
B,177699,2136148,0
B,15518,2829584,0
B,50171,2779413,0
B,15495,2845102,0
B,69333,2710080,0
B,15424,2910682,0
B,50085,2860597,0
B,15169,2926106,0
B,174872,2535208,0
B,15565,3292979,0
B,53425,3239554,0
B,15564,3308544,0
B,70677,3168877,0
B,15610,3376204,0
B,52096,3324108,0
B,15629,3391814,0
I,227602,2941275,1
B,15367,3686840,0
B,49804,3637036,0
B,15316,3702207,0
B,68883,3568153,0
B,15395,3767444,0
B,49921,3717523,0
B,15339,3782839,0
B,160710,3407443,0
B,13710,4078370,0
B,48286,4030084,0
B,13903,4092080,0
B,70523,3959561,0
B,14594,4154281,0
B,48298,4105983,0
B,15227,4168875,0
B,161383,3798178,0
B,12705,4472237,0
B,48388,4423849,0
B,12714,4484942,0
B,72604,4351245,0
B,13273,4547467,0
B,49811,4497656,0
B,13874,4560740,0
B,167143,4184102,0
B,13050,4928396,0
B,48228,4880168,0
B,13052,4941446,0
B,76080,4804088,0
B,13367,5003646,0
B,49148,4954498,0
B,13725,5017013,0
I,229474,4574614,1
B,12444,5330289,0
B,47268,5283021,0
B,12450,5342733,0
B,77961,5205060,0
B,12449,5402483,0
B,47300,5355183,0
B,12460,5414932,0
B,174322,5030738,0
B,13716,5722707,0
B,48720,5673987,0
B,13706,5736423,0
B,77172,5596815,0
B,13771,5798226,0
B,48097,5750129,0
B,13854,5811997,0
B,169423,5427392,0
B,13294,6123459,0
B,49228,6074231,0
B,13262,6136753,0
B,78846,5995385,0
B,13375,6198715,0
B,48700,6150015,0
B,13520,6212090,0
B,169534,5825851,0
B,13559,6572814,0
B,48183,6524631,0
B,13579,6586373,0
B,79754,6444877,0
B,13678,6648775,0
B,48823,6599952,0
B,13789,6662453,0
I,219267,6225610,1
B,13103,6970186,0
B,45541,6924645,0
B,13131,6983289,0
B,77203,6847442,0
B,13304,7042211,0
B,45791,6996420,0
B,13448,7055515,0
B,171200,6676242,0
B,13882,7361886,0
B,47416,7314470,0
B,13873,7375768,0
B,76976,7237494,0
B,13970,7437249,0
B,47608,7389641,0
B,14124,7451219,0
B,168531,7068963,0
B,15342,7757182,0
B,47598,7709584,0
B,15279,7772524,0
B,77147,7632437,0
B,15193,7835818,0
B,48015,7787803,0
B,15250,7851011,0
B,167094,7465343,0
B,15723,8234669,0
B,48981,8185688,0
B,15702,8250392,0
B,76743,8108945,0
B,15689,8315027,0
B,48933,8266094,0
B,15661,8330716,0
I,242684,7866261,1
B,15648,8626490,0
B,48272,8578218,0
B,15631,8642138,0
B,73951,8504267,0
B,15668,8705911,0
B,48142,8657769,0
B,15548,8721579,0
B,157890,8346377,0
B,16589,9016170,0
B,49525,8966645,0
B,16576,9032759,0
B,73418,8893227,0
B,16462,9098844,0
B,49509,9049335,0
B,16381,9115306,0
B,156100,8737127,0
B,17005,9410729,0
B,50652,9360077,0
B,17030,9427734,0
B,73777,9286300,0
B,16970,9495351,0
B,50587,9444764,0
B,16887,9512321,0
B,154613,9131687,0
B,16984,9900587,0
B,51737,9848850,0
B,16990,9917571,0
B,74874,9773976,0
B,16939,9986271,0
B,51710,9934561,0
B,16900,10003210,0
I,244768,9529208,1
B,16474,10288048,0
B,50363,10237685,0
B,16487,10304522,0
B,72257,10165428,0
B,16475,10371273,0
B,50264,10321009,0
B,16324,10387748,0
B,145318,10020110,0
B,17142,10674004,0
B,50466,10623538,0
B,17120,10691146,0
B,71593,10551945,0
B,17115,10758632,0
B,50366,10708266,0
B,17058,10775747,0
B,147873,10404072,0
B,16877,11066293,0
B,51970,11014323,0
B,16880,11083170,0
B,72858,10941465,0
B,16769,11151965,0
B,51915,11100050,0
B,16725,11168734,0
B,148660,10792805,0
B,17168,11533642,0
B,51943,11481699,0
B,17139,11550810,0
B,74878,11406821,0
B,17127,11619771,0
B,51822,11567949,0
B,17109,11636898,0
I,221362,11185459,1
B,16569,11919821,0
B,50496,11869325,0
B,16591,11936390,0
B,73381,11795944,0
B,16616,12003463,0
B,50482,11952981,0
B,16625,12020079,0
B,141937,11654007,0
B,16228,12307979,0
B,51006,12256973,0
B,16239,12324207,0
B,73174,12183799,0
B,16291,12391387,0
B,50941,12340446,0
B,16334,12407678,0
B,147095,12036704,0
B,16543,12697282,0
B,51528,12645754,0
B,16535,12713825,0
B,74089,12571665,0
B,16642,12781887,0
B,51527,12730360,0
B,16734,12798529,0
B,147653,12424012,0
B,16755,13165114,0
B,51358,13113756,0
B,16762,13181869,0
B,74331,13039425,0
B,16899,13250117,0
B,51486,13198631,0
B,17042,13267016,0
I,224162,12815263,1
B,16445,13551151,0
B,50213,13500938,0
B,16456,13567596,0
B,73186,13427752,0
B,16549,13633682,0
B,49630,13584052,0
B,16663,13650231,0
B,143694,13284058,0
B,16840,13936176,0
B,50445,13885731,0
B,16808,13953016,0
B,73155,13812576,0
B,16994,14019741,0
B,49917,13969824,0
B,17163,14036735,0
B,145682,13666894,0
B,16538,14323946,0
B,49959,14273987,0
B,16536,14340484,0
B,72712,14201275,0
B,16906,14406639,0
B,49619,14357020,0
B,17287,14423545,0
B,147377,14053898,0
B,15991,14782498,0
B,50041,14732457,0
B,15998,14798489,0
B,74099,14658358,0
B,16290,14865005,0
B,50518,14814487,0
B,16674,14881295,0
I,217526,14440832,1
B,15259,15171055,0
B,48340,15122715,0
B,15246,15186314,0
B,74208,15048507,0
B,15515,15250487,0
B,48927,15201560,0
B,15828,15266002,0
B,150538,14897969,0
B,14874,15560145,0
B,49241,15510904,0
B,14896,15575019,0
B,75086,15435818,0
B,15187,15639295,0
B,49380,15589915,0
B,15532,15654482,0
B,153988,15281830,0
B,15492,15950307,0
B,48361,15901946,0
B,15500,15965799,0
B,75994,15825952,0
B,15827,16029898,0
B,48599,15981299,0
B,16192,16045725,0
B,155938,15670014,0
B,16591,16410167,0
B,47951,16362216,0
B,16575,16426758,0
B,75495,16286721,0
B,16771,16491783,0
B,48450,16443333,0
B,17003,16508554,0
I,224804,16061917,1
B,16940,16798294,0
B,48063,16750231,0
B,16944,16815234,0
B,73926,16676305,0
B,17033,16880381,0
B,48203,16832178,0
B,17177,16897414,0
B,150748,16525557,0
B,17020,17190916,0
B,49454,17141462,0
B,17039,17207936,0
B,74797,17066665,0
B,17116,17274555,0
B,49580,17224975,0
B,17201,17291671,0
B,152074,16914591,0
B,16209,17591278,0
B,50369,17540909,0
B,16242,17607487,0
B,76838,17464071,0
B,16292,17674094,0
B,50365,17623729,0
B,16372,17690386,0
B,155199,17308872,0
B,15510,18057732,0
B,50034,18007698,0
B,15523,18073242,0
B,78743,17928955,0
B,15536,18138797,0
B,50032,18088765,0
B,15592,18154333,0
I,222197,17706758,1
B,15592,18448038,0
B,47713,18400325,0
B,15604,18463630,0
B,76389,18323936,0
B,15671,18527019,0
B,47785,18479234,0
B,15791,18542690,0
B,154011,18169925,0
B,15715,18843248,0
B,47872,18795376,0
B,15743,18858963,0
B,77018,18718358,0
B,15743,18922583,0
B,47877,18874706,0
B,15689,18938326,0
B,159877,18558481,0
B,16122,19240347,0
B,48734,19191613,0
