pict_type,pkt_size,pkt_pos,key_frame
I,684,5573,1
B,118,24783,0
B,1743,23034,0
B,102,24907,0
B,2321,20706,0
B,105,25125,0
B,104,25015,0
B,102,25236,0
B,10213,10486,0
B,102,41458,0
B,120,41332,0
B,370,41567,0
B,756,40570,0
B,300,42453,0
B,502,41944,0
B,308,42760,0
B,10923,29640,0
B,284,50154,0
B,380,49767,0
B,201,50445,0
B,827,48933,0
B,197,51022,0
B,362,50653,0
B,332,51226,0
B,1517,47409,0
B,324,58244,0
B,489,57748,0
B,254,58575,0
B,597,57144,0
B,198,59227,0
B,384,58836,0
B,188,59432,0
B,1337,55800,0
B,252,61871,0
B,361,61503,0
B,351,62130,0
B,698,60798,0
B,238,62862,0
B,367,62488,0
B,178,63107,0
B,1164,59627,0
B,180,69598,0
B,282,69309,0
B,285,69785,0
B,604,68698,0
B,265,70393,0
B,309,70077,0
B,252,70665,0
B,1011,67680,0
B,192,76898,0
B,239,76652,0
B,166,77097,0
B,411,76234,0
B,167,77562,0
B,285,77270,0
B,235,77736,0
B,886,75341,0
B,277,84154,0
B,358,83789,0
B,222,84438,0
B,609,83173,0
B,276,85090,0
B,416,84667,0
B,221,85373,0
B,867,82299,0
B,158,91829,0
B,264,91558,0
B,198,91994,0
B,457,91094,0
B,294,92682,0
B,476,92199,0
B,268,92983,0
B,1155,89932,0
B,226,95683,0
B,443,95233,0
B,256,95916,0
B,683,94543,0
B,199,96645,0
B,459,96179,0
B,260,96851,0
B,1278,93258,0
B,224,103902,0
B,465,103430,0
B,216,104133,0
B,601,102822,0
B,217,104715,0
B,352,104356,0
B,192,104939,0
B,1343,101472,0
B,183,110794,0
B,255,110532,0
B,161,110984,0
B,239,110286,0
B,134,111338,0
B,179,111152,0
B,112,111478,0
B,898,109381,0
B,102,116630,0
B,122,116502,0
B,104,116738,0
B,142,116354,0
B,102,116965,0
B,111,116848,0
B,102,117073,0
B,522,115825,0
B,102,117754,0
B,113,117635,0
B,102,117862,0
B,116,117513,0
B,102,118079,0
B,103,117970,0
B,102,118187,0
B,325,117182,0
B,111,124259,0
B,199,124054,0
B,158,124377,0
B,381,123666,0
B,163,124839,0
B,290,124542,0
B,151,125009,0
B,1128,122531,0
B,139,131223,0
B,227,130989,0
B,148,131369,0
B,417,130565,0
B,167,131848,0
B,317,131524,0
B,171,132022,0
B,1060,129498,0
B,154,138252,0
B,291,137954,0
B,141,138413,0
B,402,137545,0
B,138,138828,0
B,260,138561,0
B,141,138973,0
B,1078,136460,0
B,132,153773,0
B,223,153543,0
B,127,153912,0
B,308,153228,0
B,113,154233,0
B,181,154046,0
B,113,154352,0
I,13510,139711,1
B,108,159949,0
B,151,159792,0
B,108,160063,0
B,260,159525,0
B,105,160317,0
B,133,160178,0
B,103,160428,0
B,855,158663,0
B,102,165728,0
B,119,165603,0
B,102,165836,0
B,139,165458,0
B,102,166052,0
B,102,165944,0
B,102,166160,0
B,619,164832,0
B,102,171150,0
B,105,171039,0
B,102,171258,0
B,104,170929,0
B,102,171474,0
B,102,171366,0
B,102,171582,0
B,401,170522,0
B,102,176498,0
B,104,176388,0
B,102,176606,0
B,102,176280,0
B,102,176822,0
B,102,176714,0
B,102,176930,0
B,246,176028,0
B,102,177474,0
B,102,177366,0
B,102,177582,0
B,102,177258,0
B,102,177798,0
B,102,177690,0
B,102,177906,0
B,213,177039,0
B,102,182862,0
B,102,182754,0
B,102,182970,0
B,111,182637,0
B,102,183196,0
B,112,183078,0
B,108,183304,0
B,299,182332,0
B,109,189049,0
B,177,188866,0
B,111,189164,0
B,270,188589,0
B,121,189483,0
B,195,189282,0
B,130,189611,0
B,970,187612,0
B,123,195508,0
B,211,195290,0
B,129,195638,0
B,333,194950,0
B,143,196018,0
B,237,195774,0
B,142,196168,0
B,954,193989,0
B,122,204550,0
B,281,204263,0
B,110,204678,0
B,1137,203119,0
B,152,205312,0
B,510,204795,0
B,110,205470,0
B,6795,196317,0
B,111,218075,0
B,150,217919,0
B,137,218193,0
B,258,217654,0
B,140,218468,0
B,124,218337,0
B,102,218614,0
B,7767,209880,0
B,117,229685,0
B,156,229523,0
B,104,229808,0
B,236,229280,0
B,102,230089,0
B,164,229919,0
B,150,230198,0
B,6258,223015,0
B,104,239883,0
B,318,239559,0
B,104,239993,0
B,735,238817,0
B,176,240234,0
B,123,240104,0
B,102,240416,0
B,4131,234679,0
B,102,247190,0
B,220,246964,0
B,102,247298,0
B,268,246689,0
B,102,247626,0
B,213,247407,0
B,102,247734,0
B,1878,244804,0
B,240,248746,0
B,120,248619,0
B,102,248992,0
B,128,248485,0
B,102,249208,0
B,102,249100,0
B,102,249316,0
B,635,247843,0
