pict_type,pkt_size,pkt_pos,key_frame
I,684,5574,1
B,102,13864,0
B,102,13756,0
B,102,13972,0
B,102,13648,0
B,102,14188,0
B,102,14080,0
B,102,14296,0
B,134,13508,0
B,102,21480,0
B,123,21351,0
B,141,21589,0
B,793,20551,0
B,139,22126,0
B,382,21737,0
B,138,22272,0
B,3899,16645,0
B,124,41728,0
B,609,41112,0
B,155,41859,0
B,2674,38431,0
B,158,42747,0
B,719,42021,0
B,166,42912,0
B,8925,29499,0
B,144,73392,0
B,688,72697,0
B,164,73543,0
B,3978,68712,0
B,175,74451,0
B,730,73714,0
B,183,74633,0
B,14777,53928,0
B,187,111370,0
B,945,110418,0
B,204,111564,0
B,4307,106104,0
B,228,112719,0
B,937,111775,0
B,182,112954,0
B,20461,85636,0
B,200,160322,0
B,1006,159309,0
B,225,160529,0
B,5003,154299,0
B,239,161988,0
B,1220,160761,0
B,236,162234,0
I,31758,122534,1
B,253,198569,0
B,2187,196375,0
B,249,198829,0
B,4328,192040,0
B,255,200288,0
B,1196,199085,0
B,243,200550,0
B,19815,172218,0
B,212,225547,0
B,1183,224357,0
B,238,225766,0
B,3200,221150,0
B,216,227220,0
B,1202,226011,0
B,232,227443,0
B,13803,207340,0
B,236,253199,0
B,1221,251971,0
B,255,253442,0
B,3299,248665,0
B,243,254957,0
B,1246,253704,0
B,222,255207,0
B,12539,236119,0
B,251,282202,0
B,1254,280941,0
B,253,282460,0
B,3363,277571,0
B,238,284063,0
B,1336,282720,0
B,254,284308,0
B,12950,264614,0
B,238,311621,0
B,1323,310291,0
B,268,311866,0
B,3330,306954,0
B,240,313498,0
B,1350,312141,0
B,231,313745,0
B,13146,293801,0
B,219,363843,0
B,1293,362543,0
B,252,364069,0
B,3855,358681,0
B,258,365724,0
B,1389,364328,0
B,251,365989,0
I,36079,322595,1
B,232,397362,0
B,1359,395996,0
B,242,397601,0
B,3638,392351,0
B,246,399279,0
B,1422,397850,0
B,271,399532,0
B,16358,375986,0
B,320,429681,0
B,1540,428134,0
B,353,430008,0
B,3963,424164,0
B,346,432009,0
B,1634,430368,0
B,380,432362,0
B,14379,409778,0
B,340,463063,0
B,1600,461456,0
B,367,463410,0
B,3996,457453,0
B,389,465471,0
B,1680,463784,0
B,415,465867,0
B,14349,443097,0
B,450,496381,0
B,1764,494610,0
B,476,496838,0
B,3848,490755,0
B,390,498915,0
B,1587,497321,0
B,279,499312,0
B,14164,476584,0
B,326,528223,0
B,1475,526741,0
B,319,528556,0
B,3803,522931,0
B,303,530329,0
B,1440,528882,0
B,261,530639,0
B,14078,508846,0
B,254,580799,0
B,1376,579416,0
B,269,581060,0
B,4065,575344,0
B,241,582741,0
B,1398,581336,0
B,250,582989,0
I,36085,539252,1
B,242,613309,0
B,1331,611971,0
B,245,613558,0
B,3424,608540,0
B,243,615162,0
B,1345,613810,0
B,231,615412,0
B,15829,592704,0
B,237,643625,0
B,1300,642318,0
B,232,643869,0
B,3412,638899,0
B,223,645336,0
B,1221,644108,0
B,207,645566,0
B,14000,624892,0
B,201,673464,0
B,1100,672357,0
B,229,673672,0
B,3195,669155,0
B,216,675060,0
B,1145,673908,0
B,220,675283,0
B,13700,655448,0
B,232,703197,0
B,1243,701947,0
B,249,703436,0
B,3384,698556,0
B,245,705049,0
B,1350,703692,0
B,256,705301,0
B,13949,684600,0
B,232,734233,0
B,1352,732874,0
B,239,734472,0
B,3550,729317,0
B,244,735979,0
B,1254,734718,0
B,236,736230,0
B,14158,715152,0
B,252,783900,0
B,1295,782598,0
B,269,784159,0
B,3668,778923,0
B,235,785638,0
B,1196,784435,0
B,221,785880,0
I,34713,744203,1
B,211,814561,0
B,1187,813367,0
B,233,814779,0
B,3110,810250,0
B,226,816124,0
B,1098,815019,0
B,233,816357,0
B,14452,795791,0
B,239,843742,0
B,1099,842636,0
B,247,843988,0
B,2888,839741,0
B,238,845303,0
B,1054,844242,0
B,208,845548,0
B,13704,826030,0
B,208,874337,0
B,1066,873264,0
B,231,874552,0
B,2887,870370,0
B,225,875826,0
B,1029,874790,0
B,217,876058,0
B,15047,855316,0
B,236,903695,0
B,1014,902674,0
B,234,903938,0
B,2734,899933,0
B,240,905177,0
B,991,904179,0
B,233,905424,0
B,14331,885595,0
B,213,931591,0
B,969,930615,0
B,223,931811,0
B,2406,928202,0
B,216,932836,0
B,788,932041,0
B,200,933059,0
B,13398,914797,0
B,196,979533,0
B,716,978810,0
B,218,979736,0
B,2220,976583,0
B,189,980613,0
B,645,979961,0
B,193,980809,0
I,34873,941703,1
B,157,1002242,0
B,540,1001695,0
B,171,1002406,0
B,1444,1000244,0
B,153,1003003,0
B,412,1002584,0
B,116,1003162,0
B,9766,990471,0
B,124,1024124,0
B,351,1023766,0
B,123,1024255,0
B,1257,1022502,0
B,131,1024731,0
B,339,1024385,0
B,123,1024869,0
B,9586,1012909,0
B,123,1045388,0
B,382,1044999,0
B,124,1045518,0
B,1149,1043843,0
B,129,1046019,0
