pict_type,pkt_size,pkt_pos,key_frame
I,20188,5575,1
B,643,50221,0
B,2014,48200,0
B,720,50871,0
B,4081,44112,0
B,655,53437,0
B,1832,51598,0
B,588,54099,0
B,11260,32845,0
B,549,74557,0
B,1570,72980,0
B,529,75113,0
B,3533,69440,0
B,497,77074,0
B,1418,75649,0
B,504,77578,0
B,11965,57468,0
B,587,103145,0
B,1496,101642,0
B,537,103739,0
B,3759,97876,0
B,598,105977,0
B,1687,104283,0
B,560,106582,0
B,13529,84340,0
B,649,132956,0
B,2049,130900,0
B,738,133612,0
B,4613,126280,0
B,802,136775,0
B,2411,134357,0
B,820,137584,0
B,16032,110241,0
B,1148,170319,0
B,2891,167421,0
B,1204,171474,0
B,5953,161461,0
B,1260,175778,0
B,3086,172685,0
B,1175,177045,0
B,17681,143773,0
B,936,218211,0
B,2475,215729,0
B,598,219154,0
B,5763,209959,0
B,662,222165,0
B,2399,219759,0
B,940,222834,0
I,30364,179588,1
B,1077,256963,0
B,3046,253910,0
B,1018,258047,0
B,6239,247664,0
B,873,261957,0
B,2878,259072,0
B,874,262837,0
B,19064,228593,0
B,851,292252,0
B,2601,289644,0
B,732,293110,0
B,4706,284931,0
B,669,295790,0
B,1934,293849,0
B,557,296466,0
B,18751,266173,0
B,546,326340,0
B,1941,324392,0
B,588,326893,0
B,4444,319941,0
B,680,329579,0
B,2084,327488,0
B,587,330266,0
B,16970,302964,0
B,766,358040,0
B,2343,355690,0
B,879,358813,0
B,4839,350844,0
B,859,362142,0
B,2436,359699,0
B,908,363008,0
B,16799,334038,0
B,918,395688,0
B,2782,392899,0
B,882,396613,0
B,5486,387406,0
B,853,400336,0
B,2827,397502,0
B,792,401196,0
B,17198,370201,0
B,1075,446129,0
B,3077,443045,0
B,885,447211,0
B,5777,437261,0
B,802,450847,0
B,2737,448103,0
B,863,451656,0
I,33172,404082,1
B,765,485185,0
B,2871,482307,0
B,724,485957,0
B,5235,477065,0
B,709,489509,0
B,2814,486688,0
B,821,490225,0
B,17920,459138,0
B,826,526313,0
B,3132,523174,0
B,928,527146,0
B,6183,516984,0
B,973,531106,0
B,3018,528081,0
B,865,532086,0
B,22661,494316,0
B,986,584261,0
B,3539,580715,0
B,1049,585254,0
B,9382,571326,0
B,1048,590187,0
B,3870,586310,0
B,1025,591242,0
B,32234,539085,0
B,1113,637827,0
B,4266,633554,0
B,1113,638947,0
B,8860,624687,0
B,1039,643355,0
B,3281,640067,0
B,947,644401,0
B,29263,595417,0
B,918,684280,0
B,3013,681260,0
B,869,685205,0
B,6645,674608,0
B,816,688742,0
B,2654,686081,0
B,708,689565,0
B,23120,651481,0
B,729,741098,0
B,2401,738690,0
B,673,741834,0
B,5847,732836,0
B,755,744826,0
B,2305,742514,0
B,672,745588,0
I,40719,692110,1
B,654,784896,0
B,2212,782677,0
B,650,785557,0
B,5380,777290,0
B,753,788797,0
B,2576,786214,0
B,803,789557,0
B,24892,752391,0
