pict_type,pkt_size,pkt_pos,key_frame
I,547,7069,1
B,86,36617,0
B,88,36523,0
B,86,36709,0
B,89,36428,0
B,86,36895,0
B,88,36801,0
B,86,36987,0
B,112,36310,0
B,86,51750,0
B,88,51656,0
B,86,51842,0
B,88,51562,0
B,86,52028,0
B,88,51934,0
B,86,52120,0
B,132,51424,0
B,86,66883,0
B,88,66789,0
B,86,66975,0
B,88,66695,0
B,86,67161,0
B,88,67067,0
B,174,67254,0
B,132,66557,0
B,86,96449,0
B,88,96355,0
B,86,96541,0
B,88,96261,0
B,86,96727,0
B,88,96633,0
B,86,96819,0
B,132,96123,0
B,86,113713,0
B,88,113619,0
B,86,113805,0
B,90,113523,0
B,90,113995,0
B,92,113897,0
B,86,114091,0
B,2179,111338,0
B,87,129617,0
B,92,129519,0
B,86,129710,0
B,89,129424,0
B,86,129896,0
B,88,129802,0
B,86,129988,0
I,2671,126747,1
B,86,159111,0
B,88,159017,0
B,86,159203,0
B,88,158923,0
B,86,159389,0
B,88,159295,0
B,86,159481,0
B,148,158769,0
B,86,174253,0
B,88,174159,0
B,86,174345,0
B,88,174065,0
B,86,174531,0
B,88,174437,0
B,86,174623,0
B,141,173918,0
B,86,189386,0
B,88,189292,0
B,86,189478,0
B,88,189198,0
B,86,189664,0
B,88,189570,0
B,86,189756,0
B,132,189060,0
B,86,218863,0
B,88,218769,0
B,86,218955,0
B,88,218675,0
B,86,219141,0
B,88,219047,0
B,86,219233,0
B,132,218537,0
B,86,233996,0
B,88,233902,0
B,86,234088,0
B,88,233808,0
B,86,234274,0
B,88,234180,0
B,86,234366,0
B,132,233670,0
B,86,248098,0
B,88,248004,0
B,86,248190,0
B,91,247907,0
B,86,248376,0
B,88,248282,0
B,86,248468,0
I,2671,245230,1
B,86,277621,0
B,91,277524,0
B,90,277713,0
B,91,277427,0
B,86,277903,0
B,88,277809,0
B,86,277995,0
B,139,277282,0
B,86,292800,0
B,88,292706,0
B,86,292892,0
B,88,292612,0
B,86,293078,0
B,88,292984,0
B,86,293170,0
B,132,292474,0
B,86,307933,0
B,88,307839,0
B,86,308025,0
B,88,307745,0
B,86,308211,0
